n,trial,live_k,repr,output_k,reps,cm_us_median,old_us_median,new_us_median,agree_old_new,agree_cm,oracle_ok
16,0,5,2,16,200,63.75650002155454,66.0875003086403,54.296000162139535,True,True,True
16,1,3,2,16,200,22.761000436730683,35.847999970428646,24.26800027024001,True,True,True
16,2,4,2,16,200,62.01750016771257,65.66950003616512,51.129000494256616,True,True,True
16,3,2,2,16,200,17.733999993652105,18.99050024803728,15.440499992109837,True,True,True
16,4,4,2,16,200,26.228000060655177,37.911999970674515,33.34650013130158,True,True,True
16,5,7,2,16,200,55.749499588273466,65.05650002509356,52.46549961157143,True,True,True
16,6,6,2,16,40,40.26000096928328,34.88500078674406,28.577499324455857,True,True,True
16,7,5,2,16,200,95.1329997042194,92.65950007829815,72.84049992449582,True,True,True
18,0,7,3,7,200,11.270000250078738,23.324000067077577,8.735499577596784,True,True,True
18,1,4,3,4,200,9.16949997190386,9.814000222831964,6.772000342607498,True,True,True
18,2,3,3,3,200,6.191499996930361,6.454499671235681,6.504500051960349,True,True,True
18,3,5,3,5,200,8.365499670617282,17.55049976054579,8.868500008247793,True,True,True
18,4,6,3,6,200,10.974000324495137,22.496000165119767,8.973499643616378,True,True,True
18,5,5,3,5,200,9.822999709285796,11.035999632440507,7.320999866351485,True,True,True
18,6,6,3,6,200,12.06299988552928,17.73349998984486,8.201500168070197,True,True,True
18,7,7,3,7,200,14.022000250406563,25.472500128671527,10.202499688602984,True,True,True
20,0,6,3,6,200,12.239500065334141,21.031000069342554,8.857499924488366,True,True,True
20,1,7,3,7,200,13.356999843381345,23.925499990582466,10.156999924220145,True,True,True
20,2,9,4,9,40,447.5199995795265,30.492499354295433,14.129999908618629,True,True,True
20,3,4,3,4,200,9.388999897055328,15.073000104166567,8.922000415623188,True,True,True
20,4,2,3,2,200,8.34300008136779,8.669999660924077,9.657499613240361,True,True,True
20,5,7,3,7,200,16.337999841198325,31.18950000498444,12.199999764561653,True,True,True
20,6,1,3,1,200,7.334499969147146,5.608500214293599,7.997000357136131,True,True,True
20,7,4,3,4,200,12.618000037036836,19.725500023923814,11.554500088095665,True,True,True
22,0,8,4,8,40,439.9525001645088,23.727500229142606,9.637500625103712,True,True,True
22,1,6,3,6,200,11.694499989971519,20.977500244043767,11.270499671809375,True,True,True
22,2,1,3,1,200,7.115000043995678,4.602500121109188,8.122999570332468,True,True,True
22,3,5,3,5,200,13.873999705538154,25.754999951459467,13.268999755382538,True,True,True
22,4,7,3,7,200,12.065499904565513,22.436000290326774,11.689000530168414,True,True,True
22,5,4,3,4,200,10.00049989670515,12.712000170722604,8.275500149466097,True,True,True
22,6,8,4,8,10,358.93000895157456,28.61999673768878,8.479994721710682,True,True,True
22,7,10,4,10,40,402.0274995127693,23.69249996263534,11.487497249618173,True,True,True
24,0,3,3,3,200,7.165999850258231,8.382999803870916,7.7305000741034755,True,True,True
24,1,5,3,5,200,6.198500050231814,13.877000310458243,7.723500020802021,True,True,True
24,2,6,3,6,200,6.757500232197344,18.330499879084527,6.768500315956771,True,True,True
24,3,5,3,5,200,5.9710000641644,11.123500298708677,9.635500027798116,True,True,True
24,4,1,3,1,200,3.064500051550567,2.529500052332878,4.50849998742342,True,True,True
24,5,1,3,1,200,5.3815002320334315,3.0539999715983868,4.896000027656555,True,True,True
24,6,3,3,3,200,7.9225003719329825,9.387500467710197,8.999999845400453,True,True,True
24,7,5,3,5,200,9.338500094600022,16.12849999219179,9.56250005401671,True,True,True
