n,depth,trial,live_k,cm_words_us,bs_words_us,cm_bigint_us,bs_bigint_us,ratio_words,all_agree,oracle_ok
24,6,4,18,65.5,68.3,232.9,232.5,0.959,True,True
24,6,5,19,113.9,114.9,577.8,614.3,0.991,True,True
24,6,6,18,72.6,70.0,318.2,324.0,1.037,True,True
24,6,18,17,42.6,44.5,123.6,137.5,0.957,True,True
24,6,19,18,72.1,70.0,317.2,321.5,1.03,True,True
24,6,21,20,193.1,203.9,979.6,1104.2,0.947,True,True
24,6,27,19,107.0,108.8,616.8,658.8,0.983,True,True
24,6,31,17,49.0,49.5,152.4,151.9,0.99,True,True
24,6,41,18,76.9,74.5,377.7,381.5,1.032,True,True
24,6,47,17,44.6,43.1,132.8,133.2,1.035,True,True
24,6,63,21,429.8,448.8,2377.4,2528.1,0.958,True,True
24,6,66,17,47.2,49.9,143.4,155.2,0.946,True,True
24,8,0,24,8801.2,9624.7,,,0.914,True,True
24,8,1,24,9509.0,10067.4,,,0.945,True,True
24,8,2,24,6934.9,7749.7,,,0.895,True,True
24,8,3,20,261.5,281.9,1554.7,1920.2,0.928,True,True
24,8,6,21,637.2,662.8,4611.1,5067.3,0.961,True,True
24,8,7,23,3051.5,3595.9,,,0.849,True,True
24,8,8,23,3653.7,4047.8,,,0.903,True,True
24,8,9,23,5226.1,5287.0,,,0.988,True,True
24,8,10,22,1699.7,1705.2,12088.1,13814.3,0.997,True,True
24,8,11,23,3652.2,3847.0,,,0.949,True,True
24,8,12,23,3517.5,4009.8,,,0.877,True,True
24,8,13,23,3515.5,3441.2,,,1.022,True,True
28,6,2,18,57.0,57.6,267.3,307.0,0.99,True,True
28,6,3,22,994.8,861.2,3726.3,3722.6,1.155,True,True
28,6,4,17,37.9,40.0,117.1,117.8,0.948,True,True
28,6,6,20,171.8,184.3,774.1,861.3,0.932,True,True
28,6,7,21,431.8,428.2,2306.7,2444.8,1.008,True,True
28,6,10,19,102.1,106.1,541.7,629.0,0.962,True,True
28,6,11,18,65.8,67.8,266.1,291.6,0.971,True,True
28,6,12,17,45.3,41.3,155.6,155.2,1.097,True,True
28,6,13,17,39.1,38.9,141.4,152.7,1.005,True,True
28,6,16,17,40.7,40.6,119.0,131.8,1.002,True,True
28,6,23,17,40.3,42.9,118.9,142.9,0.939,True,True
28,6,28,20,181.4,191.5,1055.1,1218.9,0.947,True,True
28,8,0,19,129.6,135.5,801.8,886.5,0.956,True,True
28,8,1,22,1024.6,909.3,5122.5,5379.4,1.127,True,True
28,8,2,24,5531.6,6252.3,,,0.885,True,True
28,8,3,26,45672.7,45970.7,,,0.994,True,True
28,8,4,24,6646.8,7546.3,,,0.881,True,True
28,8,5,18,71.3,73.5,301.2,323.0,0.97,True,True
28,8,6,23,3467.8,3873.4,,,0.895,True,True
28,8,9,24,6586.4,6811.0,,,0.967,True,True
28,8,11,25,12459.0,13849.6,,,0.9,True,True
28,8,12,24,8828.1,9059.9,,,0.974,True,True
28,8,13,22,1506.9,1412.7,9310.3,9739.8,1.067,True,True
28,8,15,24,5684.3,6038.6,,,0.941,True,True
32,6,1,25,8678.2,9368.2,,,0.926,True,True
32,6,2,20,186.3,189.3,1004.9,1095.8,0.984,True,True
32,6,4,19,110.3,119.3,611.7,769.1,0.925,True,True
32,6,7,18,65.5,64.7,272.8,269.8,1.012,True,True
32,6,11,20,179.9,191.7,902.8,912.6,0.938,True,True
32,6,12,19,100.1,96.8,534.4,536.7,1.034,True,True
32,6,16,24,3854.8,4285.1,,,0.9,True,True
32,6,18,18,69.8,70.3,305.2,301.2,0.993,True,True
32,6,23,21,363.8,355.6,1931.9,1927.5,1.023,True,True
32,6,25,20,167.3,175.0,785.4,859.2,0.956,True,True
32,6,31,17,37.9,51.5,108.9,146.0,0.736,True,True
32,6,34,20,176.2,190.6,844.1,1037.5,0.924,True,True
32,8,3,24,5929.0,6462.7,,,0.917,True,True
32,8,4,26,27424.7,27694.3,,,0.99,True,True
32,8,5,26,27167.0,26864.5,,,1.011,True,True
32,8,7,24,4957.7,5927.0,,,0.836,True,True
32,8,8,24,5273.3,5427.3,,,0.972,True,True
32,8,9,18,68.9,70.4,297.1,317.7,0.979,True,True
32,8,13,25,9880.1,11057.5,,,0.894,True,True
32,8,14,24,6257.2,6402.6,,,0.977,True,True
32,8,19,25,11621.0,12280.5,,,0.946,True,True
32,8,20,20,194.8,199.5,1308.2,1381.7,0.976,True,True
32,8,22,26,29432.9,30687.9,,,0.959,True,True
32,8,23,22,1157.7,1124.4,6734.7,7122.5,1.03,True,True
