n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,0,5,False,True,5.504065193235874,5.0270650535821915,1.0948864067939168,5
24,4,1,7,False,True,5.3957197815179825,4.899713676422834,1.1012316510415503,7
24,4,2,6,False,True,5.736113525927067,5.699715111404657,1.0063860059338017,6
24,4,3,3,False,True,2.593959216028452,3.030458465218544,0.8559626359509885,3
24,4,4,3,False,True,2.5821570307016373,2.989009954035282,0.8638837174883351,3
24,4,5,7,False,True,3.4899101592600346,3.2324600033462048,1.079645271912822,7
24,4,6,4,False,True,2.6382552459836006,3.101159818470478,0.8507317908190922,4
24,4,7,4,False,True,2.9604602605104446,2.859558444470167,1.0352858030355707,4
24,4,8,7,False,True,3.9110099896788597,3.8252607919275756,1.0224165625340473,7
24,4,9,2,False,True,2.2111553698778152,2.8103613294661045,0.7867868614239284,2
24,4,10,4,False,True,2.955305390059948,2.9416591860353947,1.004638948009115,4
24,4,11,7,False,True,3.0734040774405003,2.8659100644290447,1.0724007412468448,7
24,4,12,3,False,True,2.6303064078092575,2.8073089197278023,0.9369493999485788,3
24,4,13,5,False,True,3.087359946221113,2.985608298331499,1.0340807090958575,5
24,4,14,2,False,True,2.4480093270540237,2.7253106236457825,0.8982496548518939,2
24,4,15,6,False,True,3.2549607567489147,3.352309577167034,0.9709606710904108,6
24,4,16,4,False,True,2.6644603349268436,2.7539092116057873,0.9675193080795912,4
24,4,17,0,False,True,1.9492534920573235,3.769008908420801,0.5171793273563932,0
24,4,18,0,False,True,1.9573094323277473,3.5607093013823032,0.5496964977084482,0
24,4,19,2,False,True,2.386609558016062,2.6249117217957973,0.9092151702470571,2
24,4,20,5,False,True,3.5210116766393185,3.5011116415262222,1.0056839190379034,5
24,4,21,4,False,True,3.0704098753631115,3.268010914325714,0.9395347677400969,4
24,4,22,7,False,True,3.8983603008091454,3.561261110007763,1.0946572521329805,7
24,4,23,2,False,True,2.3411051370203495,2.6411539874970913,0.886394791103761,2
24,4,24,5,False,True,3.402410075068474,3.287659492343664,1.0349034268883508,5
24,4,25,5,False,True,3.0565541237592697,2.9609096236526966,1.0323024044173905,5
24,4,26,3,False,True,3.02955973893404,3.043203614652157,0.9955166076786892,3
24,4,27,7,False,True,3.9381161332130437,3.708109725266695,1.0620279401062778,7
24,4,28,5,False,True,3.564460203051567,3.3234618604183197,1.0725142495250157,5
24,4,29,4,False,True,3.2880064100027084,3.4342100843787193,0.9574272770786355,4
24,4,30,5,False,True,3.3413595519959927,3.372710198163986,0.9907046131075655,5
24,4,31,6,False,True,3.1116604804992676,3.1954096630215645,0.9737907838573963,6
24,4,32,7,False,True,4.125859122723341,3.658910281956196,1.127619647595594,7
24,4,33,5,False,True,3.4397048875689507,3.3493596129119396,1.0269738950421226,5
24,4,34,8,False,True,3.431208897382021,2.927903551608324,1.1718995646209818,8
24,4,35,3,False,True,2.6284088380634785,3.005454782396555,0.874546126416043,3
24,4,36,3,False,True,2.6247557252645493,3.236860502511263,0.8108955338755492,3
24,4,37,9,False,True,3.8681109435856342,3.6768591962754726,1.0520149772131315,9
24,4,38,9,False,True,3.8197613321244717,3.4497608430683613,1.1072539535021844,9
24,4,39,0,False,True,1.8832040950655937,3.591866698116064,0.5242967663731327,0
24,4,40,5,False,True,3.730009775608778,3.6026095040142536,1.0353633307891312,5
24,4,41,4,False,True,3.318509552627802,3.2335100695490837,1.0262870630523726,4
24,4,42,3,False,True,2.996309194713831,3.1865062192082405,0.9403117359859827,3
24,4,43,6,False,True,3.295403439551592,3.1393091194331646,1.0497225071440597,6
24,4,44,8,False,True,4.177161026746035,3.714358899742365,1.1245981176013364,8
24,4,45,7,False,True,3.7506595253944397,3.335811197757721,1.1243620525992517,7
24,4,46,5,False,True,3.2531539909541607,3.1187105923891068,1.0431086484565606,5
24,4,47,4,False,True,3.81021061912179,3.66866122931242,1.0385833907689261,4
24,4,48,10,False,True,4.940417129546404,4.150460008531809,1.1903300162851191,10
24,4,49,6,False,True,3.6688102409243584,3.4876097925007343,1.0519554821795867,6
24,4,50,4,False,True,3.1361100263893604,3.1365593895316124,0.9998567337370522,4
24,4,51,1,False,True,1.90680380910635,2.661955077201128,0.7163170503655643,1
24,4,52,3,False,True,2.5784107856452465,2.748509868979454,0.9381122530233567,3
24,4,53,8,False,True,3.901808522641659,3.5480596125125885,1.0997020762789722,8
24,4,54,3,False,True,2.734055742621422,2.9272097162902355,0.9340143029063168,3
24,4,55,7,False,True,3.7577631883323193,3.5721599124372005,1.051958277469299,7
24,4,56,2,False,True,2.5472044944763184,2.7061067521572113,0.9412801222441717,2
24,4,57,6,False,True,3.1195092014968395,3.116908483207226,1.000834390327347,6
24,4,58,9,False,True,4.649965558201075,4.124315455555916,1.1274514785082816,9
24,4,59,8,False,True,3.57896089553833,3.301161341369152,1.0841520681488295,8
24,4,60,5,False,True,3.114903811365366,3.4240586683154106,0.9097109930355999,5
24,4,61,4,False,True,3.204310778528452,3.204259555786848,1.000015985827837,4
24,4,62,2,False,True,2.4332059547305107,2.9598595574498177,0.8220680432645034,2
24,4,63,8,False,True,3.878208808600902,3.509758971631527,1.1049786723098252,8
24,4,64,9,False,True,4.106860142201185,3.679764922708273,1.1160658978124542,9
24,4,65,7,False,True,3.8908608257770534,3.4102099016308784,1.1409446743780527,7
24,4,66,6,False,True,3.256159834563732,3.170706331729889,1.0269509358147404,6
24,4,67,8,False,True,3.898660652339458,3.4177047200500965,1.1407248348483165,8
24,4,68,5,False,True,2.7072569355368614,3.0506541952490807,0.8874348786411101,5
24,4,69,8,False,True,3.7137605249881744,3.565466031432152,1.041591896332401,8
24,4,70,7,False,True,3.2025552354753017,3.1574605964124203,1.014281932485276,7
24,4,71,3,False,True,2.6650610379874706,3.124210052192211,0.8530351651987795,3
24,4,72,9,False,True,4.268358461558819,3.8748630322515965,1.1015507970299974,9
