n,depth,trials,declined,declined_rate,accepted,all_correct,live_k_median,live_k_p90,live_k_max,cm_us_median,bitset_us_median,ratio_median,ratio_p10,ratio_p90,ratio_livek_le4,ratio_livek_5_7,ratio_livek_8_11,ratio_livek_12_16
24,4,300,0,0.0,300,True,5.0,9.0,11,3.32,3.34,1.01,0.816,1.117,0.895,1.034,1.104,
24,5,300,0,0.0,300,True,9.0,13.0,16,4.99,4.63,1.044,0.87,1.13,0.841,1.047,1.083,1.041
24,6,300,73,0.2433,227,True,14.0,18.0,21,10.27,10.46,0.994,0.86,1.093,0.834,0.927,1.031,0.984
24,8,300,267,0.89,33,True,22.0,24.0,24,26.79,30.28,0.917,0.739,0.973,0.58,0.78,0.968,0.909
26,4,300,0,0.0,300,True,6.0,9.0,13,3.52,3.62,0.981,0.813,1.071,0.883,0.983,1.052,1.027
26,5,300,1,0.0033,299,True,9.0,13.0,17,4.92,4.89,0.998,0.844,1.089,0.804,0.94,1.03,1.042
26,6,300,77,0.2567,223,True,14.0,18.0,25,11.44,11.2,0.957,0.828,1.057,0.733,0.907,0.987,0.961
26,8,300,267,0.89,33,True,24.0,26.0,26,28.65,32.2,0.898,0.766,0.953,,0.858,0.916,0.881
28,4,300,0,0.0,300,True,6.0,9.0,13,3.35,3.7,0.923,0.77,1.031,0.825,0.935,1.026,1.038
28,5,300,1,0.0033,299,True,9.0,14.0,17,4.78,5.0,0.97,0.78,1.058,0.763,0.932,1.002,1.025
28,6,300,75,0.25,225,True,14.0,19.0,23,9.81,9.89,0.941,0.803,1.031,0.697,0.88,0.96,0.947
28,8,300,282,0.94,18,True,25.0,28.0,28,8.25,10.25,0.835,0.565,0.92,0.146,0.781,0.915,0.857
30,4,300,0,0.0,300,True,6.0,9.0,11,3.64,4.1,0.887,0.734,1.005,0.794,0.9,0.97,
30,5,300,1,0.0033,299,True,9.0,13.100000000000023,17,4.96,5.29,0.938,0.765,1.041,0.711,0.898,0.962,1.018
30,6,300,94,0.3133,206,True,14.5,20.0,24,11.97,12.98,0.93,0.804,1.025,0.761,0.845,0.913,0.953
30,8,300,282,0.94,18,True,26.0,29.0,30,12.09,13.97,0.845,0.71,0.928,0.714,,0.827,0.887
32,4,300,0,0.0,300,True,6.0,9.0,14,3.33,4.02,0.84,0.685,0.956,0.735,0.854,0.938,1.013
32,5,300,4,0.0133,296,True,10.0,14.0,18,4.95,5.38,0.919,0.755,1.018,0.71,0.844,0.94,1.005
32,6,300,111,0.37,189,True,15.0,20.0,27,10.05,10.55,0.906,0.774,1.017,0.654,0.806,0.898,0.934
32,8,300,282,0.94,18,True,28.0,31.0,32,27.62,32.64,0.876,0.761,0.932,,,0.907,0.87
