n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,0,6,2,16,40,True,125.37249713204801,120.6599990837276,1.0390560093163133
16,1,3,2,16,40,True,53.75500186346471,48.04499913007021,1.1188469733954216
16,2,3,2,16,200,True,21.597500308416784,9.522499749436975,2.2680494488533594
16,3,6,2,16,200,True,41.092499741353095,62.94850027188659,0.6527955322822108
16,4,2,2,16,200,True,20.316500449553132,32.61249978095293,0.6229666718593225
16,5,4,2,16,200,True,16.5125000057742,18.33000045735389,0.9008455861303309
16,6,6,2,16,40,True,54.355000611394644,63.14499769359827,0.8607966204250131
16,7,2,2,16,200,True,16.472500283271074,30.739500070922073,0.5358740462683446
16,8,3,2,16,200,True,21.965999621897936,30.45200021006167,0.7213319148290342
16,9,6,2,16,200,True,70.09149994701147,57.90000024717301,1.210561306524929
16,10,4,2,16,40,True,56.04250181932002,43.6950009316206,1.2825838339498457
16,11,2,2,16,200,True,34.398999996483326,31.23299975413829,1.101367152283397
16,12,8,1,16,10,True,790.4199999757111,138.1100038997829,5.72311909099116
16,13,5,2,16,40,True,38.964999839663506,32.252498203888535,1.2081234635946954
16,14,7,2,16,200,True,29.99849966727197,30.971000087447464,0.9685996442662617
16,15,8,1,16,10,True,653.8799963891506,96.3800004683435,6.784395032285986
16,16,5,2,16,40,True,118.08999988716096,107.01499995775521,1.1034901643113364
16,17,5,2,16,40,True,82.0700020994991,72.18750251922756,1.1369004223084083
16,18,7,2,16,40,True,112.2899993788451,96.24249942135066,1.166740266036092
16,19,2,2,16,40,True,59.29000035393983,60.62500178813934,0.9779793584359004
16,20,2,2,16,40,True,55.00999977812171,62.614999478682876,0.8785434837678108
16,21,5,2,16,40,True,74.16000007651746,64.46500192396343,1.1503916522641122
16,22,3,2,16,200,True,32.63649996370077,21.78700000513345,1.497980445036534
16,23,6,2,16,40,True,164.46499794255942,148.00749777350575,1.111193692323874
16,24,8,1,16,10,True,1100.8100002072752,58.38999059051275,18.852717547554043
16,25,7,2,16,40,True,85.56750253774226,64.45749895647168,1.3275026788663677
16,26,6,2,16,40,True,89.00249958969653,82.35250134021044,1.080750410021111
16,27,3,2,16,200,True,19.26850003656,56.81200011167675,0.3391625008569216
16,28,8,1,16,10,True,666.9200025498867,91.25999640673399,7.307911777439817
