n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,0,6,2,16,200,True,53.25599981006235,44.9595000827685,1.1845327397328784
16,1,3,2,16,200,True,48.68549993261695,29.609500197693706,1.644252675916802
16,2,3,2,16,200,True,8.623499888926744,5.8784999419003725,1.4669558516894332
16,3,6,2,16,200,True,30.349999433383346,57.084999862127006,0.5316633004587081
16,4,2,2,16,200,True,16.06700010597706,26.306500076316297,0.6107616011010965
16,5,4,2,16,200,True,18.306500278413296,18.052499508485198,1.014070116429512
16,6,6,2,16,40,True,44.92999869398773,46.38750106096268,0.9685798472942206
16,7,2,2,16,200,True,20.420000073499978,31.53799974825233,0.6474728973460515
16,8,3,2,16,200,True,19.72450001630932,32.32949995435774,0.6101084162809832
16,9,6,2,16,40,True,45.22500094026327,55.73249945882708,0.8114655071889191
16,10,4,2,16,200,True,43.39749983046204,34.45899987127632,1.2593952230934162
16,11,2,2,16,200,True,18.796499934978783,15.290500014089046,1.2292926926954135
16,12,8,2,16,40,True,104.31749979034066,80.24249982554466,1.30002804021731
16,13,5,2,16,200,True,38.040500367060304,30.01500037498772,1.2673829715744545
16,14,7,2,16,200,True,20.31250041909516,22.816500277258456,0.8902548669719049
16,15,8,2,16,200,True,67.50650005415082,61.26000022049993,1.1019670227092258
16,16,5,2,16,40,True,63.742502243258066,80.3950009867549,0.7928664899669529
16,17,5,2,16,200,True,49.52649993356317,36.481000133790076,1.3575970985425332
16,18,7,2,16,40,True,57.06000083591789,67.90499901399016,0.8402916083418552
16,19,2,2,16,200,True,29.943500412628055,43.181999935768545,0.6934255119533089
16,20,2,2,16,200,True,25.77100007329136,46.62749997805804,0.5526995889854415
16,21,5,2,16,40,True,31.87500115018338,36.735000321641564,0.8677011262037466
16,22,3,2,16,200,True,15.368500025942922,9.800000116229057,1.5682142697623322
16,23,6,2,16,40,True,71.92499761004001,72.65750027727336,0.9899184163446583
16,24,8,2,16,200,True,35.2480000583455,33.2920002983883,1.058752845801575
16,25,7,2,16,200,True,69.39950049854815,61.279499786905944,1.1325076206541957
16,26,6,2,16,40,True,81.19999838527292,76.91000064369291,1.055779452680733
16,27,3,2,16,200,True,17.399999778717756,43.2415003888309,0.40239121266042155
16,28,8,2,16,40,True,62.29249993339181,60.030000167898834,1.0376894845771274
16,29,6,2,16,40,True,64.68750070780516,61.29750108812004,1.0553040427343314
16,30,5,2,16,40,True,74.04750213027,71.90750038716942,1.0297604802222053
16,31,11,2,16,40,True,78.83500074967742,101.9700022879988,0.7731195349689208
16,32,3,2,16,200,True,8.602000307291746,24.685499956831336,0.34846368606406425
