case,passed,detail
plan_no_alias_op_0,True,out=0; inputs=[]; buffers=4
plan_no_alias_op_1,True,out=1; inputs=[0]; buffers=4
plan_no_alias_op_2,True,"out=2; inputs=[0, 1]; buffers=4"
plan_no_alias_op_3,True,"out=3; inputs=[0, 1, 2]; buffers=4"
plan_no_alias_op_4,True,"out=0; inputs=[1, 2, 3]; buffers=4"
plan_no_alias_op_5,True,"out=1; inputs=[0, 2, 3]; buffers=4"
custom_program_complete_output,True,repeated/variadic/IMP/EQV packed equality at 64 rows
n5_cm_fallback_exact,True,complete 32-row equality; word plan remains unbuilt
n5_raw_fallback_exact,True,complete 32-row equality; word plan remains unbuilt
n6_cm_words_exact,True,complete 64-row equality; word plan built
n6_raw_words_exact,True,complete 64-row equality; word plan built
all_fixed_cm,True,all actual variables fixed; complete 64-row constant output
all_fixed_raw,True,all actual variables fixed; complete 64-row constant output
thrash_cm_r0_s0,True,k=6 packed equality
thrash_raw_r0_s0,True,k=6 packed equality
thrash_cross_r0_s0,True,k=6 CM/raw agreement
thrash_cm_r0_s1,True,k=7 packed equality
thrash_raw_r0_s1,True,k=7 packed equality
thrash_cross_r0_s1,True,k=7 CM/raw agreement
thrash_cm_r0_s2,True,k=8 packed equality
thrash_raw_r0_s2,True,k=8 packed equality
thrash_cross_r0_s2,True,k=8 CM/raw agreement
thrash_cm_r0_s3,True,k=9 packed equality
thrash_raw_r0_s3,True,k=9 packed equality
thrash_cross_r0_s3,True,k=9 CM/raw agreement
thrash_cm_r0_s4,True,k=6 packed equality
thrash_raw_r0_s4,True,k=6 packed equality
thrash_cross_r0_s4,True,k=6 CM/raw agreement
thrash_cm_r0_s5,True,k=7 packed equality
thrash_raw_r0_s5,True,k=7 packed equality
thrash_cross_r0_s5,True,k=7 CM/raw agreement
thrash_cm_r0_s6,True,k=6 packed equality
thrash_raw_r0_s6,True,k=6 packed equality
thrash_cross_r0_s6,True,k=6 CM/raw agreement
thrash_cm_r1_s0,True,k=6 packed equality
thrash_raw_r1_s0,True,k=6 packed equality
thrash_cross_r1_s0,True,k=6 CM/raw agreement
thrash_cm_r1_s1,True,k=7 packed equality
thrash_raw_r1_s1,True,k=7 packed equality
thrash_cross_r1_s1,True,k=7 CM/raw agreement
thrash_cm_r1_s2,True,k=8 packed equality
thrash_raw_r1_s2,True,k=8 packed equality
thrash_cross_r1_s2,True,k=8 CM/raw agreement
thrash_cm_r1_s3,True,k=9 packed equality
thrash_raw_r1_s3,True,k=9 packed equality
thrash_cross_r1_s3,True,k=9 CM/raw agreement
thrash_cm_r1_s4,True,k=6 packed equality
thrash_raw_r1_s4,True,k=6 packed equality
thrash_cross_r1_s4,True,k=6 CM/raw agreement
thrash_cm_r1_s5,True,k=7 packed equality
thrash_raw_r1_s5,True,k=7 packed equality
thrash_cross_r1_s5,True,k=7 CM/raw agreement
thrash_cm_r1_s6,True,k=6 packed equality
thrash_raw_r1_s6,True,k=6 packed equality
thrash_cross_r1_s6,True,k=6 CM/raw agreement
thrash_cm_r2_s0,True,k=6 packed equality
thrash_raw_r2_s0,True,k=6 packed equality
thrash_cross_r2_s0,True,k=6 CM/raw agreement
thrash_cm_r2_s1,True,k=7 packed equality
thrash_raw_r2_s1,True,k=7 packed equality
thrash_cross_r2_s1,True,k=7 CM/raw agreement
thrash_cm_r2_s2,True,k=8 packed equality
thrash_raw_r2_s2,True,k=8 packed equality
thrash_cross_r2_s2,True,k=8 CM/raw agreement
thrash_cm_r2_s3,True,k=9 packed equality
thrash_raw_r2_s3,True,k=9 packed equality
thrash_cross_r2_s3,True,k=9 CM/raw agreement
thrash_cm_r2_s4,True,k=6 packed equality
thrash_raw_r2_s4,True,k=6 packed equality
thrash_cross_r2_s4,True,k=6 CM/raw agreement
thrash_cm_r2_s5,True,k=7 packed equality
thrash_raw_r2_s5,True,k=7 packed equality
thrash_cross_r2_s5,True,k=7 CM/raw agreement
thrash_cm_r2_s6,True,k=6 packed equality
thrash_raw_r2_s6,True,k=6 packed equality
thrash_cross_r2_s6,True,k=6 CM/raw agreement
env_cache_capacity,True,"cache_info=CacheInfo(hits=21, misses=21, maxsize=4, currsize=4)"
cm_scratch_capacity,True,"widths=[1, 2]"
raw_scratch_capacity,True,"widths=[1, 2]"
