interpreter,n,bigint_cm_us,words_cm_us,cm_speedup,bigint_raw_us,words_raw_us,raw_speedup,scratch_buffers,correctness_checks,failures
3.10.11,12,247.0,510.1,0.48,309.5,690.4,0.45,21,1827,0
3.10.11,14,569.2,589.4,0.97,646.4,774.9,0.83,19,1827,0
3.10.11,16,2035.0,1026.2,1.98,3167.9,1208.3,2.62,19,1827,0
3.10.11,18,6847.8,2291.8,2.99,8338.0,2400.7,3.47,16,1827,0
3.10.11,20,27232.0,6276.5,4.34,27085.8,7268.4,3.73,18,1827,0
3.10.11,22,133152.2,23724.9,5.61,153934.8,23176.6,6.64,13,1827,0
3.10.11,24,843937.4,118330.4,7.13,967780.5,117816.3,8.21,16,1827,0
3.13.5,12,206.1,445.6,0.46,231.7,555.8,0.42,21,1827,0
3.13.5,14,398.5,472.6,0.84,492.5,587.2,0.84,19,1827,0
3.13.5,16,1254.6,809.6,1.55,2250.7,902.2,2.49,19,1827,0
3.13.5,18,4996.6,1855.8,2.69,5863.9,2090.0,2.81,16,1827,0
3.13.5,20,22458.4,6706.8,3.35,25275.2,7005.5,3.61,18,1827,0
3.13.5,22,142092.2,27172.1,5.23,148364.4,28764.8,5.16,13,1827,0
3.13.5,24,891702.4,141895.1,6.28,1019870.6,136547.3,7.47,16,1827,0
