n,live_k_stratum,count,all_correct,threshold16_over_threshold7_median,threshold16_over_threshold7_p10,threshold16_over_threshold7_p90,threshold16_over_bitset_median,threshold16_over_bitset_p10,threshold16_over_bitset_p90
16,le4,104,True,0.9892481411795856,0.7433261244651871,1.2601388591451197,0.865933594580054,0.38433039992973955,1.3786859500590076
16,5_7,152,True,0.948347477003693,0.7715771090797138,1.2528612202937914,1.0629986395236113,0.7416898544574262,1.4012337172558638
16,8_11,44,True,0.11252976366274083,0.06821162431461762,0.17416813382269414,1.1238335432426516,0.9080310702396783,1.4724829704475506
18,le4,109,True,0.9966681220736977,0.7466909603884024,1.2672010971816379,1.155963336833842,0.8089680735399523,1.5004474411475914
18,5_7,144,True,0.9958025731153877,0.7978878270369283,1.2491823132174882,1.2952823057110092,1.0393338864077466,1.707264005073536
18,8_11,47,True,0.030550353716309205,0.023650577951656985,0.03970263886401588,1.3420101664081474,1.0403460854206994,1.8216741400589846
20,le4,105,True,0.9681154856145384,0.70222670728671,1.2463987025375802,1.1015742971032743,0.7543525516788187,1.5447107185268205
20,5_7,127,True,0.9925029252595443,0.7726004398772889,1.3266980334896932,1.260167801384007,0.9196104554003003,1.5866839476275532
20,8_11,68,True,0.030610922547854805,0.022580880944324876,0.0434313180629645,1.3769978516138073,0.9873324031611427,1.864106208844439
22,le4,104,True,1.005783465637978,0.7072571350624557,1.3054888173970072,1.017687933293745,0.6582095563590723,1.3706304705179528
22,5_7,134,True,0.9985057014571586,0.7315203159930445,1.4073574465273908,1.1686052540079697,0.9010202172278488,1.5424857925640079
22,8_11,61,True,0.029241400356518735,0.022714398421060607,0.04417164094180904,1.264098875612835,0.949842894105883,1.5996817610459928
22,12_16,1,True,0.04930944381781833,0.04930944381781833,0.04930944381781833,1.2294573080646236,1.2294573080646236,1.2294573080646236
24,le4,101,True,0.9791729558502725,0.7946115114312144,1.304102820097609,0.909053687923949,0.6716477728028216,1.2642969729465945
24,5_7,139,True,0.9439527383807444,0.7600216634357532,1.3082977767851907,1.0646329767169354,0.8452034344728615,1.468369219230713
24,8_11,59,True,0.03309463243894386,0.023416009031381715,0.042852792271245874,1.2933615854418548,0.9700615558841783,1.5594117630795377
24,12_16,1,True,0.032465625657315436,0.032465625657315436,0.032465625657315436,0.8751640675912584,0.8751640675912584,0.8751640675912584
