seed_base,trial,n,live_k,output_k,repr,reps,rounds,ok,cm_us,bitset_us,ratio
13700000,0,24,8,8,3,150,5,True,7.254000132282575,7.055332728972037,1.0281584740142344
13700000,1,24,3,3,3,150,5,True,4.6473330197234946,6.160000339150429,0.7544371369895805
13700000,2,24,5,5,3,150,5,True,8.60000029206276,7.9953329016764965,1.0756275439462282
13700000,3,24,8,8,3,150,5,True,8.50266699368755,7.455333446462949,1.1404811139227433
13700000,4,24,7,7,3,150,5,True,7.585333660244942,8.772666721294323,0.8646554008295665
13700000,5,24,6,6,3,150,5,True,7.679333599905172,5.161999724805355,1.4876664101710582
13700000,6,24,9,9,3,150,5,True,6.250666920095682,5.379333936919768,1.1619778569974488
13700000,7,24,3,3,3,150,5,True,3.9506664810081324,5.30666671693325,0.744472319771241
13700000,8,24,5,5,3,150,5,True,10.028000300129255,9.498666040599346,1.0557272207768353
13700000,9,24,5,5,3,150,5,True,7.304666408648093,6.627333350479603,1.1022029559022368
13700000,10,24,5,5,3,150,5,True,8.61866632476449,6.31799999003609,1.364144719587956
13700000,11,24,6,6,3,150,5,True,7.305999752134085,5.4619996808469296,1.337605305572121
13700000,12,24,3,3,3,150,5,True,6.0973331953088445,4.664667261143526,1.3071314316670264
13700000,13,24,2,2,3,150,5,True,3.6860001273453236,4.022000357508659,0.9164594230987428
13700000,14,24,7,7,3,150,5,True,6.529333380361399,8.047999969373146,0.8112988823569746
13700000,15,24,5,5,3,150,5,True,6.193999821941058,11.379333057751259,0.5443201100192679
13700000,16,24,7,7,3,150,5,True,10.915333405137062,9.658000587175291,1.1301856224394276
13700000,17,24,7,7,3,150,5,True,5.596666596829891,4.750666363785664,1.1780803298445222
13700000,18,24,6,6,3,150,5,True,9.64600049580137,6.085999775677919,1.5849492033093122
13700000,19,24,4,4,3,150,5,True,5.696666582177082,5.38133317604661,1.0585976366477519
13700000,20,24,11,11,3,150,5,True,9.581333336730799,7.382667002578576,1.297814642511207
13700000,21,24,3,3,3,150,5,True,5.567999711881082,5.414666763196388,1.0283180766962245
13700000,22,24,10,10,3,150,5,True,9.136666388561329,7.140000040332476,1.2796451452311026
