n,trial,semantic_live_k,all_live,raw_ast_nodes,raw_ast_ops,cm_slots,cm_ops,raw_ops_over_cm_ops,rounds,reps,cm_words_us,bitset_words_us,cm_over_bitset,all_agree
16,0,16,True,145,83,46,30,2.7666666666666666,7,20,116.48500221781433,268.2099991943687,0.4343052181786816,True
16,1,16,True,232,132,48,32,4.125,7,20,196.6700016055256,380.15999598428607,0.5173348160853174,True
16,2,16,True,292,172,48,32,5.375,7,20,193.6949964147061,451.4949978329241,0.4290080672973104,True
16,3,16,True,255,151,57,41,3.682926829268293,7,20,173.59500052407384,463.6349971406162,0.3744216929150931,True
16,4,16,True,184,108,50,34,3.176470588235294,7,20,144.25500412471592,348.8900023512542,0.41346843748042794,True
16,5,16,True,113,65,42,26,2.5,7,20,155.30000091530383,177.02000332064927,0.8773019884876941,True
16,6,16,True,110,62,37,21,2.9523809523809526,7,20,140.24999691173434,237.17500152997673,0.5913354949172754,True
16,7,16,True,118,68,41,25,2.72,7,20,191.44000252708793,240.77999987639487,0.7950826589640511,True
16,8,16,True,122,68,38,22,3.090909090909091,7,20,123.61999833956361,172.10000078193843,0.7183032991161804,True
16,9,16,True,346,202,59,43,4.6976744186046515,7,20,213.8499985449016,559.3249981757253,0.38233584989476105,True
18,0,18,True,269,155,52,34,4.5588235294117645,7,20,312.5699993688613,764.1099975444376,0.4090641404684454,True
18,1,18,True,318,182,50,32,5.6875,7,20,455.69000067189336,973.119999980554,0.46827729435321386,True
18,2,18,True,79,45,39,21,2.142857142857143,7,20,216.64999658241868,244.6900005452335,0.8854060080087689,True
18,3,18,True,505,289,52,34,8.5,7,20,432.57499928586185,1590.1400009170175,0.27203579498434116,True
18,4,18,True,334,190,54,36,5.277777777777778,7,20,405.734998639673,988.6200015898794,0.4104054115708542,True
18,5,18,True,198,114,46,28,4.071428571428571,7,20,344.2749963141978,564.8849997669458,0.6094603263606487,True
18,6,18,True,204,116,46,28,4.142857142857143,7,20,369.64500322937965,594.4899981841445,0.6217850667941454,True
18,7,18,True,174,98,43,25,3.92,7,20,323.4500007238239,554.6199972741306,0.5831920996601807,True
18,8,18,True,184,108,50,32,3.375,7,20,464.5199980586767,680.9100043028593,0.6822046894938332,True
18,9,18,True,296,168,44,26,6.461538461538462,7,20,368.6900017783046,910.8700032811612,0.4047668717272489,True
20,0,20,True,197,109,55,35,3.1142857142857143,7,7,1225.671431581889,1728.2285760822042,0.7092067846490633,True
20,1,20,True,307,179,58,38,4.7105263157894735,7,7,1515.5285696632095,3032.8285647556186,0.4997079581995196,True
20,2,20,True,148,84,44,24,3.5,7,7,950.8000054795828,1472.2000009247236,0.645836166881105,True
20,3,20,True,308,172,52,32,5.375,7,7,1279.2142806574702,2835.6428623997735,0.4511196729389558,True
20,4,20,True,350,194,57,37,5.243243243243243,7,7,1598.714285397104,3376.3142834816663,0.4735087290951199,True
20,5,20,True,129,73,49,29,2.5172413793103448,7,7,1006.0285816767387,1502.2142823519453,0.6696971221054081,True
20,6,20,True,344,188,41,21,8.952380952380953,7,7,1729.4000135734677,3703.7142818527564,0.4669366700468989,True
20,7,20,True,146,84,51,31,2.7096774193548385,7,7,1112.3571312054992,1435.2000019113934,0.7750537414465346,True
22,0,22,True,287,163,52,30,5.433333333333334,7,7,7285.9571415132705,10582.72857751165,0.6884762363645954,True
22,1,22,True,456,268,62,40,6.7,7,7,5455.142868283603,15541.499996158695,0.3510049139164122,True
22,2,22,True,373,217,62,40,5.425,7,7,5904.228559562138,14152.98571477511,0.4171719436838247,True
22,3,22,True,436,260,73,51,5.098039215686274,7,7,7698.171422816813,15172.699998532022,0.5073699093478169,True
22,4,22,True,143,83,59,37,2.2432432432432434,7,7,4563.242862267154,5182.185709210378,0.8805633603899669,True
22,5,22,True,418,242,68,46,5.260869565217392,7,7,7449.5571399373675,16370.999992692045,0.4550459436358697,True
24,0,24,True,97,55,47,23,2.391304347826087,5,1,19154.699984937906,22139.50001168996,0.8651821393809237,True
24,1,24,True,286,162,60,36,4.5,5,1,33203.800092451274,65605.20001221448,0.5061153702186616,True
24,2,24,True,581,349,70,46,7.586956521739131,5,1,31506.200088188052,111845.20006645471,0.28169470008071973,True
24,3,24,True,756,448,73,49,9.142857142857142,5,1,39320.50010189414,140748.30000754446,0.2793674957337777,True
24,4,24,True,480,276,65,41,6.7317073170731705,5,1,32325.200038030744,81394.90010216832,0.3971403613427325,True
26,0,26,True,349,197,70,44,4.4772727272727275,5,1,184430.00002298504,353951.3999130577,0.5210602361462258,True
26,1,26,True,158,90,62,36,2.5,5,1,130904.40002270043,165760.00000350177,0.7897224904677546,True
26,2,26,True,412,240,88,62,3.870967741935484,5,1,201042.89997834712,381740.1999840513,0.5266484902212198,True
