chart,series,n,display_value,unit,source_csv,source_field,derivation
dashboard_eval,CM bigint,12,206.1,us,CM_V3AUDIT_F1_words_timing.csv,bigint_cm_us,direct
dashboard_eval,Bitset bigint,12,231.7,us,CM_V3AUDIT_F1_words_timing.csv,bigint_raw_us,direct
dashboard_eval,CM words,12,445.6,us,CM_V3AUDIT_F1_words_timing.csv,words_cm_us,direct
dashboard_eval,Bitset words,12,555.8,us,CM_V3AUDIT_F1_words_timing.csv,words_raw_us,direct
dashboard_words_speedup,CM,12,0.46,x,CM_V3AUDIT_F1_words_timing.csv,cm_speedup,direct
dashboard_words_speedup,Bitset,12,0.42,x,CM_V3AUDIT_F1_words_timing.csv,raw_speedup,direct
dashboard_eval,CM bigint,14,398.5,us,CM_V3AUDIT_F1_words_timing.csv,bigint_cm_us,direct
dashboard_eval,Bitset bigint,14,492.5,us,CM_V3AUDIT_F1_words_timing.csv,bigint_raw_us,direct
dashboard_eval,CM words,14,472.6,us,CM_V3AUDIT_F1_words_timing.csv,words_cm_us,direct
dashboard_eval,Bitset words,14,587.2,us,CM_V3AUDIT_F1_words_timing.csv,words_raw_us,direct
dashboard_words_speedup,CM,14,0.84,x,CM_V3AUDIT_F1_words_timing.csv,cm_speedup,direct
dashboard_words_speedup,Bitset,14,0.84,x,CM_V3AUDIT_F1_words_timing.csv,raw_speedup,direct
dashboard_eval,CM bigint,16,1254.6,us,CM_V3AUDIT_F1_words_timing.csv,bigint_cm_us,direct
dashboard_eval,Bitset bigint,16,2250.7,us,CM_V3AUDIT_F1_words_timing.csv,bigint_raw_us,direct
dashboard_eval,CM words,16,809.6,us,CM_V3AUDIT_F1_words_timing.csv,words_cm_us,direct
dashboard_eval,Bitset words,16,902.2,us,CM_V3AUDIT_F1_words_timing.csv,words_raw_us,direct
dashboard_words_speedup,CM,16,1.55,x,CM_V3AUDIT_F1_words_timing.csv,cm_speedup,direct
dashboard_words_speedup,Bitset,16,2.49,x,CM_V3AUDIT_F1_words_timing.csv,raw_speedup,direct
kernel_ratio,bigint engine,16,0.56,CM/Bitset,CM_V3AUDIT_F1_words_timing.csv,bigint_cm_us/bigint_raw_us,"ratio, rounded 2dp"
kernel_ratio,words engine,16,0.9,CM/Bitset,CM_V3AUDIT_F1_words_timing.csv,words_cm_us/words_raw_us,"ratio, rounded 2dp"
dashboard_eval,CM bigint,18,4996.6,us,CM_V3AUDIT_F1_words_timing.csv,bigint_cm_us,direct
dashboard_eval,Bitset bigint,18,5863.9,us,CM_V3AUDIT_F1_words_timing.csv,bigint_raw_us,direct
dashboard_eval,CM words,18,1855.8,us,CM_V3AUDIT_F1_words_timing.csv,words_cm_us,direct
dashboard_eval,Bitset words,18,2090.0,us,CM_V3AUDIT_F1_words_timing.csv,words_raw_us,direct
dashboard_words_speedup,CM,18,2.69,x,CM_V3AUDIT_F1_words_timing.csv,cm_speedup,direct
