n,depth,trials,min_live_k,median_live_k,max_live_k,declined_count,declined_rate,wrong_guard_count,oversized_output_count
16,4,300,0,6.0,10,0,0.0,0,0
16,5,300,0,8.0,13,0,0.0,0,0
16,6,300,0,11.0,16,0,0.0,0,0
16,8,300,4,16.0,16,0,0.0,0,0
20,4,300,1,6.0,12,0,0.0,0,0
20,5,300,0,9.0,16,0,0.0,0,0
20,6,300,0,12.0,19,21,0.07,0,0
20,8,300,2,19.0,20,252,0.84,0,0
24,4,300,0,6.0,12,0,0.0,0,0
24,5,300,0,9.0,17,2,0.006666666666666667,0,0
24,6,300,0,14.0,21,70,0.23333333333333334,0,0
24,8,300,0,22.0,24,276,0.92,0,0
28,4,300,1,6.0,12,0,0.0,0,0
28,5,300,0,9.0,18,1,0.0033333333333333335,0,0
28,6,300,1,14.0,25,80,0.26666666666666666,0,0
28,8,300,7,25.0,28,278,0.9266666666666666,0,0
32,4,300,1,6.0,13,0,0.0,0,0
32,5,300,0,9.0,20,6,0.02,0,0
32,6,300,0,15.0,27,113,0.37666666666666665,0,0
32,8,300,6,27.0,32,285,0.95,0,0
