n,case,live_k,rows,representation_code,output_vars_count,raw_bitset,cm_ir_recursive,cm_ir_flat,cm_no_reinflate_expanded,all_ok
16,single_var,1,65536,2,16,True,True,True,True,True
16,annihilating,0,65536,2,16,True,True,True,True,True
16,repeated_vars,0,65536,2,16,True,True,True,True,True
16,sparse_mixed,4,65536,2,16,True,True,True,True,True
16,all_live_xor,16,65536,2,16,True,True,True,True,True
16,random_depth4,3,65536,2,16,True,True,True,True,True
18,single_var,1,262144,3,1,True,True,True,True,True
18,annihilating,0,262144,3,0,True,True,True,True,True
18,repeated_vars,0,262144,3,0,True,True,True,True,True
18,sparse_mixed,4,262144,3,4,True,True,True,True,True
18,all_live_xor,18,262144,2,18,True,True,True,True,True
18,random_depth4,11,262144,3,11,True,True,True,True,True
20,single_var,1,1048576,3,1,True,True,True,True,True
20,annihilating,0,1048576,3,0,True,True,True,True,True
20,repeated_vars,0,1048576,3,0,True,True,True,True,True
20,sparse_mixed,4,1048576,3,4,True,True,True,True,True
20,all_live_xor,20,1048576,2,20,True,True,True,True,True
20,random_depth4,8,1048576,3,8,True,True,True,True,True
22,single_var,1,4194304,3,1,True,True,True,True,True
22,annihilating,0,4194304,3,0,True,True,True,True,True
22,repeated_vars,0,4194304,3,0,True,True,True,True,True
22,sparse_mixed,4,4194304,3,4,True,True,True,True,True
22,all_live_xor,22,4194304,2,22,True,True,True,True,True
22,random_depth4,3,4194304,3,3,True,True,True,True,True
24,single_var,1,16777216,3,1,True,True,True,True,True
24,annihilating,0,16777216,3,0,True,True,True,True,True
24,repeated_vars,0,16777216,3,0,True,True,True,True,True
24,sparse_mixed,4,16777216,3,4,True,True,True,True,True
24,all_live_xor,24,16777216,2,24,True,True,True,True,True
24,random_depth4,3,16777216,3,3,True,True,True,True,True
