n,depth,live_k,cm_reduced_ok,cm_repr,refused,raw_bitset_full_ok,cm_bitset_full_ok,all_agree
16,2,1,True,2,0,True,True,True
16,2,1,True,2,0,True,True,True
16,2,4,True,2,0,True,True,True
16,2,3,True,2,0,True,True,True
16,4,8,True,1,0,True,True,True
16,4,4,True,2,0,True,True,True
16,4,5,True,2,0,True,True,True
16,4,7,True,2,0,True,True,True
16,4,8,True,1,0,True,True,True
16,4,5,True,2,0,True,True,True
16,6,8,True,1,0,True,True,True
16,6,15,True,1,0,True,True,True
16,6,16,True,1,0,True,True,True
16,6,14,True,1,0,True,True,True
16,6,14,True,1,0,True,True,True
16,6,15,True,1,0,True,True,True
16,6,14,True,1,0,True,True,True
16,6,10,True,1,0,True,True,True
18,2,4,True,3,0,True,True,True
18,2,0,True,3,0,True,True,True
18,2,2,True,3,0,True,True,True
18,2,3,True,3,0,True,True,True
18,2,4,True,3,0,True,True,True
18,2,2,True,3,0,True,True,True
18,4,9,True,4,0,True,True,True
18,4,8,True,4,0,True,True,True
18,4,7,True,3,0,True,True,True
18,4,6,True,3,0,True,True,True
18,4,7,True,3,0,True,True,True
18,4,7,True,3,0,True,True,True
18,4,9,True,4,0,True,True,True
18,4,6,True,3,0,True,True,True
20,2,1,True,3,0,True,True,True
20,2,2,True,3,0,True,True,True
20,2,1,True,3,0,True,True,True
20,2,2,True,3,0,True,True,True
20,2,4,True,3,0,True,True,True
20,2,3,True,3,0,True,True,True
20,4,8,True,4,0,True,True,True
20,4,7,True,3,0,True,True,True
20,4,6,True,3,0,True,True,True
20,4,4,True,3,0,True,True,True
20,4,2,True,3,0,True,True,True
20,4,8,True,4,0,True,True,True
20,4,6,True,3,0,True,True,True
20,4,9,True,4,0,True,True,True
22,2,1,True,3,0,True,True,True
22,2,1,True,3,0,True,True,True
22,2,4,True,3,0,True,True,True
22,2,4,True,3,0,True,True,True
22,2,4,True,3,0,True,True,True
22,2,4,True,3,0,True,True,True
22,4,8,True,4,0,True,True,True
22,4,8,True,4,0,True,True,True
22,4,8,True,4,0,True,True,True
22,4,8,True,4,0,True,True,True
22,4,7,True,3,0,True,True,True
22,4,7,True,3,0,True,True,True
22,4,8,True,4,0,True,True,True
22,4,8,True,4,0,True,True,True
24,2,3,True,3,0,True,True,True
24,2,4,True,3,0,True,True,True
24,2,1,True,3,0,True,True,True
24,2,3,True,3,0,True,True,True
24,2,1,True,3,0,True,True,True
24,2,4,True,3,0,True,True,True
24,4,4,True,3,0,True,True,True
24,4,5,True,3,0,True,True,True
24,4,6,True,3,0,True,True,True
24,4,8,True,4,0,True,True,True
24,4,12,True,4,0,True,True,True
24,4,8,True,4,0,True,True,True
24,4,6,True,3,0,True,True,True
24,4,11,True,4,0,True,True,True
