n_vars,max_depth,exprs,live_k_median,live_k_max,declined_pct,note
16,3,300,4,7,0.0,depth caps leaves at 2^depth
16,4,300,7,12,0.0,depth caps leaves at 2^depth
16,5,300,10,15,0.0,
16,6,300,14,16,0.0,
16,8,300,16,16,0.0,
20,3,300,4,8,0.0,depth caps leaves at 2^depth
20,4,300,7,13,0.0,depth caps leaves at 2^depth
20,5,300,11,18,0.7,
20,6,300,16,20,37.7,
20,8,300,20,20,98.7,
24,3,300,4,8,0.0,depth caps leaves at 2^depth
24,4,300,7,12,0.0,depth caps leaves at 2^depth
24,5,300,12,19,2.7,
24,6,300,18,23,66.0,
24,8,300,24,24,99.7,
28,3,300,4,8,0.0,depth caps leaves at 2^depth
28,4,300,8,13,0.0,depth caps leaves at 2^depth
28,5,300,12,20,5.7,
28,6,300,19,26,75.3,
28,8,300,28,28,100.0,
32,3,300,4,8,0.0,depth caps leaves at 2^depth
32,4,300,8,13,0.0,depth caps leaves at 2^depth
32,5,300,13,22,9.3,
32,6,300,20,27,80.3,
32,8,300,31,32,99.7,
