n,trial,method,traced_peak_bytes
18,0,raw_flat_retained,9611492
18,0,raw_flat_liveness,354344
18,0,cm_flat_retained,7930676
18,0,cm_flat_liveness,492140
18,1,raw_flat_retained,9688584
18,1,raw_flat_liveness,353940
18,1,cm_flat_retained,7519068
18,1,cm_flat_liveness,492200
18,2,raw_flat_retained,9842468
18,2,raw_flat_liveness,354432
18,2,cm_flat_retained,7706556
18,2,cm_flat_liveness,632004
18,3,raw_flat_retained,9519020
18,3,raw_flat_liveness,380620
18,3,cm_flat_retained,6263516
18,3,cm_flat_liveness,561784
18,4,raw_flat_retained,9979328
18,4,raw_flat_liveness,354468
18,4,cm_flat_retained,7395180
18,4,cm_flat_liveness,666988
20,0,raw_flat_retained,38594264
20,0,raw_flat_liveness,1402932
20,0,cm_flat_retained,30204292
20,0,cm_flat_liveness,2519412
20,1,raw_flat_retained,38172124
20,1,raw_flat_liveness,1542772
20,1,cm_flat_retained,32162072
20,1,cm_flat_liveness,1960164
20,2,raw_flat_retained,39123400
20,2,raw_flat_liveness,1542804
20,2,cm_flat_retained,31150692
20,2,cm_flat_liveness,2799140
20,3,raw_flat_retained,39016196
20,3,raw_flat_liveness,1403012
20,3,cm_flat_retained,31323324
20,3,cm_flat_liveness,1960092
20,4,raw_flat_retained,40906188
20,4,raw_flat_liveness,1542908
20,4,cm_flat_retained,32234244
20,4,cm_flat_liveness,3078932
22,0,raw_flat_retained,156000960
22,0,raw_flat_liveness,6147828
22,0,cm_flat_retained,123561324
22,0,cm_flat_liveness,8391500
22,1,raw_flat_retained,156319876
22,1,raw_flat_liveness,6156600
22,1,cm_flat_retained,126117432
22,1,cm_flat_liveness,7832280
22,2,raw_flat_retained,154194548
22,2,raw_flat_liveness,6156556
22,2,cm_flat_retained,127942440
22,2,cm_flat_liveness,8391488
22,3,raw_flat_retained,158781668
22,3,raw_flat_liveness,6156316
22,3,cm_flat_retained,139205608
22,3,cm_flat_liveness,8391652
22,4,raw_flat_retained,158789884
22,4,raw_flat_liveness,6156544
22,4,cm_flat_retained,133621692
22,4,cm_flat_liveness,8950900
