regime,n,session,trial,method,seconds,microseconds,repeats,raw_slots,cm_slots,live_k
cached_depth4,4,0,0,cm_flat_retained,4.912199918180704e-06,4.912199918180704,500,22,10,4
cached_depth4,4,0,0,cm_flat_liveness,3.0851999763399364e-06,3.0851999763399363,500,22,10,4
cached_depth4,4,0,0,cm_wrapper_generic,1.1938800103962422e-05,11.938800103962421,500,22,10,4
cached_depth4,4,0,0,cm_wrapper_liveness,6.723599974066019e-06,6.723599974066019,500,22,10,4
cached_depth4,4,0,0,raw_recursive,1.240239990875125e-05,12.40239990875125,500,22,10,4
cached_depth4,4,0,0,raw_flat_retained,7.006399799138308e-06,7.006399799138308,500,22,10,4
cached_depth4,4,0,0,raw_flat_liveness,7.596000097692013e-06,7.596000097692013,500,22,10,4
cached_depth4,4,0,0,cm_recursive,1.537080015987158e-05,15.370800159871578,500,22,10,4
cached_depth4,4,0,1,cm_flat_liveness,1.3649999164044857e-06,1.3649999164044857,500,7,1,1
cached_depth4,4,0,1,cm_wrapper_generic,4.476199857890606e-06,4.476199857890606,500,7,1,1
cached_depth4,4,0,1,cm_wrapper_liveness,3.3054000232368706e-06,3.3054000232368708,500,7,1,1
cached_depth4,4,0,1,raw_recursive,3.851199988275766e-06,3.851199988275766,500,7,1,1
cached_depth4,4,0,1,raw_flat_retained,3.0114001128822565e-06,3.0114001128822565,500,7,1,1
cached_depth4,4,0,1,raw_flat_liveness,2.0551998168230056e-06,2.0551998168230057,500,7,1,1
cached_depth4,4,0,1,cm_recursive,1.9428001251071693e-06,1.9428001251071694,500,7,1,1
cached_depth4,4,0,1,cm_flat_retained,9.93400113657117e-07,0.9934001136571169,500,7,1,1
cached_depth4,4,0,2,cm_wrapper_generic,3.525200067088008e-06,3.525200067088008,500,3,1,1
cached_depth4,4,0,2,cm_wrapper_liveness,4.77380002848804e-06,4.77380002848804,500,3,1,1
cached_depth4,4,0,2,raw_recursive,1.5006000176072121e-06,1.500600017607212,500,3,1,1
cached_depth4,4,0,2,raw_flat_retained,1.9482001662254334e-06,1.9482001662254333,500,3,1,1
cached_depth4,4,0,2,raw_flat_liveness,1.7572001088410616e-06,1.7572001088410616,500,3,1,1
cached_depth4,4,0,2,cm_recursive,1.6753999516367911e-06,1.6753999516367912,500,3,1,1
cached_depth4,4,0,2,cm_flat_retained,9.777999948710202e-07,0.9777999948710202,500,3,1,1
cached_depth4,4,0,2,cm_flat_liveness,9.62599879130721e-07,0.9625998791307211,500,3,1,1
cached_depth4,4,0,3,cm_wrapper_liveness,9.389800019562244e-06,9.389800019562244,500,15,13,4
cached_depth4,4,0,3,raw_recursive,5.1019999664276836e-06,5.101999966427684,500,15,13,4
