schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8707279181590225,0.9199133325371384,0.844465024811101,0.8952651055474544,stratified_by_cell,0.17697065276510487,63,64
blocked,live_k=8/family=xor_dom,16,0.748337411910213,0.782167179321679,0.661657089276682,0.8232707955925374,formula,0.22043877887502908,15,16
blocked,live_k=8/family=andor_dom,16,0.9020040929446407,0.9194350678594194,0.8568030661130962,0.9434021634459508,formula,0.10148172219639306,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9660224964404491,0.9911535339937014,0.9179757853666826,1.005373472254588,formula,0.09828031525866023,15,16
blocked,live_k=8/family=mixed,16,0.8815291376063347,0.9212807154658827,0.8107205559572656,0.9453713948161637,formula,0.1597399699964548,15,16
blocked,live_k=8/shape=tree,32,0.9439822431380644,0.9628386362998236,0.9127015489133758,0.9718880921253714,formula,0.08982572472962373,31,32
blocked,live_k=8/shape=shared,32,0.8031582299060871,0.8380050209209338,0.7466322858909016,0.8591049115630571,formula,0.20520175835134513,31,32
blocked,live_k=12,64,0.8687974181793343,0.9035490181127412,0.8505728293286978,0.8864421597814556,stratified_by_cell,0.13961496914251295,63,64
blocked,live_k=12/family=xor_dom,16,0.7638490619436165,0.7785850470535689,0.7253137289173195,0.8003301509469988,formula,0.10451645598248044,15,16
blocked,live_k=12/family=andor_dom,16,0.8668637948482621,0.8668042911669795,0.8313559177544132,0.9046754425579271,formula,0.09147791761159998,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9689085760944411,0.9880990143413182,0.940652242180036,0.9920208314808159,formula,0.05596739988453339,15,16
blocked,live_k=12/family=mixed,16,0.8880407035944089,0.9388312305535833,0.8122271544172183,0.9545624506571587,formula,0.16899821825606678,15,16
blocked,live_k=12/shape=tree,32,0.9178680700156212,0.9505842842673095,0.8854608915047357,0.9494160332963171,formula,0.10517562417122257,31,32
blocked,live_k=12/shape=shared,32,0.8223501595629434,0.8289740124274896,0.7819520015534323,0.86397310526832,formula,0.14939602681091116,31,32
blocked,live_k=16,64,0.9253864216572528,0.9323951691354657,0.9133057125849142,0.9387396266347247,stratified_by_cell,0.0806790291466805,63,64
blocked,live_k=16/family=xor_dom,16,0.8530094087105383,0.8637492880506048,0.8222102046227963,0.8795476050327632,formula,0.07154092327704657,15,16
blocked,live_k=16/family=andor_dom,16,0.9267044701268031,0.9238151510847445,0.8958151228945955,0.9652510978631182,formula,0.07725438112650145,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9790140658813788,0.9859197876345395,0.9538791752925504,1.000471552690223,formula,0.05073585761695535,15,16
blocked,live_k=16/family=mixed,16,0.9475638417075736,0.9437302100058865,0.92393677309617,0.9701476580177439,formula,0.051160514369061494,15,16
blocked,live_k=16/shape=tree,32,0.950138617189133,0.9664150113273287,0.9311289468532495,0.9689791497924275,formula,0.058116780501162243,31,32
blocked,live_k=16/shape=shared,32,0.9012790490728506,0.9015022207093968,0.8742178509139461,0.9281226134611188,formula,0.09171761343888292,31,32
blocked,family=xor_dom/shape=tree,24,0.8412501509754485,0.83497961465457,0.8152597249475073,0.8675990164182411,formula,0.07939759991769037,23,24
blocked,family=xor_dom/shape=shared,24,0.7364004817784826,0.7573144838102325,0.682196275334819,0.7839645080044796,formula,0.1830367997444164,23,24
blocked,family=andor_dom/shape=tree,24,0.9419050592012537,0.9378398804806719,0.9219904653794038,0.9617589531000211,formula,0.0562585115325316,23,24
blocked,family=andor_dom/shape=shared,24,0.8564985346815195,0.8516048460626721,0.824417036049244,0.8905028035863306,formula,0.09877294258070951,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9949149023807354,0.9999813737956251,0.9801676625696775,1.0086289230816077,formula,0.03662945128308151,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9482438728690755,0.9827185674769404,0.9135277710461276,0.9788960301685513,formula,0.08685218924233944,23,24
blocked,family=mixed/shape=tree,24,0.9787156254986431,0.9896779502828793,0.9585125135460952,0.9966543525726587,formula,0.05078013803082346,23,24
blocked,family=mixed/shape=shared,24,0.8372635036506093,0.8975043883524072,0.7867794405972837,0.8859606644387962,formula,0.15453478185202987,23,24
blocked,all,192,0.8879217710221067,0.9231794624784865,0.8764410087721892,0.8990716122365229,stratified_by_cell,0.1405912663487026,191,192
round_robin,live_k=8,64,0.8866715733462939,0.9258883684978546,0.863469447678917,0.9094360357385001,stratified_by_cell,0.155006190210241,63,64
round_robin,live_k=8/family=xor_dom,16,0.7839001279721753,0.8323982698072825,0.699677478057012,0.8573646532795334,formula,0.21099580662504602,15,16
round_robin,live_k=8/family=andor_dom,16,0.9081727253851082,0.9203742398243691,0.8729826179292451,0.941470657838679,formula,0.07942283355236537,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9650803293972668,0.9872076431070693,0.9249177771522641,0.9978439778899704,formula,0.08258722642956233,15,16
round_robin,live_k=8/family=mixed,16,0.8996187260497133,0.9305395192430005,0.8374039910369931,0.9555673827571869,formula,0.1363136238949583,15,16
round_robin,live_k=8/shape=tree,32,0.9540277880373752,0.9761792668623771,0.9310396818468419,0.9745710828156924,formula,0.06648725183111663,31,32
round_robin,live_k=8/shape=shared,32,0.8240708382276098,0.8583865625727417,0.7704782302597228,0.8733331922796981,formula,0.18259431895686523,31,32
round_robin,live_k=12,64,0.8926924152227326,0.9128555556565039,0.875298019013181,0.9102835702679978,stratified_by_cell,0.13161913750922508,63,64
round_robin,live_k=12/family=xor_dom,16,0.7861466141835818,0.7910551774813258,0.7439872284395723,0.830610457608106,formula,0.11529938776518309,15,16
round_robin,live_k=12/family=andor_dom,16,0.8968905519253192,0.8850410234286414,0.8680562825493844,0.9296687078271908,formula,0.07381599217639559,15,16
