group,category,n_formulas,geomean_cm_cse_flat_blocked,geomean_cm_cse_blocked,ci95_lo,ci95_hi,bootstrap
circuit:adder.aig,arithmetic,7,1.0108816862283732,0.9292127446979395,,,
circuit:arbiter.aig,random_control,4,0.9879205608632784,0.9040783522521533,,,
circuit:bar.aig,arithmetic,5,1.012648150436903,0.8457550943649709,,,
circuit:cavlc.aig,random_control,8,0.9459623680324711,0.8829200598954441,,,
circuit:dec.aig,random_control,8,1.058904653201737,0.826377577400832,,,
circuit:div.aig,arithmetic,5,1.0732938959718041,0.9613228962709482,,,
circuit:hyp.aig,arithmetic,8,0.8929550968956815,0.9013664254843996,,,
circuit:i2c.aig,random_control,8,0.9162082464954285,0.884791664015378,,,
circuit:int2float.aig,random_control,8,1.0893741582072198,0.9862410214500537,,,
circuit:log2.aig,arithmetic,8,1.060268552945052,0.8907122086079573,,,
circuit:max.aig,arithmetic,6,0.9926909668146358,0.9571139187898458,,,
circuit:mem_ctrl.aig,random_control,4,1.1043817513509344,1.0574535272159473,,,
circuit:multiplier.aig,arithmetic,8,1.0122543053959754,0.9923370368456245,,,
circuit:priority.aig,random_control,5,1.035291990909987,0.9273546109298476,,,
circuit:router.aig,random_control,7,0.9464624303633951,0.9633289019130619,,,
circuit:sin.aig,arithmetic,7,0.9896946098024468,0.8845545623547966,,,
circuit:sqrt.aig,arithmetic,8,1.0048892399967397,0.9587642381505701,,,
circuit:square.aig,arithmetic,8,0.9800480908862272,0.9707955260205008,,,
circuit:voter.aig,random_control,7,0.989928528912811,0.9556999245728012,,,
all:primary_cm_cse_flat_blocked,all,129,0.9998256738822606,,0.9746915270026072,1.0249051888849583,circuit_clustered_4000
all:cm_cse_flat_round_robin,all,129,1.007612429874372,,0.9969071882832847,1.0167021255440305,circuit_clustered_4000
all:cm_cse_blocked_secondary,all,129,0.9267718238139802,,0.9026106253016197,0.9507014629561136,circuit_clustered_4000
