schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,sigma_log,df
blocked,live_k=8,32,0.767894145200324,0.8670105504440863,0.6314250172730557,0.8855377656698554,0.5280321844921149,31
blocked,live_k=8/family=xor_dom,8,0.7168044228424207,0.6920395376423304,0.6263672064660313,0.8308309650441195,0.22261380147594906,7
blocked,live_k=8/family=andor_dom,8,0.7988147759576057,0.8138348763775798,0.6357663784470242,0.963747457069978,0.3190873995293067,7
blocked,live_k=8/family=impeqv_dom,8,0.9226503498632748,0.9294123421826607,0.8717692805315035,0.9757124974916201,0.08795250230695097,7
blocked,live_k=8/family=mixed,8,0.6581448823486391,0.9802974423938453,0.319167087246522,1.000320108844325,1.0013739928083953,7
blocked,live_k=8/shape=tree,16,0.9380486576947527,0.9964800482613473,0.858940998226272,1.0060920178450226,0.16582724160425416,15
blocked,live_k=8/shape=shared,16,0.628604298290906,0.7481672862793932,0.44456418418190724,0.8041914036377336,0.6806348846884815,15
blocked,live_k=12,32,0.8604162265796146,0.904648151750851,0.7988803986529551,0.9143413464675794,0.20093099717879467,31
blocked,live_k=12/family=xor_dom,8,0.697300404175432,0.7262699315728809,0.5743793396842221,0.8329350249469396,0.28914409804966923,7
blocked,live_k=12/family=andor_dom,8,0.9071093972196181,0.933259610038438,0.8457026258445526,0.9705693036435368,0.10886255716915895,7
blocked,live_k=12/family=impeqv_dom,8,0.9695500921710956,0.9948533774337981,0.916812413189976,1.0213673933125955,0.08342094573522207,7
blocked,live_k=12/family=mixed,8,0.8936851337860254,0.8959805687825892,0.8551864196384018,0.9340664741275376,0.06893141550232197,7
blocked,live_k=12/shape=tree,16,0.9388234134351412,0.9597334178388572,0.8928854254851999,0.9821664908897748,0.10107772124113332,15
blocked,live_k=12/shape=shared,16,0.7885573286382971,0.8361712193613218,0.6964883734504836,0.8753796790393593,0.2387377300355581,15
blocked,live_k=16,32,0.9061846887733848,0.9459246233546429,0.8443562417495427,0.9548155877948039,0.18435211613774796,31
blocked,live_k=16/family=xor_dom,8,0.7598556142146797,0.8022295516800519,0.6147113468236259,0.8853090879164031,0.29885055730184806,7
blocked,live_k=16/family=andor_dom,8,0.9166711237563973,0.926718119104191,0.8851378840925376,0.9451663776190794,0.05099904203612005,7
blocked,live_k=16/family=impeqv_dom,8,1.0004345716831244,1.0047506786125802,0.9657287575977769,1.03068190383743,0.050333089728878476,7
blocked,live_k=16/family=mixed,8,0.9676840018227907,0.9671658570478239,0.9276384687659842,1.0099529302865606,0.06593163763256527,7
blocked,live_k=16/shape=tree,16,0.9569450660702793,0.9670526699434981,0.9229957291701522,0.9864925247730045,0.06797495788159685,15
blocked,live_k=16/shape=shared,16,0.8581168546481731,0.9187784305622368,0.7479001052668998,0.9406490213077772,0.24347346391236702,15
blocked,all,96,0.8428343416135085,0.927579735657265,0.7796250535193122,0.8937076883530679,0.3465267213174222,95
round_robin,live_k=8,32,0.7840485370746272,0.8819403137574675,0.6685190132756484,0.8828619042583996,0.42556639245375,31
round_robin,live_k=8/family=xor_dom,8,0.7144612309597159,0.7354562333970034,0.618978044913706,0.8138940344272311,0.21351781320725174,7
round_robin,live_k=8/family=andor_dom,8,0.8355961300352484,0.8998417632453728,0.6844080585227709,0.9591928250546293,0.258862425313108,7
round_robin,live_k=8/family=impeqv_dom,8,0.909772466039601,0.9795141443888401,0.8386643923501421,0.9817126734233664,0.12366463832283349,7
round_robin,live_k=8/family=mixed,8,0.69576714815856,0.9401172160024541,0.39380401310587304,0.9761300738402029,0.7861672531184809,7
round_robin,live_k=8/shape=tree,16,0.9191847334283996,0.9607471186654745,0.8429287441339336,0.9765498058396178,0.15287868909524097,15
round_robin,live_k=8/shape=shared,16,0.6687797198241304,0.785872557559368,0.5090164758606006,0.8212802236784629,0.5449510207716711,15
round_robin,live_k=12,32,0.8783712603864865,0.913290357039733,0.8201262826464312,0.9290824450449232,0.18463112730988226,31
round_robin,live_k=12/family=xor_dom,8,0.7293677421425208,0.7701004982722349,0.6068345902882903,0.8551005847023928,0.26900689263597594,7
round_robin,live_k=12/family=andor_dom,8,0.9094835245442643,0.9134167073663811,0.862213028660342,0.9608675278061415,0.08416059321542453,7
round_robin,live_k=12/family=impeqv_dom,8,0.9722285311817576,1.001344194569533,0.9092936132093551,1.0213482299561927,0.09064549532241284,7
round_robin,live_k=12/family=mixed,8,0.9230021667123396,0.9154523244304745,0.8739277742771346,0.9786734614999877,0.08852489117408315,7
round_robin,live_k=12/shape=tree,16,0.9600459074628477,0.966096558247719,0.9195405349590382,0.9981296094497086,0.0850632828924018,15
round_robin,live_k=12/shape=shared,16,0.8036449768448205,0.8404938095487423,0.719856935849822,0.8790552728473658,0.21528929855080522,15
round_robin,live_k=16,32,0.9119388267329219,0.9504165933880161,0.8509165436309603,0.9596336571534245,0.184650442326782,31
round_robin,live_k=16/family=xor_dom,8,0.7652028983859188,0.8217525586183856,0.6143071785236779,0.8934703587495635,0.3079518225520826,7
round_robin,live_k=16/family=andor_dom,8,0.9236231960074748,0.9228804692666358,0.8997050555932723,0.9459040006874176,0.03988364087299199,7
round_robin,live_k=16/family=impeqv_dom,8,1.003732719115264,1.0133390635491843,0.9743044038061872,1.0292589799480958,0.04419501992006818,7
round_robin,live_k=16/family=mixed,8,0.974929715230664,0.9854393335529374,0.9481952740889482,0.9994466659756718,0.04059813129720455,7
round_robin,live_k=16/shape=tree,16,0.9664639515165575,0.972022750081428,0.936277522941573,0.9944694179527539,0.061659626135459146,15
round_robin,live_k=16/shape=shared,16,0.8604898531373425,0.9126694850961978,0.7491316508307473,0.9395547128973669,0.2438618021445596,15
round_robin,all,96,0.8563716027538487,0.9255367007102292,0.8031582479621069,0.8995689667302159,0.29243475625034027,95
