id,family,live_k,tree_occurrences,cm_old_flat_instructions,cm_new_flat_instructions,cm_old_executed_word_ops,cm_new_executed_word_ops,cse_executed_word_ops,cm_old_prep_us,cm_new_prep_us,cse_prep_us,cm_old_kernel_us,cm_new_kernel_us,cse_kernel_us,cm_old_peak_live_word_buffers,cm_new_peak_live_word_buffers,cm_new_wrapper_overhead_us,breakeven_evals_vs_cse,packed_equal_all_arms
chains_low_sharing-chain_xor_k8-a2a467d9d07b,chains_low_sharing,8,15,1,1,7,7,7,98.50002243183553,141.70000213198364,34.70000228844583,5.635000125039369,5.652999971061945,7.774000114295632,1,1,21.004999871365726,51,True
chains_low_sharing-chain_xor_k12-c67b052adb20,chains_low_sharing,12,23,1,1,11,11,11,220.20001779310405,284.10000959411263,54.39997767098248,10.76799992006272,11.017000069841743,14.694000128656626,1,1,17.16099970508367,63,True
chains_low_sharing-chain_xor_k16-dfe6ea21eca3,chains_low_sharing,16,31,1,1,15,15,15,297.19999292865396,366.09999369829893,61.60000339150429,26.175999955739826,26.174000231549144,31.004000047687445,1,1,19.625999848358333,64,True
chains_low_sharing-chain_and_k8-3ed264e9ad7c,chains_low_sharing,8,15,1,1,7,7,7,101.39998630620539,137.29999773204327,32.70001616328955,6.317000079434365,6.321999826468527,8.382000087294728,1,1,18.054000101983547,51,True
chains_low_sharing-chain_and_k12-89d2933a0b64,chains_low_sharing,12,23,1,1,11,11,11,182.80002404935658,239.60001999512315,47.59998410008848,10.277999972458929,10.302999871782959,13.851999829057604,1,1,17.379000200890005,55,True
chains_low_sharing-chain_and_k16-08b0d99d2e39,chains_low_sharing,16,31,1,1,15,15,15,279.2000013869256,351.2999974191189,59.600017266348004,27.6169998687692,27.41600008448586,33.82900002179667,1,1,22.529999550897628,46,True
chains_low_sharing-chain_or_k8-b75a76f249de,chains_low_sharing,8,15,1,1,7,7,7,102.99999848939478,143.60001659952104,33.69999467395246,6.476000125985593,6.476000125985593,8.710999973118305,1,1,14.019999944139272,50,True
chains_low_sharing-chain_or_k12-98fc14168b1f,chains_low_sharing,12,23,1,1,11,11,11,166.29998572170734,223.99998852051795,46.10000178217888,9.338000090792775,9.515999990981072,12.390000047162175,1,1,19.164000113960356,62,True
chains_low_sharing-chain_or_k16-2bfcc91fb38e,chains_low_sharing,16,31,1,1,15,15,15,268.1999758351594,334.69998743385077,59.10001345910132,27.430999907664955,27.283999952487648,33.79100002348423,1,1,21.60399977583438,43,True
chains_low_sharing-chain_imp_k8-a8de7879655b,chains_low_sharing,8,15,7,7,14,14,14,55.99998985417187,89.70001363195479,32.9999893438071,10.845000215340406,10.913999867625535,10.843999916687608,2,2,19.1280001308769,,True
chains_low_sharing-chain_imp_k12-b26df97f8a08,chains_low_sharing,12,23,11,11,22,22,22,92.50000584870577,142.30000670067966,49.49999856762588,17.04299997072667,17.404000100214034,17.21899985568598,2,2,21.259999775793403,,True
chains_low_sharing-chain_imp_k16-6ce9b7fd7a1f,chains_low_sharing,16,31,15,15,30,30,30,131.60001253709197,189.89999080076814,61.9000056758523,43.7519999104552,43.560999911278486,43.62699983175844,2,2,26.71099966391921,1940,True
chains_low_sharing-chain_eqv_k8-9fb1d94930db,chains_low_sharing,8,15,7,7,14,14,14,66.89998554065824,98.10001938603818,35.900011425837874,10.706000030040741,10.678000107873231,10.850999969989061,2,2,20.213999960105866,360,True
chains_low_sharing-chain_eqv_k12-0c468887dc5d,chains_low_sharing,12,23,11,11,22,22,22,186.79999629966915,287.69997879862785,85.0000069476664,16.709000046830624,17.670999804977328,17.176999826915562,2,2,21.989000088069588,,True
chains_low_sharing-chain_eqv_k16-6ce5ac3a74f3,chains_low_sharing,16,31,15,15,30,30,30,139.30001296103,197.89999350905418,57.7000027988106,47.75299981702119,45.91800010530278,48.417999933008105,2,2,25.30200028559193,57,True
random_trees_depth4-tree_d4_s1-b2c6c18ce11c,random_trees_depth4,3,9,5,5,7,7,7,43.60001184977591,90.0000159163028,23.40000355616212,6.131000118330121,6.1079999431967735,6.179000192787498,3,3,16.920000198297203,939,True
random_trees_depth4-tree_d4_s2-f882ea73f2f0,random_trees_depth4,7,18,9,9,12,12,12,102.40002302452922,157.30000450275838,47.00000863522291,11.493000201880932,11.447000142652541,11.520000116433948,4,4,19.05899989651516,1511,True
random_trees_depth4-tree_d4_s3-1f272205c552,random_trees_depth4,6,16,6,6,9,9,13,72.29999755509198,117.59999324567616,41.49999585933983,11.381000222172588,10.680999839678407,14.746999950148165,4,4,15.097000286914408,19,True
random_trees_depth4-tree_d4_s4-795edc0e68b2,random_trees_depth4,5,11,3,3,6,6,6,59.40001574344933,84.10000009462237,24.300010409206152,5.89100003708154,5.837999924551696,6.610999989788979,3,3,17.411999579053372,78,True
random_trees_depth4-tree_d4_s5-beb1bca5ce61,random_trees_depth4,4,11,5,5,7,7,7,56.29999213851988,85.79998393543065,25.19998815841973,6.719999946653843,6.756999937351793,7.132000173442066,3,3,18.773000047076494,162,True
random_trees_depth4-tree_d4_s6-f9d6f4a38bc0,random_trees_depth4,8,22,7,7,9,9,13,116.59998563118279,172.0000000204891,44.60001946426928,9.644999809097499,9.868000051937997,12.457999982871115,5,5,18.389999750070274,50,True
random_trees_depth4-tree_d4_s7-b96a79b7a19e,random_trees_depth4,3,8,3,3,3,3,5,31.69997944496572,51.80001608096063,21.499989088624716,3.970999969169497,4.011999990325421,5.075999943073839,3,3,16.792000096756965,29,True
random_trees_depth4-tree_d4_s8-67880d56ece3,random_trees_depth4,6,15,6,6,10,10,12,65.3000024612993,99.9000039882958,33.7999954354018,11.576000251807272,11.992999934591353,12.282999814487994,3,3,17.266999930143356,228,True
random_trees_depth4-tree_d4_s9-57f18c7fb2b9,random_trees_depth4,7,17,9,9,11,11,11,86.79999154992402,121.79999612271786,33.800024539232254,10.167000000365078,10.051999997813255,10.33600012306124,3,3,19.850000098813325,310,True
random_trees_depth4-tree_d4_s10-f7b52ff54e77,random_trees_depth4,5,17,7,7,11,11,11,92.999980552122,132.59999104775488,36.49998689070344,10.694999946281314,11.105999874416739,10.990000155288726,3,3,19.386000058148056,,True
random_trees_depth4-tree_d4_s11-01fe1fef2125,random_trees_depth4,8,20,9,9,15,15,15,95.49999958835542,139.79998766444623,41.099992813542485,12.442000152077526,12.364999856799841,12.376999948173761,4,4,19.81100009288639,8225,True
