section,payload
cprofile,"{'ambient_n': 24, 'profile_total_s': 0.004, 'bind_cum_s': 0.0017, 'bind_fraction': 0.427, 'sorted_internal_s': 0.0}"
cprofile,"{'ambient_n': 32, 'profile_total_s': 0.0049, 'bind_cum_s': 0.0024, 'bind_fraction': 0.48, 'sorted_internal_s': 0.0}"
key_scaling,"{'fixed_count': 8, 'items_us': 0.571, 'sorted_items_us': 1.135, 'full_key_us': 1.445, 'hash_prebuilt_us': 0.36, 'dict_get_prebuilt_us': 0.322}"
key_scaling,"{'fixed_count': 16, 'items_us': 1.046, 'sorted_items_us': 1.721, 'full_key_us': 1.98, 'hash_prebuilt_us': 0.264, 'dict_get_prebuilt_us': 0.286}"
key_scaling,"{'fixed_count': 18, 'items_us': 1.053, 'sorted_items_us': 1.94, 'full_key_us': 2.017, 'hash_prebuilt_us': 0.482, 'dict_get_prebuilt_us': 0.358}"
key_scaling,"{'fixed_count': 24, 'items_us': 1.374, 'sorted_items_us': 2.235, 'full_key_us': 2.189, 'hash_prebuilt_us': 0.533, 'dict_get_prebuilt_us': 0.643}"
key_scaling,"{'fixed_count': 26, 'items_us': 1.25, 'sorted_items_us': 1.885, 'full_key_us': 1.99, 'hash_prebuilt_us': 0.417, 'dict_get_prebuilt_us': 0.408}"
key_scaling,"{'fixed_count': 32, 'items_us': 1.383, 'sorted_items_us': 2.308, 'full_key_us': 2.404, 'hash_prebuilt_us': 0.52, 'dict_get_prebuilt_us': 0.462}"
key_scaling,"{'fixed_count': 48, 'items_us': 2.109, 'sorted_items_us': 3.211, 'full_key_us': 3.262, 'hash_prebuilt_us': 0.604, 'dict_get_prebuilt_us': 0.657}"
key_scaling,"{'fixed_count': 64, 'items_us': 2.48, 'sorted_items_us': 4.346, 'full_key_us': 5.214, 'hash_prebuilt_us': 0.878, 'dict_get_prebuilt_us': 0.778}"
template_copy,"{'n_slots': 16, 'copy_us': 0.123}"
template_copy,"{'n_slots': 32, 'copy_us': 0.172}"
template_copy,"{'n_slots': 64, 'copy_us': 0.17}"
template_copy,"{'n_slots': 128, 'copy_us': 0.463}"
population_comparability,"{'n': 24, 'rows': 300, 'live_k_median': 5.0, 'live_k_p90': 9.0}"
population_comparability,"{'n': 28, 'rows': 300, 'live_k_median': 6.0, 'live_k_p90': 9.0}"
population_comparability,"{'n': 32, 'rows': 300, 'live_k_median': 6.0, 'live_k_p90': 9.0}"
