n,trial,my_semantic_live_k,v3_semantic_live_k,methods_agree,const_kind,dead_sample_ok,syntactic_live_k,my_raw_ast_nodes,my_raw_ast_ops,v3_raw_ast_ops,my_cm_ops,v3_cm_ops,match_v3_live,match_v3_counts
16,0,12,12,True,nonconst,True,16,65,37,37,17,17,True,True
16,1,14,14,True,nonconst,True,16,226,134,134,39,39,True,True
16,2,8,8,True,nonconst,True,16,236,132,132,26,26,True,True
16,3,16,16,True,nonconst,True,16,146,84,84,26,26,True,True
16,4,8,8,True,nonconst,True,16,123,69,69,24,24,True,True
16,5,16,16,True,nonconst,True,16,270,158,158,30,30,True,True
18,0,6,6,True,nonconst,True,18,238,138,138,30,30,True,True
18,1,16,16,True,nonconst,True,18,465,269,269,43,43,True,True
18,2,0,0,True,const_true,True,18,257,149,149,27,27,True,True
18,3,18,18,True,nonconst,True,18,163,93,93,24,24,True,True
18,4,8,8,True,nonconst,True,18,197,115,115,37,37,True,True
18,5,0,0,True,const_false,True,18,596,348,348,40,40,True,True
20,0,8,8,True,nonconst,True,20,650,366,366,39,39,True,True
20,1,18,18,True,nonconst,True,20,212,118,118,29,29,True,True
20,2,12,12,True,nonconst,True,20,220,126,126,43,43,True,True
20,3,20,20,True,nonconst,True,20,166,96,96,32,32,True,True
22,0,18,18,True,nonconst,True,22,299,175,175,33,33,True,True
22,1,18,18,True,nonconst,True,22,858,498,498,48,48,True,True
22,2,12,12,True,nonconst,True,22,266,154,154,47,47,True,True
24,0,18,18,True,nonconst,True,24,227,131,131,40,40,True,True
24,1,16,16,True,nonconst,True,24,346,198,198,40,40,True,True
24,2,22,22,True,nonconst,True,24,271,155,155,43,43,True,True
26,0,10,10,True,nonconst,True,26,365,215,215,48,48,True,True
26,1,16,16,True,nonconst,True,26,418,246,246,47,47,True,True
28,0,18,18,True,nonconst,True,28,226,132,132,47,47,True,True
28,1,0,0,True,const_false,True,28,1077,629,629,67,67,True,True
30,0,14,14,True,nonconst,True,30,382,222,222,51,51,True,True
30,1,20,20,True,nonconst,True,30,379,219,219,56,56,True,True
32,0,16,16,True,nonconst,True,32,386,218,218,38,38,True,True
