n_vars,expr_index,contexts,full_flat_eq,full_words_eq,restricted_flat_eq,restricted_words_eq,all_eq
8,0,4,True,True,True,True,True
8,1,4,True,True,True,True,True
8,2,4,True,True,True,True,True
8,3,4,True,True,True,True,True
8,4,4,True,True,True,True,True
8,5,4,True,True,True,True,True
9,0,4,True,True,True,True,True
9,1,4,True,True,True,True,True
9,2,4,True,True,True,True,True
9,3,4,True,True,True,True,True
9,4,4,True,True,True,True,True
9,5,4,True,True,True,True,True
10,0,4,True,True,True,True,True
10,1,4,True,True,True,True,True
10,2,4,True,True,True,True,True
10,3,4,True,True,True,True,True
10,4,4,True,True,True,True,True
10,5,4,True,True,True,True,True
11,0,4,True,True,True,True,True
11,1,4,True,True,True,True,True
11,2,4,True,True,True,True,True
11,3,4,True,True,True,True,True
11,4,4,True,True,True,True,True
11,5,4,True,True,True,True,True
12,0,4,True,True,True,True,True
12,1,4,True,True,True,True,True
12,2,4,True,True,True,True,True
12,3,4,True,True,True,True,True
12,4,4,True,True,True,True,True
12,5,4,True,True,True,True,True
13,0,4,True,True,True,True,True
13,1,4,True,True,True,True,True
13,2,4,True,True,True,True,True
13,3,4,True,True,True,True,True
13,4,4,True,True,True,True,True
13,5,4,True,True,True,True,True
14,0,4,True,True,True,True,True
14,1,4,True,True,True,True,True
14,2,4,True,True,True,True,True
14,3,4,True,True,True,True,True
14,4,4,True,True,True,True,True
14,5,4,True,True,True,True,True
15,0,4,True,True,True,True,True
15,1,4,True,True,True,True,True
15,2,4,True,True,True,True,True
15,3,4,True,True,True,True,True
15,4,4,True,True,True,True,True
15,5,4,True,True,True,True,True
16,0,4,True,True,True,True,True
16,1,4,True,True,True,True,True
16,2,4,True,True,True,True,True
16,3,4,True,True,True,True,True
16,4,4,True,True,True,True,True
16,5,4,True,True,True,True,True
17,0,4,True,True,True,True,True
17,1,4,True,True,True,True,True
17,2,4,True,True,True,True,True
17,3,4,True,True,True,True,True
17,4,4,True,True,True,True,True
17,5,4,True,True,True,True,True
18,0,4,True,True,True,True,True
18,1,4,True,True,True,True,True
18,2,4,True,True,True,True,True
18,3,4,True,True,True,True,True
18,4,4,True,True,True,True,True
18,5,4,True,True,True,True,True
