n_vars,expr_index,words_eval_requested,response_ok,remote_words_eval_echo,full_scope,packed_bits_equal,case_ok
8,0,False,True,False,True,True,True
8,0,True,True,True,True,True,True
8,1,False,True,False,True,True,True
8,1,True,True,True,True,True,True
8,2,False,True,False,True,True,True
8,2,True,True,True,True,True,True
8,3,False,True,False,True,True,True
8,3,True,True,True,True,True,True
10,0,False,True,False,True,True,True
10,0,True,True,True,True,True,True
10,1,False,True,False,True,True,True
10,1,True,True,True,True,True,True
10,2,False,True,False,True,True,True
10,2,True,True,True,True,True,True
10,3,False,True,False,True,True,True
10,3,True,True,True,True,True,True
12,0,False,True,False,True,True,True
12,0,True,True,True,True,True,True
12,1,False,True,False,True,True,True
12,1,True,True,True,True,True,True
12,2,False,True,False,True,True,True
12,2,True,True,True,True,True,True
12,3,False,True,False,True,True,True
12,3,True,True,True,True,True,True
14,0,False,True,False,True,True,True
14,0,True,True,True,True,True,True
14,1,False,True,False,True,True,True
14,1,True,True,True,True,True,True
14,2,False,True,False,True,True,True
14,2,True,True,True,True,True,True
14,3,False,True,False,True,True,True
14,3,True,True,True,True,True,True
stale_worker_sim,,True,True,,,,True
