check,n_vars,expr_index,detail,ok
byte_identity,8,0,,True
byte_identity,8,1,,True
byte_identity,8,2,,True
byte_identity,8,3,,True
byte_identity,8,4,,True
byte_identity,8,5,,True
byte_identity,8,6,,True
byte_identity,8,7,,True
byte_identity,10,0,,True
byte_identity,10,1,,True
byte_identity,10,2,,True
byte_identity,10,3,,True
byte_identity,10,4,,True
byte_identity,10,5,,True
byte_identity,10,6,,True
byte_identity,10,7,,True
byte_identity,12,0,,True
byte_identity,12,1,,True
byte_identity,12,2,,True
byte_identity,12,3,,True
byte_identity,12,4,,True
byte_identity,12,5,,True
byte_identity,12,6,,True
byte_identity,12,7,,True
byte_identity,14,0,,True
byte_identity,14,1,,True
byte_identity,14,2,,True
byte_identity,14,3,,True
byte_identity,14,4,,True
byte_identity,14,5,,True
byte_identity,14,6,,True
byte_identity,14,7,,True
byte_identity,16,0,,True
byte_identity,16,1,,True
byte_identity,16,2,,True
byte_identity,16,3,,True
byte_identity,16,4,,True
byte_identity,16,5,,True
byte_identity,16,6,,True
byte_identity,16,7,,True
opcode_coverage,,,"[0, 1, 2, 3, 4, 5]",True
unknown_opcode_raises,,,eval_expr_flat_bitset,True
unknown_opcode_raises,,,eval_cm_node_flat,True
unknown_opcode_raises,,,_eval_words,True
perf_median_s,18,,words_new,0.001324523332489965
perf_min_s,18,,words_new,0.0011860766661508629
perf_median_s,18,,words_old,0.0013404991671753426
perf_min_s,18,,words_old,0.0012176949996501208
perf_median_s,18,,flat_new,0.004593355001028006
perf_min_s,18,,flat_new,0.004173066664952785
perf_median_s,18,,flat_old,0.00443337833470044
perf_min_s,18,,flat_old,0.004239458332691962
perf_ratio_new_over_old,18,,words,0.974
perf_ratio_new_over_old,18,,flat,0.9843
