n_vars,max_depth,exprs,repr3_bitset_live_le_7,repr4_tt_7_lt_live_le_16,refused_live_gt_16,live_k_min,live_k_max
18,2,30,30,0,0,1,4
18,4,30,17,13,0,3,11
18,6,30,0,23,7,11,18
18,8,30,0,1,29,16,18
18,10,30,0,0,30,18,18
20,2,30,30,0,0,1,4
20,4,30,16,14,0,3,11
20,6,30,0,14,16,12,20
20,8,30,0,1,29,16,20
20,10,30,0,0,30,20,20
22,2,30,30,0,0,1,4
22,4,30,16,14,0,3,12
22,6,30,0,12,18,11,21
22,8,30,0,0,30,18,22
22,10,30,0,0,30,22,22
24,2,30,30,0,0,1,4
24,4,30,15,15,0,3,12
24,6,30,0,8,22,11,22
24,8,30,0,0,30,21,24
24,10,30,0,0,30,24,24
