check,ok,detail
wrapper_n16,True,identity=True; summary=True; rows=300
wrapper_n18,True,identity=True; summary=True; rows=300
wrapper_n20,True,identity=True; summary=True; rows=300
wrapper_n22,True,identity=True; summary=True; rows=300
wrapper_n24,True,identity=True; summary=True; rows=300
wrapper_n26,True,identity=True; summary=True; rows=300
wrapper_n28,True,identity=True; summary=True; rows=300
wrapper_n30,True,identity=True; summary=True; rows=300
wrapper_n32,True,identity=True; summary=True; rows=300
wrapper_seed_expression_parity,True,live_k mismatches=0/2700
CM_FABLE_cudd_matched_headline_runpod_raw.csv,True,rows=40; threshold=7
CM_FABLE_cudd_matched_headline_runpod_summary.csv,True,groups=5; medians/ratio reconstructed
CM_FABLE_autoref_matched_headline_runpod_raw.csv,True,rows=40; threshold=7
CM_FABLE_autoref_matched_headline_runpod_summary.csv,True,groups=5; medians/ratio reconstructed
explicit_cudd_no_fallback,True,module=None; error_present=True
cm_benchmark_charts.html_cudd_array,True,"parsed=[0.63, 4.4, 4.62, 4.81, 3.41, 3.34, 3.18, 3.19, 3.24]; expected=[0.63, 4.4, 4.62, 4.81, 3.41, 3.34, 3.18, 3.19, 3.24]"
cm_head_to_head_explained.html_cudd_array,True,"parsed=[0.63, 4.4, 4.62, 4.81, 3.41, 3.34, 3.18, 3.19, 3.24]; expected=[0.63, 4.4, 4.62, 4.81, 3.41, 3.34, 3.18, 3.19, 3.24]"
