check,ok,detail
F5_support_three_methods,True,29 BDD; 24 cofactor; 12 vector; disagreements=0
F5_summary,True,"all_live=4; median=16; constants=[(18, 2, 'const_true'), (18, 5, 'const_false'), (28, 1, 'const_false')]"
F3_bootstrap_13700000,True,"n=300 median=1.0892 ci95=[1.0603,1.1254]"
F3_bootstrap_28900000,True,"n=300 median=1.0785 ci95=[1.0453,1.1073]"
F3_bootstrap_wrapper_n24,True,"n=300 median=1.0158 ci95=[0.9844,1.0493]"
F2_depth6_le7,True,n=15 median=0.9767
F2_depth6_8to11,True,n=33 median=0.0334
F2_depth6_12to16,True,n=64 median=0.0786
F4_profile_n24,True,full/prebound/key_us=7.083/2.424/2.839
F4_profile_n32,True,full/prebound/key_us=8.909/2.347/4.389
