check,ok,detail
A1_engine_parity,True,"44 formulas, full+restricted; failures=0"
A2_remote_words,True,roundtrip_failures=0; stale_refused=True; nonwords_ok=True
A3_opcodes,True,"known_failures=0; unknown_raised=['expr_flat', 'cm_flat', 'words']"
A3_hot_loop_raw,True,round=0; engine=words; us=658.506667
A3_hot_loop_raw,True,round=0; engine=flat; us=1816.705000
A3_hot_loop_raw,True,round=1; engine=flat; us=1429.300000
A3_hot_loop_raw,True,round=1; engine=words; us=515.868333
A3_hot_loop_raw,True,round=2; engine=words; us=494.700000
A3_hot_loop_raw,True,round=2; engine=flat; us=1385.851667
A3_hot_loop_raw,True,round=3; engine=flat; us=1384.173333
A3_hot_loop_raw,True,round=3; engine=words; us=524.616667
A3_hot_loop_raw,True,round=4; engine=words; us=512.038333
A3_hot_loop_raw,True,round=4; engine=flat; us=1464.648333
A3_hot_loop_raw,True,round=5; engine=flat; us=1369.028333
A3_hot_loop_raw,True,round=5; engine=words; us=520.378333
A3_hot_loop_raw,True,round=6; engine=words; us=498.813333
A3_hot_loop_raw,True,round=6; engine=flat; us=1346.391667
A4_unused_env,True,"{'recursive': 1, 'flat': 0, 'words': 0}"
A5_n28_constant,True,"constants=[('18', '2'), ('18', '5'), ('28', '1')]"
