id,nominal_n,family,live_k,cm_compile_us,cm_dag_nodes,flat_prepare_us,flat_slots,flat_ops,autoref_fixed_build_us,autoref_fixed_nodes,autoref_fixed_ok,autoref_best10_selected_build_us,autoref_best10_min_build_us,autoref_best10_median_build_us,autoref_best10_nodes,autoref_best10_ok,order_search_trials,order_search_wall_lower_bound_us,cudd_status,cudd_backend,cudd_is_cudd,cudd_fixed_build_us,cudd_best10_selected_build_us,cudd_best10_median_build_us,cudd_dynamic_build_us,cudd_dynamic_reorder_us
sparse_depth4-n20-i0-cc1cf7c3f7c0,20,sparse_depth4,5,159.39999866532162,11,30.800001695752144,11,6,281.60000147181563,6,True,116.60000018309802,116.60000018309802,129.7999988310039,6,True,10,1297.999988310039,unavailable,,False,,,,,
sparse_depth4-n20-i1-fcf6b56ad5af,20,sparse_depth4,5,326.99999792384915,9,27.599999157246202,9,4,179.80000120587647,7,True,111.80000001331791,111.59999849041924,116.75000132527202,8,True,10,1167.5000132527202,unavailable,,False,,,,,
sparse_depth4-n20-i2-d0906137c3e6,20,sparse_depth4,8,230.40000087348744,28,30.800001695752144,28,15,315.6000020680949,31,True,299.6000002895016,287.2000004572328,331.0000010969816,19,True,10,3310.000010969816,unavailable,,False,,,,,
controlled_live_8-n20-i0-d5b65d38ee9c,20,controlled_live_8,8,182.30000205221586,15,19.79999797185883,15,7,219.80000019539148,9,True,223.00000273389742,223.00000273389742,269.3999995244667,9,True,10,2693.999995244667,unavailable,,False,,,,,
controlled_live_12-n20-i1-156e4e181070,20,controlled_live_12,12,268.20000130101107,23,24.999997549457476,23,11,436.3000007288065,13,True,412.80000004917383,412.80000004917383,440.1499991217861,13,True,10,4401.499991217861,unavailable,,False,,,,,
controlled_live_16-n20-i2-759d82a72018,20,controlled_live_16,16,603.7999992258847,31,51.8000015290454,31,15,812.1999999275431,17,True,626.9999976211693,626.9999976211693,705.2999990264652,17,True,10,7052.999990264652,unavailable,,False,,,,,
actual_all_live_xor-n20-i0-4c23b3f84a73,20,actual_all_live_xor,20,1102.5000021618325,39,67.19999873894267,39,19,1610.0000029837247,21,True,798.40000034892,798.40000034892,995.2000000339467,21,True,10,9952.000000339467,unavailable,,False,,,,,
sparse_depth4-n22-i0-1c9dd757d6c7,22,sparse_depth4,9,197.6000021386426,26,27.999998565064743,26,14,340.5999996175524,35,True,292.7000023191795,292.7000023191795,347.14999856078066,28,True,10,3471.4999856078066,unavailable,,False,,,,,
sparse_depth4-n22-i1-c2eca6c5fdca,22,sparse_depth4,1,22.399999579647556,3,11.899999663000926,3,2,21.400002879090607,2,True,16.599999071331695,16.599999071331695,19.799999790848233,2,True,10,197.99999790848233,unavailable,,False,,,,,
sparse_depth4-n22-i2-89d0bc1f9d79,22,sparse_depth4,2,70.80000068526715,6,16.69999983278103,6,4,59.00000178371556,3,True,37.30000025825575,37.30000025825575,43.34999903221615,3,True,10,433.49999032216147,unavailable,,False,,,,,
