n,trial,status,est_bytes,avail_bytes,cm_bigint_us,bs_bigint_us,cm_words_us,bs_words_us,wrapper_us,all_agree,oracle_ok
16,0,ok,327680,778007875584,63.3,70.3,41.2,54.0,65.9,True,True
16,1,ok,327680,778007875584,136.9,607.2,85.7,159.2,151.3,True,True
16,2,ok,327680,778007875584,70.8,515.7,74.1,160.6,77.0,True,True
16,3,ok,327680,778007875584,99.3,185.9,62.9,104.5,100.8,True,True
16,4,ok,327680,778007875584,68.8,119.1,57.3,91.5,78.9,True,True
16,5,ok,327680,778007875584,92.2,697.5,75.5,190.9,97.1,True,True
18,0,ok,1376256,778011111424,321.5,834.3,163.4,280.4,324.6,True,True
18,1,ok,1376256,778011111424,447.7,1885.2,189.1,522.0,447.6,True,True
18,2,ok,1376256,778011111424,301.8,1105.0,115.2,308.9,306.7,True,True
18,3,ok,1376256,778011111424,253.8,555.3,106.9,192.8,266.9,True,True
18,4,ok,1376256,778011111424,364.5,798.5,147.0,247.0,365.0,True,True
18,5,ok,1376256,778011111424,470.5,2192.4,200.1,671.7,422.7,True,True
20,0,ok,5767168,778007257088,1570.2,9391.4,562.3,2016.5,1587.2,True,True
20,1,ok,5767168,778007257088,1304.8,2991.4,476.6,695.5,1289.7,True,True
20,2,ok,5767168,778007257088,1892.2,3422.7,500.4,707.0,1889.7,True,True
20,3,ok,5767168,778007257088,1048.6,1913.7,409.5,626.2,1125.2,True,True
22,0,ok,24117248,778002141184,6347.2,18722.4,1942.9,3966.8,6135.4,True,True
22,1,ok,24117248,778002141184,8030.1,48590.5,2596.7,10252.6,7849.1,True,True
22,2,ok,24117248,778002141184,7222.0,14490.6,2335.9,3441.6,7057.5,True,True
24,0,ok,100663296,777927094272,51813.9,75237.4,9113.2,12849.7,46334.2,True,True
24,1,ok,100663296,777927094272,39804.1,96721.3,10406.6,18690.7,39753.9,True,True
24,2,ok,100663296,777927094272,31246.5,57420.2,10213.0,14601.2,31356.5,True,True
26,0,ok,419430400,777854328832,159767.1,442515.6,43519.0,106282.4,160391.9,True,True
26,1,ok,419430400,777854328832,163607.0,408828.6,46047.6,117426.0,163018.3,True,True
