schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8751252516172687,0.9305864012894653,0.8458836623219527,0.9029578094878845,stratified_by_cell,0.18553474692655567,63,64
blocked,live_k=8/family=xor_dom,16,0.7606255894592879,0.8457232663559303,0.6737210614629554,0.8413659189719237,formula,0.23000500532291882,15,16
blocked,live_k=8/family=andor_dom,16,0.8833920703895767,0.91586833930358,0.8283205453231512,0.9325193764927273,formula,0.1235526451380212,15,16
blocked,live_k=8/family=impeqv_dom,16,0.969783472023178,0.9917526596309507,0.9160986315122818,1.0122862053058495,formula,0.10715048351657376,15,16
blocked,live_k=8/family=mixed,16,0.9000811265058994,0.950061023444246,0.8228908841816341,0.97453634188136,formula,0.17822718394076853,15,16
blocked,live_k=8/shape=tree,32,0.9535790718216985,0.9699152006133283,0.9204488375837263,0.9839381591806056,formula,0.09174411607329043,31,32
blocked,live_k=8/shape=shared,32,0.8031260633217698,0.8539835902501283,0.7437520236798032,0.8633252580477914,formula,0.21522521585037646,31,32
blocked,live_k=12,64,0.8681388422661676,0.8881712991694419,0.8442054607362186,0.8918103221870765,stratified_by_cell,0.15273107718587725,63,64
blocked,live_k=12/family=xor_dom,16,0.765713202243981,0.8023216523343684,0.7157752346645325,0.814156670399014,formula,0.13794102652422502,15,16
blocked,live_k=12/family=andor_dom,16,0.8619975667100688,0.8781797403574634,0.8271479944433889,0.8995664951411897,formula,0.08832602454593996,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9619611289536137,0.9845113899525818,0.9207503711017071,1.002071936122492,formula,0.0876673263552047,15,16
blocked,live_k=12/family=mixed,16,0.8945962081429342,0.9191949004593862,0.8109759124704052,0.966063781690276,formula,0.18546464879496508,15,16
blocked,live_k=12/shape=tree,32,0.9055377481036495,0.9339647504086471,0.8676274778339901,0.9430789522208118,formula,0.12499594179105121,31,32
blocked,live_k=12/shape=shared,32,0.8322845193693414,0.8789961916405438,0.7839446642961301,0.8773679012351773,formula,0.16765868801064193,31,32
blocked,live_k=16,64,0.9205775135522889,0.9169183629932183,0.8992776208123476,0.9425512840973178,stratified_by_cell,0.10979505539165878,63,64
blocked,live_k=16/family=xor_dom,16,0.8730072668958099,0.8822410127654574,0.8419755437693915,0.9001796958568051,formula,0.07043360352106612,15,16
blocked,live_k=16/family=andor_dom,16,0.9406065192528983,0.9407740297062613,0.8885803924826882,0.9945780271580793,formula,0.116626270619598,15,16
blocked,live_k=16/family=impeqv_dom,16,0.937721250067665,0.961042383882745,0.8917634036489241,0.9775379186845938,formula,0.09349138135081955,15,16
blocked,live_k=16/family=mixed,16,0.9326997246628697,0.9825197028287704,0.8727660957054603,0.9943188296453109,formula,0.13887036013124116,15,16
blocked,live_k=16/shape=tree,32,0.9530701435594251,0.9443456552377012,0.9288061467251956,0.9763709689656103,formula,0.07469198471238132,31,32
blocked,live_k=16/shape=shared,32,0.8891926414703331,0.8882719483367453,0.8493408364460513,0.9285039937525996,formula,0.12820234611365397,31,32
blocked,family=xor_dom/shape=tree,24,0.8435185535751495,0.8720962616123235,0.802867196077834,0.8782607887149086,formula,0.11045313656051509,23,24
blocked,family=xor_dom/shape=shared,24,0.755223179870251,0.814123142803707,0.6923238280266554,0.8118137413340023,formula,0.1999229991875431,23,24
blocked,family=andor_dom/shape=tree,24,0.9437499005383749,0.9536382552668321,0.9200971832508242,0.9668629135864568,formula,0.06449205786655506,23,24
blocked,family=andor_dom/shape=shared,24,0.8482452344778084,0.8657359232109572,0.8076865247507825,0.8923519401199155,formula,0.1289756804488635,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9774479294094383,0.9871975380433267,0.9586273498351097,0.9964254885895242,formula,0.05134039294404998,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9357871457525655,0.9688157064903563,0.8910109007133573,0.9777145115996502,formula,0.12248736482929488,23,24
blocked,family=mixed/shape=tree,24,0.9911490986940437,0.9873868757177361,0.9599352642494454,1.0234047569362985,formula,0.08150525894511744,23,24
blocked,family=mixed/shape=shared,24,0.8336070537108802,0.8879362612178865,0.7750121609867446,0.8957898929500261,formula,0.18481199095607287,23,24
blocked,all,192,0.8876462484974261,0.9106839000575775,0.8723569947317213,0.9015800178879996,stratified_by_cell,0.1539557716821433,191,192
round_robin,live_k=8,64,0.9297747951781414,0.9443767875894227,0.8591593217344429,1.0084987795933391,stratified_by_cell,0.3599021796044919,63,64
round_robin,live_k=8/family=xor_dom,16,0.8590086943145783,0.8719065917831479,0.776016362112472,0.9552912998963526,formula,0.21299046007114183,15,16
round_robin,live_k=8/family=andor_dom,16,0.924592577368876,0.9484804925280772,0.7812450794222378,1.0850397552461062,formula,0.34431621729549844,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9818581574632793,1.0611210419096546,0.8749581891981132,1.1154979718115212,formula,0.2604137755784533,15,16
round_robin,live_k=8/family=mixed,16,0.958328405082333,0.9269002977804639,0.7616108291346115,1.2593083102639957,formula,0.5490242480196684,15,16
round_robin,live_k=8/shape=tree,32,0.9906269443193391,0.9606872313327433,0.8856570195367576,1.1507594659490674,formula,0.37576021242487306,31,32
round_robin,live_k=8/shape=shared,32,0.8726606667684986,0.8617750602292106,0.7788627613933935,0.9773355168528136,formula,0.3372602770734332,31,32
round_robin,live_k=12,64,0.9323189247467806,0.9687566528720999,0.883695235565392,0.9792601435700854,stratified_by_cell,0.23494369682915217,63,64
round_robin,live_k=12/family=xor_dom,16,0.8226653345183166,0.875207321010836,0.6983800431318066,0.952433417449306,formula,0.32366455281107376,15,16
round_robin,live_k=12/family=andor_dom,16,0.9371710752747594,0.9551476578666499,0.8651496715473102,1.0052210212904746,formula,0.15793574806007124,15,16
round_robin,live_k=12/family=impeqv_dom,16,1.0218967832204173,1.0190357508620178,0.9480961579192958,1.1098718101127403,formula,0.16564603352911186,15,16
round_robin,live_k=12/family=mixed,16,0.9589785516228767,0.978118778239469,0.8647153316721942,1.061325983885413,formula,0.21940506796913084,15,16
round_robin,live_k=12/shape=tree,32,0.9914506469841914,0.9865518725581383,0.9237688020115622,1.0663303600734266,formula,0.21166535849320195,31,32
round_robin,live_k=12/shape=shared,32,0.8767139141872513,0.9253931672674568,0.8027681280616663,0.9483165747117185,formula,0.2440663984986583,31,32
round_robin,live_k=16,64,0.9386994843913802,0.9280611889599736,0.8968217839157907,0.9847576994240418,stratified_by_cell,0.22481483774505964,63,64
round_robin,live_k=16/family=xor_dom,16,0.9635081638275914,0.9473164310883628,0.8939906243370803,1.0528902940493186,formula,0.1691059929686143,15,16
round_robin,live_k=16/family=andor_dom,16,0.8473165357687027,0.872652368187285,0.7688119142340736,0.924116779374891,formula,0.1996707425938442,15,16
round_robin,live_k=16/family=impeqv_dom,16,1.034479425858562,0.9927934162809459,0.9227518375808181,1.1729171704684769,formula,0.24619120887404491,15,16
round_robin,live_k=16/family=mixed,16,0.9193552889492083,0.9102924923192485,0.8235472286020065,1.0450596382695665,formula,0.24648139221420207,15,16
round_robin,live_k=16/shape=tree,32,0.9676298242537468,0.9609450417701466,0.8983780757279713,1.045921848339464,formula,0.2126684862616993,31,32
round_robin,live_k=16/shape=shared,32,0.9106341081169202,0.8804485341117496,0.8448053990956311,0.9912098379296302,formula,0.23576198858085184,31,32
round_robin,family=xor_dom/shape=tree,24,0.9105504455002837,0.89785534494874,0.8341391649517162,0.9951651280901017,formula,0.2159971775357526,23,24
round_robin,family=xor_dom/shape=shared,24,0.8499892358939332,0.871917242831067,0.759627745973161,0.9441178239558606,formula,0.2769677475882456,23,24
round_robin,family=andor_dom/shape=tree,24,0.9255379832370926,0.9409958706915024,0.8422895928441532,0.9983820711208198,formula,0.21551835642860323,23,24
round_robin,family=andor_dom/shape=shared,24,0.8793242708787853,0.872652368187285,0.791310189046968,0.9881498850050832,formula,0.27556085544557674,23,24
