live_k,regime,n_formulas,ratio_median,ratio_geomean,ratio_p10,ratio_p90,cm_wrapper_us_median,bitset_us_median,wrapper_overhead_us_median
4,cached,32,7.826390016568528,7.173361980729858,4.235873602336319,11.277319236572326,36.21650015702471,3.820000129053369,
6,cached,32,1.9709221771952472,1.8129142247507188,0.9648756137653789,3.503155850506844,77.1169998915866,35.52599984686822,50.3020000178367
6,uncached_warmenv,32,3.6421084311210072,3.3391184298029644,2.235509651389895,4.822322693485056,,,
8,cached,32,1.9579359955072255,2.020837659320456,1.1954116396835872,3.519887496134849,102.6020001154393,60.000999947078526,69.21200023498386
8,uncached_warmenv,32,4.153640635978084,3.97083110285588,2.581790625443522,5.631843222951887,,,
10,cached,32,1.9804639502580081,1.798706398455353,1.1311407865262302,2.7869506380464744,95.70199996232986,54.61600027047098,60.1529999403283
10,uncached_warmenv,32,4.129180678621083,3.9843736929643376,2.831311176734319,5.430120835647239,,,
12,cached,32,1.8045762519442738,1.7620417843959584,1.1409471016907893,2.6670194865555654,132.71400006487966,72.44200038257986,77.79800042044371
12,uncached_warmenv,32,4.311362031116827,4.219462092094987,3.0945913796547186,6.238773999067613,,,
16,cached,32,1.3978881301172228,1.3116424413006766,0.959251909341816,1.7417958271491332,211.2609997857362,156.88100014813244,91.12500003539026
16,uncached_warmenv,32,3.7936244356739346,3.5559546998026845,2.389973600121781,4.6891510644901695,,,
