live_k,regime,n_formulas,ratio_median,ratio_geomean,ratio_p10,ratio_p90,cm_wrapper_us_median,bitset_us_median,wrapper_overhead_us_median
4,cached,8,7.9340302834297045,7.406842094578664,4.89288517935059,11.260255188070603,44.678749836748466,5.559249984798953,
6,cached,8,2.2907837737858356,2.083054329207069,1.1899301276423246,3.745349775550718,125.44900004286319,46.25599947758019,82.89500023238361
6,uncached_warmenv,8,3.6055604822471885,3.320623617606174,2.4935921577024267,4.627063081885586,,,
8,cached,8,2.0020177271443327,1.8784258955909168,1.2788728947151813,2.6552153216930754,57.002000394277275,28.704999713227153,31.014999985927716
8,uncached_warmenv,8,3.610717725132281,3.875664737875084,3.3452409846981617,4.735517213429597,,,
10,cached,8,1.8068157532261,1.6619014166746382,0.995479616726883,2.3402187283975713,63.56799975037575,38.22899947408587,35.057999775744975
10,uncached_warmenv,8,3.898878493957014,4.353437436310682,3.284325790787684,6.124989817850764,,,
12,cached,8,1.9173483462335659,1.7251392116243156,1.0672463457580592,2.598767195827449,108.47400000784546,47.81700030434877,64.90700063295662
12,uncached_warmenv,8,4.317689929422436,4.130968902759613,3.132523379523626,5.1301945674801335,,,
16,cached,8,1.3475679781694732,1.3553514393511574,1.0439104996533644,1.6864692678671964,207.18500018119812,157.57200017105788,83.91200040932745
16,uncached_warmenv,8,3.9609171963978906,4.188618872548248,3.676425502277661,4.942682908125538,,,
