id,case_family,live_vars_syntactic,identity_dag_nodes,structural_dag_nodes,unfolded_occurrences,sharing_factor,max_depth,packed_equal_all_arms,cm_flat_instructions,cm_executed_word_ops,cse_flat_instructions,cse_executed_word_ops,cse_flat_flat_instructions,cse_flat_executed_word_ops,cm_prep_us,cm_lower_us,cse_prep_us,cse_flat_prep_us,prep_ratio_cm_vs_cse,raw_prep_us,raw_arm
shared_ladder_d4,shared_ladder,10,23,23,123,5.3478260869565215,10,True,13,13,13,13,13,13,352.5000065565109,57.999975979328156,73.49997758865356,83.99999933317304,4.795919918905221,105.69998994469643,ok
shared_ladder_d6,shared_ladder,14,33,33,507,15.363636363636363,14,True,19,19,19,19,19,19,338.6000171303749,49.400026910007,71.39996159821749,79.49996506795287,4.742299709287632,361.100013833493,ok
shared_ladder_d8,shared_ladder,16,43,41,2043,49.829268292682926,18,True,25,25,25,25,25,25,433.3999822847545,58.89998283237219,86.19995787739754,96.99998190626502,5.027844478777828,4718.000011052936,ok
shared_ladder_d10,shared_ladder,16,53,47,8187,174.19148936170214,22,True,31,31,31,31,31,31,493.8999773003161,69.30000381544232,96.1000332608819,109.39995991066098,5.139436070324036,5643.100012093782,ok
shared_ladder_d12,shared_ladder,16,63,53,32763,618.1698113207547,26,True,37,37,37,37,37,37,621.7000191099942,80.9000339359045,120.59998698532581,133.6000277660787,5.155058757888924,25732.80001524836,ok
shared_ladder_d16,shared_ladder,16,83,65,524283,8065.892307692307,34,True,49,49,49,49,49,49,777.8999861329794,96.30003478378057,148.90002785250545,167.7999971434474,5.224310548172205,,skipped_unfolded_cap
shared_ladder_d20,shared_ladder,16,103,77,8388603,108942.8961038961,42,True,61,61,61,61,61,61,984.499987680465,119.59997937083244,187.80003301799297,211.4999806508422,5.242278032965738,,skipped_unfolded_cap
chain_xor_L16,nary_chain,16,31,31,31,1.0,16,True,1,15,15,15,1,15,393.9999733120203,21.199986804276705,60.19999273121357,58.500037994235754,6.5448508452681615,26.200024876743555,ok
chain_xor_L32,nary_chain,16,63,47,63,1.3404255319148937,32,True,0,0,31,31,1,31,700.0999758020043,2.800021320581436,105.49998842179775,101.09995491802692,6.636019456257627,45.199994929134846,ok
chain_xor_L64,nary_chain,16,127,79,127,1.6075949367088607,64,True,0,0,63,63,1,63,1257.6000299304724,3.00002284348011,200.09995205327868,191.7000045068562,6.2848592267309655,83.99999933317304,ok
