schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.863692753327928,0.9099507986591996,0.8388932820897139,0.8873036364385177,stratified_by_cell,0.17764584973456266,63,64
blocked,live_k=8/family=xor_dom,16,0.7382890689312506,0.7805018194953027,0.6523862286538619,0.8173094346206585,formula,0.23074233854201587,15,16
blocked,live_k=8/family=andor_dom,16,0.8856484485914536,0.895885846857282,0.8443201028394809,0.9249318048622184,formula,0.09492550732633923,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9679740747643935,0.9948790407157632,0.9205244790527801,1.0001890558461024,formula,0.08979716322358504,15,16
blocked,live_k=8/family=mixed,16,0.8791957350082121,0.9136266563760411,0.8142376522721816,0.937273366379163,formula,0.14527712890717498,15,16
blocked,live_k=8/shape=tree,32,0.9367997411993146,0.9679970316484654,0.9051345701913257,0.9642065472411303,formula,0.09035687822073897,31,32
blocked,live_k=8/shape=shared,32,0.796290967369583,0.8491706456185969,0.7401387619084694,0.8512234780490143,formula,0.20576656943384994,31,32
blocked,live_k=12,64,0.8544941893057743,0.8796751325623376,0.8361866643502585,0.8723538232031828,stratified_by_cell,0.14739216513151288,63,64
blocked,live_k=12/family=xor_dom,16,0.7364900855390115,0.7354818245185019,0.6965831348703646,0.7767614653315214,formula,0.11588288622574419,15,16
blocked,live_k=12/family=andor_dom,16,0.8538916042864573,0.8655617178030947,0.8254052508414743,0.8841616545708604,formula,0.07534761592948452,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9620522439190223,0.9915242113277548,0.9295765435963631,0.9897121322766796,formula,0.06614848014298376,15,16
blocked,live_k=12/family=mixed,16,0.8811871390431648,0.9415867297728964,0.8070801982338848,0.9453629128272033,formula,0.1679265218068191,15,16
blocked,live_k=12/shape=tree,32,0.9038469883407335,0.9524939933813453,0.8697296464318505,0.9369793662217408,formula,0.1117269640263254,31,32
blocked,live_k=12/shape=shared,32,0.8078362034460589,0.8077950796500967,0.7650959365255119,0.8520117683945062,formula,0.15861157972808373,31,32
blocked,live_k=16,64,0.9148737162843062,0.9263863452477633,0.9051443479711445,0.9245171640567545,stratified_by_cell,0.08165829163314084,63,64
blocked,live_k=16/family=xor_dom,16,0.8392658078503595,0.8494849546160422,0.8073907356780412,0.8676114855405869,formula,0.07462379767744616,15,16
blocked,live_k=16/family=andor_dom,16,0.9065800721830156,0.9179887968010537,0.879172215663833,0.9328074019567767,formula,0.06262405699237743,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9808921789860793,0.9926730693973661,0.9585620344082423,0.9946226035012373,formula,0.04410486172180912,15,16
blocked,live_k=16/family=mixed,16,0.9386801473214346,0.9372312494846324,0.914769000943479,0.9617210662849337,formula,0.05160219396443308,15,16
blocked,live_k=16/shape=tree,32,0.9471927234760165,0.9731864150635153,0.9275421742322562,0.9642938663012653,formula,0.0563902358967485,31,32
blocked,live_k=16/shape=shared,32,0.8836574606234826,0.8823149160874241,0.8579769461341407,0.9094779572973014,formula,0.08878716097726941,31,32
blocked,family=xor_dom/shape=tree,24,0.8280893228116142,0.8397183929148294,0.7980926818078373,0.8588561035084941,formula,0.09455059513050651,23,24
blocked,family=xor_dom/shape=shared,24,0.7157885228516805,0.7369882094661218,0.6600032547416333,0.7658951727766921,formula,0.18671020925072224,23,24
blocked,family=andor_dom/shape=tree,24,0.9312050180547098,0.9378059491929126,0.9129875837386936,0.9487614501878548,formula,0.05028192604645833,23,24
blocked,family=andor_dom/shape=shared,24,0.8349648846237516,0.8528111897041194,0.8123707275743761,0.8564670156805821,formula,0.06831285450416827,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9896159079872262,0.9935672359129119,0.9783722612953217,0.9974740615831562,formula,0.025795858826369547,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9513108170957527,0.9934819728454586,0.9151026629413923,0.9819960240842843,formula,0.08966238902301457,23,24
blocked,family=mixed/shape=tree,24,0.9764519566564763,0.9832941015382863,0.963320481875206,0.98824573820802,formula,0.03299423514096387,23,24
