schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8656373720391772,0.9131759862077709,0.8415746096446854,0.8891574615456591,stratified_by_cell,0.1731095281800298,63,64
blocked,live_k=8/family=xor_dom,16,0.7439543170717811,0.7861559430534645,0.6595706495183038,0.8205306022624056,formula,0.22420504264703323,15,16
blocked,live_k=8/family=andor_dom,16,0.8873187352959773,0.9053243957432996,0.8470363122737629,0.9252204546376628,formula,0.09225074897157783,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9656111007196722,0.9913556359604807,0.9200050955087292,0.9967078145297503,formula,0.08748805727014229,15,16
blocked,live_k=8/family=mixed,16,0.8808781185170801,0.917155754719275,0.8157310367084349,0.9382441767948374,formula,0.1457095053242174,15,16
blocked,live_k=8/shape=tree,32,0.9380424148040749,0.965587163180965,0.9081899795243193,0.9639882452056932,formula,0.08488726351934743,31,32
blocked,live_k=8/shape=shared,32,0.7988210853209681,0.8491084781776997,0.7442677552019663,0.8527024349191016,formula,0.20092987242565943,31,32
blocked,live_k=12,64,0.8587528322071111,0.8837970464881938,0.8407818159476729,0.8762728256715528,stratified_by_cell,0.14156446404761422,63,64
blocked,live_k=12/family=xor_dom,16,0.7480301983352184,0.7513490510699435,0.7094052529137556,0.7870442333347343,formula,0.11130598177560294,15,16
blocked,live_k=12/family=andor_dom,16,0.8591459549074489,0.8715929792087052,0.8313976032401066,0.8887777121502984,formula,0.0721516138703822,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9593650488461679,0.9898840216197008,0.9268716967155335,0.9858470438322174,formula,0.064606770166559,15,16
blocked,live_k=12/family=mixed,16,0.8820694009312935,0.9427713983968221,0.8073662599002602,0.9461246158016164,formula,0.16798171784842336,15,16
blocked,live_k=12/shape=tree,32,0.9080591126205212,0.951261976341259,0.8755420465800322,0.9389173513327042,formula,0.10343832976498105,31,32
blocked,live_k=12/shape=shared,32,0.812123810635573,0.8167907283914417,0.7700202928113006,0.8550311585744206,formula,0.1536010549415145,31,32
blocked,live_k=16,64,0.9183714079184859,0.9299512890575844,0.908191672620268,0.928469144252457,stratified_by_cell,0.08086112109271866,63,64
blocked,live_k=16/family=xor_dom,16,0.8448427531118983,0.8619132181114652,0.8120707151352641,0.8749140104936207,formula,0.0781333176965277,15,16
blocked,live_k=16/family=andor_dom,16,0.9092531813154612,0.9223939958925911,0.8831060647561589,0.9347015260862136,formula,0.059628305467035306,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9833878485335458,0.9959569192069883,0.960582794366626,0.9966964150685107,formula,0.04471091059197456,15,16
blocked,live_k=16/family=mixed,16,0.9416464355324172,0.9364149907249177,0.9171921782856751,0.9645871443792067,formula,0.05107727415412411,15,16
blocked,live_k=16/shape=tree,32,0.9494875599931043,0.9744105063335795,0.9283466460893381,0.9669076028436419,formula,0.05993938346839799,31,32
blocked,live_k=16/shape=shared,32,0.8882749794934727,0.8871895529396312,0.8628868792112314,0.9130304537520243,formula,0.08604118990917199,31,32
blocked,family=xor_dom/shape=tree,24,0.8353886046218202,0.8465689845786823,0.807322538288025,0.8645722347511194,formula,0.08908929158033195,23,24
blocked,family=xor_dom/shape=shared,24,0.723778438688035,0.7429903380775256,0.6683654174156898,0.7727312338456671,formula,0.18267187176038852,23,24
blocked,family=andor_dom/shape=tree,24,0.9330185324202219,0.9389900894397114,0.9157266555884198,0.9490004271849988,formula,0.04614821909590074,23,24
blocked,family=andor_dom/shape=shared,24,0.8394548645208812,0.8580659941320077,0.8173331531846038,0.8602151841090152,formula,0.066581572449848,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9887963567456987,0.9936289447307928,0.9782235555461463,0.9957609867030663,formula,0.02415411543318642,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9503869455403282,0.99156933043748,0.9144233121638078,0.9807406066065185,formula,0.08856728116597225,23,24
blocked,family=mixed/shape=tree,24,0.977722238865237,0.9881118269743119,0.9638036825625335,0.99061301047764,formula,0.0355480247327012,23,24
blocked,family=mixed/shape=shared,24,0.8304665353120991,0.8752461528817831,0.782726682049374,0.8753038733743296,formula,0.14424825888941156,23,24
blocked,all,192,0.8805232843231954,0.9136158005087758,0.8694953432555061,0.8908832318247054,stratified_by_cell,0.13982914117773299,191,192
round_robin,live_k=8,64,0.8734272536968051,0.9224713602628002,0.8492396386084302,0.896601267320639,stratified_by_cell,0.1701687402633972,63,64
round_robin,live_k=8/family=xor_dom,16,0.7517053910584363,0.7866562527431729,0.6679274789417667,0.8295482411573827,formula,0.22014577365476368,15,16
round_robin,live_k=8/family=andor_dom,16,0.8967063281277685,0.9201925634651352,0.8549352301702391,0.9352404509793705,formula,0.09370161814143867,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9681998424230425,0.9948421913652242,0.9240330565130923,1.0000902037125887,formula,0.08737771162576768,15,16
round_robin,live_k=8/family=mixed,16,0.8917519126174968,0.9287514574955836,0.8278205081250026,0.9485389007174747,formula,0.14212394675274514,15,16
round_robin,live_k=8/shape=tree,32,0.9479028932002759,0.9761321121426757,0.9187077448935086,0.9730613072063075,formula,0.08382688031837153,31,32
round_robin,live_k=8/shape=shared,32,0.8048030794850211,0.8569438750004325,0.7512249435025141,0.8569732918129427,formula,0.1949322866355251,31,32
round_robin,live_k=12,64,0.8685182725276832,0.8972222627051721,0.8508848206248685,0.8856024905075973,stratified_by_cell,0.1349042733742783,63,64
round_robin,live_k=12/family=xor_dom,16,0.7634050644801389,0.759211456983061,0.7249097265999618,0.8029450307003316,formula,0.11093331517095685,15,16
round_robin,live_k=12/family=andor_dom,16,0.8737675655770399,0.8939408021519204,0.8446455510290724,0.9037826430866813,formula,0.0752977182036135,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9604109474112091,0.9862056335752313,0.9290406090531652,0.9870654073685767,formula,0.06299328679172418,15,16
round_robin,live_k=12/family=mixed,16,0.8881938902745734,0.936353112942715,0.8179735719138206,0.9492558033065558,formula,0.15930736136553955,15,16
round_robin,live_k=12/shape=tree,32,0.9201596270440905,0.9488236329056062,0.8894461837705875,0.9494876853920419,formula,0.09543693890662074,31,32
round_robin,live_k=12/shape=shared,32,0.8197751428604318,0.8202068979972199,0.7790343730523235,0.8601601696821134,formula,0.14487877705040322,31,32
