schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8630462244204655,0.905132636706156,0.8383922850044822,0.8868943947869452,stratified_by_cell,0.17783427784279804,63,64
blocked,live_k=8/family=xor_dom,16,0.736680975655293,0.7801182609995527,0.6524185267683417,0.8137952587696676,formula,0.2268904150801805,15,16
blocked,live_k=8/family=andor_dom,16,0.8874658617547422,0.8989612119788579,0.8456704045187197,0.9275372996961538,formula,0.09669624780844706,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9670663747268209,0.9957147237316478,0.9219588136625438,0.9982682971887613,formula,0.08710621930253673,15,16
blocked,live_k=8/family=mixed,16,0.8775034535264942,0.9125694531191881,0.8110237002925796,0.9378413031268908,formula,0.15078430521063213,15,16
blocked,live_k=8/shape=tree,32,0.9358851973071917,0.9654916047108275,0.9040347029574969,0.963689048511027,formula,0.0912561090757197,31,32
blocked,live_k=8/shape=shared,32,0.7958762331422302,0.8482548161112011,0.7402418968274564,0.8508493961219342,formula,0.20588598401708527,31,32
blocked,live_k=12,64,0.8579941601017742,0.8780501965980478,0.8398515377467247,0.875797179593361,stratified_by_cell,0.1449520187151604,63,64
blocked,live_k=12/family=xor_dom,16,0.7431506379493027,0.7375021222237,0.7040801956855447,0.7826657356575575,formula,0.11215380249983367,15,16
blocked,live_k=12/family=andor_dom,16,0.8569705722430474,0.8652726744528872,0.8285671644634223,0.8873650817529992,formula,0.07487492497405082,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9639538894487347,0.990801513426787,0.9319348081689619,0.990302150183115,formula,0.06428334505977894,15,16
blocked,live_k=12/family=mixed,16,0.8827511736498893,0.9417611327818819,0.8075202329532928,0.9472459033510976,formula,0.1690422172106752,15,16
blocked,live_k=12/shape=tree,32,0.9077591438755176,0.9511104714694545,0.8736152491621967,0.9403969021146442,formula,0.10871215646915039,31,32
blocked,live_k=12/shape=shared,32,0.8109573819613309,0.8123946489363625,0.7689306389338094,0.8543621554796396,formula,0.1559445934755421,31,32
blocked,live_k=16,64,0.918173377696212,0.928991791751716,0.9080467788089495,0.9279894279664993,stratified_by_cell,0.08213819439967689,63,64
blocked,live_k=16/family=xor_dom,16,0.8410984999480393,0.8494693243769978,0.8095927892610744,0.8697118727980374,formula,0.07497569136996074,15,16
blocked,live_k=16/family=andor_dom,16,0.9125741623497432,0.920596374683586,0.884964782408659,0.9419373233413662,formula,0.06471038194235235,15,16
blocked,live_k=16/family=impeqv_dom,16,0.9830152242203986,0.9947110140104333,0.9604539126913927,0.9966481820084497,formula,0.04351051282442646,15,16
blocked,live_k=16/family=mixed,16,0.9419405955124142,0.9398885015560126,0.9172420097723306,0.9650208709421696,formula,0.052257283844783946,15,16
blocked,live_k=16/shape=tree,32,0.9506977249967316,0.9761943139364688,0.9302551899097584,0.9686243692615559,formula,0.059106677499100604,31,32
blocked,live_k=16/shape=shared,32,0.8867617217796215,0.8840518590683243,0.8609827200171062,0.9121958085116588,formula,0.08783941953900758,31,32
blocked,family=xor_dom/shape=tree,24,0.8297153695914985,0.844137945764998,0.8011832876633553,0.8591889179130294,formula,0.08977832750916577,23,24
blocked,family=xor_dom/shape=shared,24,0.7186867591805919,0.7409145112190095,0.6645487972759332,0.7682546696007666,formula,0.18509997224153293,23,24
blocked,family=andor_dom/shape=tree,24,0.9357194721496193,0.9389446955913152,0.9168091346198173,0.9545544564133475,formula,0.05247841587382241,23,24
blocked,family=andor_dom/shape=shared,24,0.8377443130642227,0.8555593447936529,0.814903968983482,0.8597222537818779,formula,0.06876882246193186,23,24
blocked,family=impeqv_dom/shape=tree,24,0.9907590158912706,0.9962893438367515,0.9790432746164882,0.9987005680121417,formula,0.02670424258500758,23,24
blocked,family=impeqv_dom/shape=shared,24,0.9522416172131326,0.9915358515401139,0.9171182954356976,0.9818769953197602,formula,0.0865907170436514,23,24
blocked,family=mixed/shape=tree,24,0.9778480744041633,0.9882388944996174,0.9622724898472611,0.9910428986065719,formula,0.03806794808406393,23,24
blocked,family=mixed/shape=shared,24,0.8288368472381497,0.8769812117205582,0.780745456619937,0.8744360696721347,formula,0.14725316788902976,23,24
blocked,all,192,0.8793215060099495,0.9113426013755878,0.8683403459012333,0.8897834116597068,stratified_by_cell,0.1432910531677365,191,192
round_robin,live_k=8,64,0.869978979693767,0.9119174841435184,0.845714501306484,0.8934069294654787,stratified_by_cell,0.1699156272495,63,64
round_robin,live_k=8/family=xor_dom,16,0.7494623610230009,0.7977058379078216,0.6650448279188315,0.825598238718869,formula,0.2216559696634188,15,16
round_robin,live_k=8/family=andor_dom,16,0.8884286006538803,0.9038214727374142,0.8474504215244602,0.9267884583135741,formula,0.09374852929099436,15,16
round_robin,live_k=8/family=impeqv_dom,16,0.9642280519575723,0.9929904974306105,0.9188146638946854,0.9992946062682524,formula,0.09100339151187421,15,16
round_robin,live_k=8/family=mixed,16,0.8922425233986471,0.9264135644439635,0.8304398498075958,0.9472710174428273,formula,0.13749438039239384,15,16
round_robin,live_k=8/shape=tree,32,0.9430138060021417,0.9656674201051112,0.9111873537272747,0.9695183721737908,formula,0.08917608906014227,31,32
round_robin,live_k=8/shape=shared,32,0.8026005773104122,0.8478781845618564,0.7492993319516235,0.8548063274593046,formula,0.1931471128780976,31,32
round_robin,live_k=12,64,0.8645462146372725,0.8877163105020075,0.8463693765334456,0.8822030616622348,stratified_by_cell,0.14027622570127718,63,64
round_robin,live_k=12/family=xor_dom,16,0.7555174114566439,0.7528566930972166,0.7174205330803354,0.795490702774523,formula,0.11139473941540254,15,16
round_robin,live_k=12/family=andor_dom,16,0.8656568418330309,0.8777458221269924,0.8347917452634408,0.8984096412725852,formula,0.08017155609902214,15,16
round_robin,live_k=12/family=impeqv_dom,16,0.9650564513747023,0.9913240003045742,0.931936921797256,0.9922978197755931,formula,0.06613435330396436,15,16
round_robin,live_k=12/family=mixed,16,0.8851357720786996,0.9354248249203978,0.8128004438951191,0.9463327069224111,formula,0.1629634744439281,15,16
round_robin,live_k=12/shape=tree,32,0.9157652758855246,0.9587123813040396,0.8833837978097576,0.945785532572246,formula,0.10090364670319203,31,32
round_robin,live_k=12/shape=shared,32,0.8161918527876906,0.8188674755265488,0.7746209954645136,0.8585371110527257,formula,0.15155560539181578,31,32
round_robin,live_k=16,64,0.9178422058611487,0.927324812006608,0.908378952175996,0.927346765078817,stratified_by_cell,0.08012243399237672,63,64
round_robin,live_k=16/family=xor_dom,16,0.8434403205192017,0.8525910541283536,0.8134281212162008,0.870913030641651,formula,0.07238868230274788,15,16
round_robin,live_k=16/family=andor_dom,16,0.9107198572593967,0.9183547013497986,0.8838990639828309,0.9364003158044201,formula,0.06141662570316832,15,16
round_robin,live_k=16/family=impeqv_dom,16,0.9833032990485622,0.9948679564023318,0.960707146737021,0.996674774741283,formula,0.044190433330609055,15,16
round_robin,live_k=16/family=mixed,16,0.939605253852777,0.9415709377595759,0.915259782980387,0.9626493994613574,formula,0.05159026627292657,15,16
round_robin,live_k=16/shape=tree,32,0.9504214901136371,0.9721321509513503,0.9312511291193891,0.9680259245534286,formula,0.05650600269348119,31,32
round_robin,live_k=16/shape=shared,32,0.8863796995576497,0.883298411857899,0.8617756264055352,0.9108240458156829,formula,0.08568333523758312,31,32
round_robin,family=xor_dom/shape=tree,24,0.8392004326943558,0.8404931091920123,0.8100676376842512,0.869391809289503,formula,0.08955670936174555,23,24
round_robin,family=xor_dom/shape=shared,24,0.7280592815978201,0.7444376446756317,0.6739731856239843,0.7761667133916437,formula,0.17624674353965547,23,24
round_robin,family=andor_dom/shape=tree,24,0.9409725331601603,0.9500754478118514,0.9263585812349288,0.9557696655470205,formula,0.04092077106752858,23,24
round_robin,family=andor_dom/shape=shared,24,0.8381565089810208,0.8572150029231976,0.815661098585116,0.8592790692495685,formula,0.06796826215207695,23,24
round_robin,family=impeqv_dom/shape=tree,24,0.9925453095967586,0.9963563564200583,0.9802040927266005,1.001896857188375,formula,0.02836879373644513,23,24
round_robin,family=impeqv_dom/shape=shared,24,0.9495758109396052,0.9890438195698188,0.9144113793026462,0.9797216616273756,formula,0.08871784558552138,23,24
round_robin,family=mixed/shape=tree,24,0.9804639729708073,0.986828069272865,0.9679073299713095,0.9919836385807487,formula,0.031781992331208674,23,24
round_robin,family=mixed/shape=shared,24,0.8359760926587375,0.8849091945947319,0.7908610229722185,0.8783157166266536,formula,0.1362937627617457,23,24
round_robin,all,192,0.8838020388472192,0.9128041940423502,0.8731323508731402,0.8941365484509876,stratified_by_cell,0.13731484074206213,191,192
