live_k,n_formulas,recursive_bigint_us_median,flat_bigint_us_median,words_us_median,flat_vs_recursive_ratio_geomean,words_vs_flat_ratio_geomean,words_vs_recursive_ratio_geomean,fastest_engine_by_median
2,8,2.6579999830573797,2.180800016503781,,0.6547895114733325,,,flat_bigint
3,8,3.0796999926678836,2.5686000590212643,,0.6723180146050458,,,flat_bigint
4,8,4.214800021145493,2.805100055411458,,0.5937519967602264,,,flat_bigint
5,8,5.675900029018521,4.633200005628169,,0.64314356741916,,,flat_bigint
6,8,7.521099993027747,4.5918000396341085,23.248700017575175,0.562980959414079,5.762046289726736,3.2439223483786916,flat_bigint
7,8,9.062100027222186,4.472100001294166,24.880899989511818,0.5512236076972395,5.112045156256279,2.817879973742785,flat_bigint
8,8,7.166000024881214,4.611700016539544,18.067099968902767,0.5653232634108208,4.573055636363967,2.585254736108526,flat_bigint
10,8,7.451399986166507,4.12930001039058,17.06959994044155,0.5538851660382513,4.262823924684993,2.3611149373159774,flat_bigint
12,8,12.254100001882762,8.201800112146884,21.97550004348159,0.656651554988956,2.747208431904774,1.803958688689041,flat_bigint
16,8,63.28549992758781,56.0639999457635,49.89150009350851,0.8766692493549072,0.8178110656158604,0.7169498130075931,words
