schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8742724579846402,0.9188408756465725,0.8501332249903735,0.897672376409734,stratified_by_cell,0.16592730292755767,63,64
blocked,live_k=8/family=xor_dom,16,0.7594590554167483,0.8007059846363976,0.6766896077396652,0.8350667317487895,formula,0.2171747605992913,15,16
blocked,live_k=8/family=andor_dom,16,0.8966751039545987,0.9098765290608254,0.8573591269392218,0.9330727386468677,formula,0.08763317603315478,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9666194247546099,0.9931603670528824,0.9193699495308292,0.9991245023845697,formula,0.09173696385963805,15,16
blocked,live_k=8/family=mixed,16,0.8875487028281441,0.9241314638102212,0.8244154258805458,0.9429952749413952,formula,0.13982744839999275,15,16
blocked,live_k=8/shape=tree,32,0.9444183587899954,0.9700316329552391,0.9175965133479342,0.967789699061546,formula,0.07627581419171554,31,32
blocked,live_k=8/shape=shared,32,0.8093365865629778,0.8582622216995482,0.7557680542699741,0.8629113191151222,formula,0.1945172273279486,31,32
blocked,live_k=12,64,0.8681143393592795,0.8928102699563869,0.8496221500282817,0.8861798198560217,stratified_by_cell,0.1339064951695854,63,64
blocked,live_k=12/family=xor_dom,16,0.7680985264084074,0.7790571449595596,0.7293925251699928,0.8083397492725004,formula,0.10977030193649341,15,16
blocked,live_k=12/family=andor_dom,16,0.8665796112622243,0.8795502268324855,0.840468872735385,0.8950858546306153,formula,0.06880986670819648,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9623982974867624,0.9899442294820899,0.9306668900169889,0.9902375131585518,formula,0.06455093144941496,15,16
blocked,live_k=12/family=mixed,16,0.8865994850830344,0.9444935713069825,0.8132845019532846,0.9482986753346466,formula,0.1629744460722352,15,16
blocked,live_k=12/shape=tree,32,0.9147532859172516,0.9506058166422079,0.884562205782967,0.9436520969226593,formula,0.09684848905949164,31,32
