corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,22790.0,11751.1,35441.9,0.1113618803392112
b2,ir_canonicalize_ns,192,11789.90351036191,2846.063580363989,26548.956520855438,0.06351735109158746
b2,ir_rewrite_ns,192,18169.928807765245,8603.802416473627,37982.710637152195,0.08923825722175348
b2,ir_intern_ns,192,47464.85501527786,23460.90041100979,80259.88936424255,0.22543869387355886
b2,ir_live_vars_ns,192,26339.897885918617,9685.929398983717,58740.144595503814,0.12846578667296799
b2,lower_cm_ns_median,192,23075.0,12852.0,37073.00000000001,0.11757578238594185
b2,wrapper_current_ns_median,192,12540.0,10040.0,34252.9,
b2,end_to_end_current_ns_median,192,224142.0,119242.0,419315.0,
bx1,hash_ns_median,80,15240.0,7042.0,30333.9,0.12363170862012127
bx1,ir_canonicalize_ns,80,6329.850293695927,1716.0316929221153,15652.168076485405,0.05675217345093997
bx1,ir_rewrite_ns,80,11679.891031235456,3229.9896702170377,24143.722839653492,0.07833066868006955
bx1,ir_intern_ns,80,29250.106308609247,11489.097960293293,64352.85322368146,0.23792402802256019
bx1,ir_live_vars_ns,80,13110.111467540264,3340.980038046837,37919.82308030131,0.10682985092124514
bx1,lower_cm_ns_median,80,15780.5,7824.0,32832.00000000001,0.13424771379271214
bx1,wrapper_current_ns_median,80,11175.0,9169.0,23059.100000000064,
bx1,end_to_end_current_ns_median,80,141726.5,67580.0,293121.0000000001,
epfl,hash_ns_median,129,47740.0,17266.0,267306.20000000024,0.10062651086147334
epfl,ir_canonicalize_ns,129,29489.86366391182,10631.931945681572,221643.85300129658,0.06968235388870522
epfl,ir_rewrite_ns,129,37710.18236875534,14988.076873123646,265146.7453688383,0.08382903403273037
epfl,ir_intern_ns,129,119601.9584313035,45441.11434370279,723148.440010846,0.2625266303282051
epfl,ir_live_vars_ns,129,51461.393013596535,15062.326565384865,504930.87619543076,0.119993303232833
epfl,lower_cm_ns_median,129,56791.0,20464.2,345433.80000000005,0.12235854019578785
epfl,wrapper_current_ns_median,129,26901.0,12324.0,91920.20000000001,
epfl,end_to_end_current_ns_median,129,472814.0,186716.0,3222680.8000000007,
