corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2650.0,490.0,1,3,2,1,1,3,2,7100.0,8180.0,10130.0,95,47080.0,43379.95778769255,0.0,3729.9469113349915,9770.039469003677,3090.011887252331,13721.0,8660.0,ok,992.51,1072.21,1028.61,1089.51,19980.0,53901.0,1.0803014579198196,1.059206113104092,19.424271589815383,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,1210.0,260.0,1,1,1,1,2,2,2,8110.0,6460.0,7730.0,119,52000.0,49540.0745421648,3559.9805414676666,6960.006430745125,7980.968803167343,2449.960447847843,7210.0,7720.0,ok,1010.01,1078.71,1075.61,1129.21,12260.0,70561.0,1.06801912852348,1.0498321882466695,11.39818335642101,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,semantic_live_support,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,1300.0,260.0,1,1,1,1,1,1,1,4920.0,4180.0,6030.0,95,36700.0,34410.04082560539,1990.0035113096237,2069.980837404728,8050.119504332542,2009.9105313420296,6540.0,5140.0,ok,897.51,970.61,1060.21,1118.11,12030.0,51090.0,1.081447560472864,1.0546118221861704,11.346808651116287,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,semantic_live_support,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,1380.0,250.0,1,3,2,1,1,3,2,5100.0,4390.0,5930.0,95,31250.0,29210.001230239868,0.0,1159.9622666835785,7909.955456852913,2090.0042727589607,6540.0,4510.0,ok,987.51,1052.61,1005.61,1059.01,11340.0,45311.0,1.0659233830543486,1.0531020972345144,11.276737502610356,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,semantic_live_support,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1250.0,200.0,1,1,1,1,15,39,27,15330.0,19740.0,11430.0,295,103410.0,100789.9409160018,2600.019797682762,10529.998689889908,21910.062059760094,5580.0192058086395,6370.0,22970.0,ok,2949.23,3049.43,714.7,742.41,8740.0,81861.0,1.0339749697378637,1.0387715125227368,12.228907233804392,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,semantic_live_support,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,2070.0,170.0,4,6,6,4,12,12,12,10340.0,11040.0,7900.0,270,108911.0,106590.91640263796,11050.025932490826,15259.95321571827,19300.146959722042,8650.007657706738,10550.0,13550.0,ok,1377.01,1423.91,1152.71,1193.92,9160.0,112601.0,1.0340593024015803,1.0357505356941468,7.946491311778331,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,semantic_live_support,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,1080.0,190.0,2,3,2,2,3,4,3,5500.0,6090.0,5390.0,137,43060.0,41250.02305954695,3130.1751732826233,2590.0080800056458,8460.01785248518,2920.045517385006,7290.0,5430.0,ok,775.01,819.31,816.81,849.11,9131.0,57051.0,1.0571605527670611,1.039544080018609,11.178854323526892,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,2200.0,200.0,6,11,8,3,16,24,19,11970.0,13281.0,8910.0,310,118401.0,116000.99969655275,7259.892299771309,17939.83392417431,24111.12654954195,8190.399967133999,12670.0,16380.0,ok,1906.52,1923.02,1301.12,1331.02,9680.0,119331.0,1.0086545118855297,1.0229802016724054,7.439744220363995,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,semantic_live_support,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,1330.0,190.0,2,4,3,2,3,4,3,5640.0,6070.0,6050.0,158,48160.0,46200.002543628216,2970.104105770588,2469.867467880249,11500.087566673756,3359.9790185689926,7360.0,5300.0,ok,787.81,832.91,870.5,896.91,12140.0,82611.0,1.0572473058224698,1.0303388856978748,13.946008041355542,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,5521.0,250.0,13,32,22,6,28,59,43,22730.0,30180.0,16131.0,412,193912.0,190012.04054802656,5050.096660852432,11849.799193441868,47820.85306942463,27099.973522126675,30560.0,41990.0,ok,3307.33,3412.03,2218.32,2250.82,11550.0,163211.0,1.031656955913078,1.0146507266760432,5.206642864870712,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
