arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,1.9809433501578106,1.7509017880420794,2.0663835125683896,1.2632815033325953,4.482323434218706,6.349018035566022,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.6930684315187192,1.4585722429224588,1.7953191525189538,1.0,4.2251662580442835,6.349018035566022,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4634709674561241,1.2210653540620815,1.5672178695031915,1.0,4.001004672409609,4.7418855608146355,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2695077207730658,1.0863786945036644,1.3371702798681824,1.0,3.6717092986478286,4.602972880019462,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2695077207730658,1.0863786945036644,1.3371702798681824,1.0,3.6717092986478286,4.602972880019462,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1049059640796497,1.017997281234826,1.1503552106085821,1.0,1.1483193271875825,4.0808697562047005,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1049059640796497,1.017997281234826,1.1503552106085821,1.0,1.1483193271875825,4.0808697562047005,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0016043970640396,1.0,1.0030852731819673,1.0,1.0,1.1195787831513262,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0016043970640396,1.0,1.0030852731819673,1.0,1.0,1.1195787831513262,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0016043970640396,1.0,1.0030852731819673,1.0,1.0,1.1195787831513262,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0016043970640396,1.0,1.0030852731819673,1.0,1.0,1.1195787831513262,0,0.0
raw,validation_reused,threshold_k6,6,False,307,14,23,2.606524385938744,2.3792445621392,2.8520181601219106,3.570327042011088,5.270856650283281,7.220372642451565,201,0.6547231270358306
raw,validation_reused,threshold_k7,7,False,307,14,23,2.1917898083855603,1.9747866901874143,2.5683070369263947,2.7996967943773035,4.665025409342051,6.146969006601972,169,0.5504885993485342
raw,validation_reused,threshold_k8,8,False,307,14,23,2.1917898083855603,1.9807807499844248,2.577931322695228,2.7996967943773035,4.665025409342051,6.146969006601972,169,0.5504885993485342
raw,validation_reused,threshold_k9,9,False,307,14,23,1.5491768467547535,1.4157852972683063,1.7024406965320227,1.0,3.9140575669501185,6.146969006601972,96,0.3127035830618892
raw,validation_reused,threshold_k10,10,False,307,14,23,1.5145735214340135,1.390290352341241,1.6311592653648193,1.0,3.8304399304884287,6.146969006601972,91,0.2964169381107492
raw,validation_reused,threshold_k11,11,False,307,14,23,1.2126016219158888,1.1423140803538314,1.2980582632827353,1.0,2.5254648608371038,4.2771243779239905,43,0.14006514657980457
raw,validation_reused,threshold_k12,12,False,307,14,23,1.1646797687648345,1.0962745643767084,1.2280465425191585,1.0,2.0421703168716308,4.2771243779239905,32,0.10423452768729642
raw,validation_reused,threshold_k13,13,False,307,14,23,1.0109062327472467,1.0032246298057252,1.0193822596771165,1.0,1.0,1.667255775369245,0,0.0
raw,validation_reused,threshold_k14,14,False,307,14,23,1.0067624290721064,1.0,1.0136155366255768,1.0,1.0,1.667255775369245,0,0.0
raw,validation_reused,threshold_k15,15,False,307,14,23,1.011347012485256,1.0040653590938489,1.0193289213453163,1.0,1.0,1.667255775369245,0,0.0
raw,validation_reused,threshold_k16,16,True,307,14,23,1.0176074910336286,1.0077696832350211,1.0325634416440406,1.0,1.0,1.667255775369245,0,0.0
cm,tuning,threshold_k6,6,False,80,0,4,1.821152369051461,1.6082716486564643,1.8897318837443748,1.2401839652282947,3.753633146447993,5.021850751887562,39,0.4875
cm,tuning,threshold_k7,7,False,80,0,4,1.5770841746967326,1.3762021328585685,1.65016507263782,1.0,3.479918533393957,4.128280928371732,31,0.3875
cm,tuning,threshold_k8,8,False,80,0,4,1.38879201428301,1.1898185179031708,1.4679376478766153,1.0,3.333165013851211,3.76686600783617,23,0.2875
cm,tuning,threshold_k9,9,False,80,0,4,1.22832795445373,1.0803235529291872,1.2820387913507325,1.0,3.100266577414593,3.76686600783617,15,0.1875
cm,tuning,threshold_k10,10,False,80,0,4,1.22832795445373,1.0803235529291872,1.2820387913507325,1.0,3.100266577414593,3.76686600783617,15,0.1875
cm,tuning,threshold_k11,11,False,80,0,4,1.0898823627182115,1.0181776455502967,1.1275616390536238,1.0,1.0854916813637687,3.2702221548834296,7,0.0875
cm,tuning,threshold_k12,12,False,80,0,4,1.0898823627182115,1.0181776455502967,1.1272231052526478,1.0,1.0854916813637687,3.2702221548834296,7,0.0875
cm,tuning,threshold_k13,13,False,80,0,4,1.0005737946356243,1.0,1.0012486608345703,1.0,1.0,1.0468186103976331,0,0.0
cm,tuning,threshold_k14,14,False,80,0,4,1.0005737946356243,1.0,1.0012486608345703,1.0,1.0,1.0468186103976331,0,0.0
cm,tuning,threshold_k15,15,False,80,0,4,1.0005737946356243,1.0,1.0012486608345703,1.0,1.0,1.0468186103976331,0,0.0
cm,tuning,threshold_k16,16,True,80,0,4,1.0005737946356243,1.0,1.0012486608345703,1.0,1.0,1.0468186103976331,0,0.0
cm,validation_reused,threshold_k6,6,False,321,0,23,2.270506095389191,2.0870131527410276,2.433536526453282,3.0088094780948937,4.19104069517014,5.943981052414788,197,0.6137071651090342
cm,validation_reused,threshold_k7,7,False,321,0,23,1.9419754066774777,1.7976590956628051,2.205005941108512,2.246433785192909,3.7463481523761915,4.301332137610719,165,0.514018691588785
cm,validation_reused,threshold_k8,8,False,321,0,23,1.9419754066774777,1.7999005260468817,2.188967223425289,2.246433785192909,3.7463481523761915,4.301332137610719,165,0.514018691588785
cm,validation_reused,threshold_k9,9,False,321,0,23,1.448760937339572,1.342243104068468,1.5633208363495246,1.0,3.3059601354293484,4.167423977630199,91,0.2834890965732087
cm,validation_reused,threshold_k10,10,False,321,0,23,1.4218830211551887,1.3362138848086116,1.5171070696404643,1.0,3.2426345831214443,4.167423977630199,86,0.26791277258566976
cm,validation_reused,threshold_k11,11,False,321,0,23,1.180703722256005,1.1244354263045582,1.2486476803126085,1.0,2.246433785192909,3.5297757424271556,37,0.11526479750778816
cm,validation_reused,threshold_k12,12,False,321,0,23,1.1399192847363833,1.0839116603347823,1.1874154047277001,1.0,1.8258964677564686,3.5297757424271556,26,0.08099688473520249
