corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,5420.0,540.0,4,16,14,2,13,16,14,26851.0,31641.0,23500.0,617,309912.0,302821.9798579812,20850.100554525852,36610.17399281263,72230.93416541815,34819.93917375803,28051.0,20820.0,ok,6604.0,15136.2,5716.0,11886.2,26261.0,302802.0,2.2919745608721986,2.079461161651505,4.594296710986704,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,semantic_live_support,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,5330.0,250.0,6,17,15,3,13,17,15,29130.0,30470.0,21010.0,623,307552.0,302581.93146437407,17539.947293698788,34140.19010961056,70479.46564853191,38090.04556387663,27260.0,22650.0,ok,6724.2,16002.2,6470.0,13704.2,19231.0,305333.0,2.379792391659975,2.118114374034003,2.972333848531685,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,semantic_live_support,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,5090.0,230.0,4,17,16,3,30,32,31,32881.0,40381.0,24691.0,805,446304.0,440653.99561077356,34229.946322739124,64701.30756497383,93701.06272399426,63391.16953313351,23160.0,43180.0,ok,10332.2,32700.4,6006.0,14260.2,18141.0,442525.0,3.164901956988831,2.3743256743256747,3.0204795204795203,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,semantic_live_support,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,9260.0,250.0,17,40,34,9,61,79,65,51260.0,58210.0,33291.0,1094,677876.0,670225.9415760636,50080.12522011995,101142.09726452827,141641.12508296967,116470.03702819347,49670.0,83661.0,ok,26610.2,60888.6,13826.0,27706.2,25530.0,661136.0,2.288167695094362,2.0039201504411976,1.8465210473021842,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,semantic_live_support,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,7360.0,250.0,14,22,20,4,19,22,20,40681.0,39251.0,25200.0,769,368714.0,362863.065674901,24509.849026799202,27850.153855979443,86730.69532960653,50529.8376083374,45390.0,27090.0,ok,8452.2,21216.2,6536.2,14310.2,16090.0,293213.0,2.510139371997823,2.189376090082923,2.4616749793457973,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,semantic_live_support,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,4760.0,160.0,14,21,17,4,18,22,18,28080.0,25381.0,16310.0,723,228342.0,224121.96267396212,14420.133084058762,18810.154870152473,56630.00047206879,25341.054424643517,28150.0,17040.0,ok,6036.0,13232.0,6372.0,11850.0,15110.0,253202.0,2.192180251822399,1.85969868173258,2.371311989956058,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,semantic_live_support,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,6280.0,200.0,17,31,28,7,35,40,35,35150.0,39810.0,21380.0,992,390264.0,384564.0458166599,31109.66645181179,41801.249608397484,85290.52138328552,59381.12735748291,34461.0,36661.0,ok,9212.0,24918.2,7308.0,17616.2,16220.0,402464.0,2.7049717759444203,2.410536398467433,2.2194854953475645,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,semantic_live_support,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,7030.0,220.0,17,36,32,7,34,40,36,37941.0,43620.0,24000.0,1073,419014.0,413072.993978858,33120.39189040661,36789.68641906977,89370.17992138863,60729.68244552612,35850.0,38740.0,ok,9634.2,26160.2,8950.0,19882.2,18300.0,427984.0,2.7153474081916507,2.2214748603351957,2.0446927374301676,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,semantic_live_support,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,5420.0,190.0,15,38,26,4,17,39,27,29000.0,28801.0,16040.0,715,215002.0,210731.9887727499,6700.167432427406,15899.771824479103,55221.84073925018,28759.82318073511,29570.0,19091.0,ok,13396.2,14908.2,13318.2,13850.0,22210.0,251902.0,1.1128678281900837,1.0399303209142376,1.6676427745491131,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,semantic_live_support,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,5480.0,190.0,15,41,28,4,16,41,28,27411.0,27800.0,15780.0,696,216772.0,212521.99076116085,4380.0100684165955,16831.09439909458,54470.03059089184,30601.16432607174,30490.0,18150.0,ok,13638.2,15074.2,13800.2,14784.2,22580.0,245922.0,1.1052924872783798,1.0713033144447182,1.6362081708960738,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,semantic_live_support,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
