corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,2277.43,13437.83,2586.22,1882.22,0.8806018049508549,5.195934607264657,1.2099701416412534,7.139351404192921,1.3740264156156028,2161.22,2212.73,2563.63,2505.52,1705.82,1799.42,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,7
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1122.21,8648.39,1301.21,972.61,0.8624357328947672,6.646421407766616,1.1538129363259684,8.891940243262972,1.33785381602081,975.61,1014.01,1229.61,1198.41,870.41,916.51,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,7
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,1668.72,9255.49,1891.22,1457.92,0.8823510749674813,4.893925614153827,1.1445895522388059,6.348421038191396,1.2972042361720808,1588.72,1608.92,1856.21,1814.42,1335.42,1392.52,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,7
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1048.61,8628.48,1273.72,1146.82,0.8232657098891435,6.77423609584524,0.9143631956191904,7.523831115606634,1.110653807921034,968.71,1013.41,1266.61,1245.22,1052.51,1093.81,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,7
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,1344.52,8812.38,1796.51,2145.22,0.7484066328603793,4.905277454620347,0.6267515686036864,4.107914339787993,0.8374479074407287,1258.62,1294.01,1777.11,1733.22,2048.22,2098.42,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,7
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,1797.81,9382.69,2228.12,2983.43,0.8068730589016749,4.211034414663484,0.602598351561793,3.144933851305377,0.7468316669068823,1699.31,1752.51,2196.42,2152.52,2858.03,2929.03,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,7
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,1359.91,8922.89,1993.22,2659.92,0.6822678881407973,4.476620744323255,0.5112597371349514,3.354570814159824,0.7493533640109477,1267.11,1322.52,1999.72,1946.12,2570.93,2622.72,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,7
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,1668.22,9272.78,2357.62,2549.32,0.7075864643157083,3.93311050975136,0.6543784224812891,3.637354274865454,0.9248034770056328,1597.01,1640.42,2364.82,2319.72,2449.23,2526.52,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,7
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1055.41,8567.28,1236.61,1016.51,0.8534703746532861,6.92803713377702,1.0382681921476424,8.428131548140206,1.2165251694523418,967.31,1011.71,1231.01,1195.51,921.51,965.51,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,7
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,1430.61,9027.79,1616.62,1128.11,0.8849389466912447,5.584361198055203,1.2681476097189104,8.002579535683578,1.4330340126406114,1352.31,1398.62,1598.92,1565.32,1044.41,1093.51,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,7
