corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,25533.5,13054.100000000002,40643.100000000006,0.11250161165403849
b2,ir_canonicalize_ns,192,11489.726603031158,2626.3296604156494,26883.557438850406,0.057861336558327967
b2,ir_rewrite_ns,192,18524.937331676483,8408.911526203156,42295.455932617195,0.08053690664691648
b2,ir_intern_ns,192,57179.48079109192,27037.97072172165,97462.53490447998,0.23986270442437435
b2,ir_live_vars_ns,192,29976.479709148407,11193.75228881836,72487.07115650178,0.13068052209282108
b2,lower_cm_ns_median,192,27136.0,14450.0,44951.0,0.12423442579210925
b2,wrapper_current_ns_median,192,15333.0,12065.0,43263.0,
b2,end_to_end_current_ns_median,192,255728.0,128065.09999999999,474666.60000000003,
bx1,hash_ns_median,80,17516.5,7239.0,34401.100000000006,0.12391827856006349
bx1,ir_canonicalize_ns,80,6320.886313915253,1583.0621123313904,16510.11407375336,0.05121112972528861
bx1,ir_rewrite_ns,80,10684.13257598877,3141.723573207855,24127.21514701844,0.06934235111489453
bx1,ir_intern_ns,80,35574.65970516205,13487.040996551514,72929.44937944415,0.25573661430562933
bx1,ir_live_vars_ns,80,14652.498066425323,3792.3455238342285,45209.75053310395,0.11302532038593396
bx1,lower_cm_ns_median,80,18232.5,8761.8,39373.200000000004,0.14270859295375354
bx1,wrapper_current_ns_median,80,13685.5,10897.0,26740.500000000087,
bx1,end_to_end_current_ns_median,80,156579.5,71861.8,338626.50000000006,
epfl,hash_ns_median,129,55132.0,18599.800000000003,312677.20000000024,0.10234201578095194
epfl,ir_canonicalize_ns,129,28990.209102630615,10672.956705093384,236917.2871112824,0.06283771583403787
epfl,ir_rewrite_ns,129,42136.75856590271,16073.51005077362,297524.4075059891,0.08001054188060541
epfl,ir_intern_ns,129,138593.83761882782,53248.18193912506,835425.0341653826,0.26970817857518387
epfl,ir_live_vars_ns,129,63778.8325548172,17138.570547103882,575941.4285421373,0.12153805707303111
epfl,lower_cm_ns_median,129,62243.0,21470.4,366381.0000000001,0.12048251641761731
epfl,wrapper_current_ns_median,129,30195.0,14055.0,108662.6,
epfl,end_to_end_current_ns_median,129,535593.0,201476.0,3537009.2000000007,
