corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2674.0,461.0,1,3,2,1,1,3,2,7241.0,8322.0,11096.0,95,47822.0,44178.21764945984,0.0,4025.176167488098,10365.620255470276,3466.382622718811,13040.0,7931.0,ok,1184.68,1285.93,1200.6,1296.34,21362.0,57386.0,1.0854661174325557,1.079743461602532,17.792770281525904,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,1392.0,260.0,1,1,1,1,2,2,2,8293.0,6690.0,8693.0,119,52149.0,49795.955419540405,3704.8012018203735,6919.726729393005,8763.745427131653,2292.916178703308,7321.0,6710.0,ok,1215.12,1297.24,1254.28,1361.04,13600.0,73320.0,1.0675818026203174,1.0851165608954938,10.842873999425965,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,semantic_live_support,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,1392.0,251.0,1,1,1,1,1,1,1,5278.0,4297.0,6961.0,95,37376.0,35263.59796524048,2102.9263734817505,1972.5412130355835,8592.382073402405,2201.646566390991,6700.0,4977.0,ok,1066.69,1152.32,1220.83,1319.27,13570.0,50886.0,1.080276368954429,1.0806336672591599,11.115388710958939,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,semantic_live_support,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,1352.0,241.0,1,3,2,1,1,3,2,5589.0,4647.0,6690.0,95,30746.0,28762.96639442444,0.0,1052.3945093154907,8681.78904056549,2134.5913410186768,6950.0,4647.0,ok,1171.15,1264.69,1196.39,1294.14,12779.0,47762.0,1.0798702130384665,1.0817041265807972,10.681299576225143,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,semantic_live_support,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1292.0,231.0,1,1,1,1,15,39,27,17276.0,21372.0,13570.0,295,110316.0,107729.80749607086,2553.686499595642,10844.320058822632,24789.944291114807,5939.975380897522,7191.0,27030.0,ok,3627.03,3757.53,1236.15,1326.39,13299.0,108092.0,1.0359798512832814,1.073000849411479,10.758403106419124,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,semantic_live_support,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,2804.0,251.0,4,6,6,4,12,12,12,20380.0,17677.0,12989.0,270,147852.0,145006.92486763,13057.142496109009,20220.87574005127,28951.093554496765,11865.049600601196,15674.0,22093.0,ok,2542.01,2575.06,2091.83,2175.86,14302.0,157406.0,1.0130015224172997,1.040170568354025,6.837075670585086,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,semantic_live_support,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,1622.0,281.0,2,3,2,2,3,4,3,7371.0,8022.0,8343.0,137,56064.0,53880.736231803894,3656.3724279403687,2924.3528842926025,12790.784239768982,3818.422555923462,9224.0,7481.0,ok,1356.43,1453.18,1401.3,1490.34,12899.0,73020.0,1.0713269390974838,1.0635409976450438,9.205023906372654,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,3094.0,281.0,6,11,8,3,16,24,19,16485.0,20531.0,14161.0,310,155483.0,152239.5759820938,9024.515748023987,18490.47839641571,35641.71493053436,11583.790183067322,17356.0,26189.0,ok,3332.69,3415.11,2320.87,2412.01,14822.0,131257.0,1.0247307730391966,1.0392697565998958,6.386398204121731,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,semantic_live_support,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,1332.0,210.0,2,4,3,2,3,4,3,6280.0,6470.0,12288.0,158,50245.0,48203.39381694794,3214.925527572632,2676.6210794448853,13981.014490127563,3464.51997756958,7602.0,5198.0,ok,978.57,1040.66,1048.77,1101.96,10335.0,65458.0,1.063449727663836,1.0507165536771648,9.85440086959009,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,4457.0,221.0,13,32,22,6,28,59,43,17737.0,22694.0,13601.0,412,149074.0,145887.95602321625,3786.7575883865356,9104.609489440918,38309.02278423309,21187.588572502136,24557.0,33610.0,ok,4064.19,4122.98,2816.02,2822.83,12799.0,176384.0,1.014465367022703,1.0024183066881627,4.5450671515117085,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,351760472865490451,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,,mixed,3,6,7,6,1633.0,200.0,3,5,4,2,3,5,4,7541.0,7351.0,6951.0,164,56865.0,54771.08061313629,2747.4015951156616,5187.466740608215,13530.254364013672,4747.8824853897095,10366.0,5949.0,ok,1073.21,1132.5,1272.91,1318.27,10676.0,72018.0,1.0552454785177179,1.0356348838488187,8.387081569003307,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112,semantic_live_support,True,1,0,7,0,0,8388608,100,5,2cf6fe6bc52ca9b0c580828a67d0e3b2
bx1,tuning,bx1-k3-4-6f4b1568a0b2,3528185177367768437,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,,impeqv_dom,3,14,37,8,2244.0,230.0,5,14,9,3,19,45,31,15944.0,18999.0,11557.0,363,107140.0,104917.21332073212,3455.2067518234253,9257.346391677856,27639.79136943817,8596.107363700867,12960.0,23255.0,ok,3306.86,3324.28,1488.03,1558.64,11307.0,115674.0,1.0052678371627466,1.047452000295693,7.598637124251527,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3,semantic_live_support,True,1,0,37,0,0,8388608,100,5,6f4b1568a0b24d9f538b69e1ddaf3168
bx1,tuning,bx1-k3-5-9d6635482dd7,2879241967487364291,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,mixed,3,6,6,6,1593.0,190.0,3,8,5,2,3,8,5,6039.0,6720.0,6370.0,158,42373.0,40441.75148010254,0.0,1009.5536708831787,13098.12068939209,3557.652235031128,8833.0,5669.0,ok,1147.92,1217.63,1176.17,1245.77,10556.0,57216.0,1.0607272283782843,1.0591751192429666,8.974893085183263,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,semantic_live_support,True,1,0,6,0,0,8388608,100,5,9d6635482dd776daa8fdfaeb834e3d4b
bx1,tuning,bx1-k3-6-6e2e20f77614,6222481568918042885,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,,andor_dom,3,5,5,5,1262.0,190.0,2,4,3,2,2,4,3,5769.0,5679.0,5839.0,139,41242.0,39298.08735847473,1542.2701835632324,3164.634108543396,10516.494512557983,3473.833203315735,7782.0,5057.0,ok,944.51,1012.01,1059.69,1128.39,14212.0,60100.0,1.071465627679961,1.0648302805537468,13.411469391991997,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd,semantic_live_support,True,1,0,5,0,0,8388608,100,5,6e2e20f7761486ffa97f9643074ee08b
bx1,tuning,bx1-k3-7-7eea095f4c98,5572147757052189078,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,,mixed,3,5,5,5,1472.0,231.0,2,4,3,2,2,4,3,5869.0,5769.0,5819.0,138,41041.0,38959.0859413147,1583.2483768463135,1594.4242477416992,10715.797543525696,3354.6239137649536,7732.0,4848.0,ok,957.43,1022.93,1069.21,1123.29,9995.0,55663.0,1.0684123121272573,1.050579399743736,9.348023306927544,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b,semantic_live_support,True,1,0,5,0,0,8388608,100,5,7eea095f4c986451937dd28e2dc782e7
bx1,tuning,bx1-k3-8-a6d677a5a9c6,9188566006954337819,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b,,xor_dom,3,16,38,5,1472.0,201.0,2,3,3,2,19,22,20,14882.0,26390.0,12389.0,413,129374.0,126820.05763053894,10378.658771514893,18097.46026992798,19773.84090423584,6392.5981521606445,8292.0,24357.0,ok,2538.91,2664.49,1128.79,1189.98,10565.0,128613.0,1.0494621707740723,1.054208488735726,9.359579726964272,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b,semantic_live_support,True,1,0,38,0,0,8388608,100,5,a6d677a5a9c6e5a710b944d3546e59a6
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,2474.0,220.0,5,11,8,4,5,11,8,10495.0,10556.0,8383.0,232,78017.0,75684.86034870148,2844.2591428756714,5966.052412986755,20101.66645050049,8143.484592437744,13941.0,8433.0,ok,1507.36,1564.25,1739.7,1781.07,11296.0,101672.0,1.0377414817959878,1.0237799620624244,6.493073518422716,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,semantic_live_support,True,2,0,22,0,0,8388608,100,5,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k4-2-dc59c9d65758,7097291320739778651,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9,,andor_dom,4,8,9,8,1973.0,200.0,4,4,4,3,4,4,4,9784.0,9094.0,7902.0,206,74332.0,71907.4159860611,3907.829523086548,5759.298801422119,17516.31498336792,6878.748536109924,11417.0,7111.0,ok,1143.91,1208.01,1718.48,1785.98,10906.0,89334.0,1.0560358769483613,1.039278897630464,6.346306037893953,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9,semantic_live_support,True,2,0,18,0,0,8388608,100,5,dc59c9d65758cde975d26a122e6a5109
bx1,tuning,bx1-k4-3-ab064aa12f01,1101616449022087241,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47,,mixed,4,9,10,8,1953.0,201.0,4,8,6,3,5,8,6,9825.0,13100.0,8673.0,226,77647.0,75291.84222221375,4187.226295471191,5090.609192848206,20373.612642288208,6821.006536483765,11007.0,7632.0,ok,1350.93,1413.52,1561.34,1610.72,10816.0,91317.0,1.046331046020149,1.03162667964697,6.927382889056836,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47,semantic_live_support,True,2,0,20,0,0,8388608,100,5,ab064aa12f01ab07398c8f0813f4e1ad
bx1,tuning,bx1-k4-4-341296acd12a,1570959925577742463,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88,,andor_dom,4,8,9,8,1993.0,221.0,4,6,5,3,4,6,5,10095.0,8884.0,8172.0,207,78217.0,76003.37266921997,3525.9872674942017,6159.767508506775,19226.22323036194,6729.736924171448,12209.0,7190.0,ok,1235.85,1310.27,1589.88,1682.92,10986.0,88513.0,1.0602176639559817,1.0585201398847712,6.909955468337232,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88,semantic_live_support,True,2,0,18,0,0,8388608,100,5,341296acd12a5b8fb41f5050d99bae4c
