arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,1.9528831006088436,1.7396062803755592,2.0222684573695138,1.4178705435675667,4.269319816032985,6.017359469934601,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.6772308353127967,1.4572439839546623,1.7619011135804499,1.0,4.135424962966098,6.017359469934601,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.455141535655299,1.2257351164977979,1.550472017073052,1.0,3.7605587564041967,4.504580373130018,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.267715149272827,1.1016646348115071,1.3284517061111203,1.0,3.576511588156102,4.274757418652034,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.267715149272827,1.1016646348115071,1.3284517061111203,1.0,3.576511588156102,4.274757418652034,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1088642839907334,1.0325493925564537,1.1487884710677574,1.0,1.2320855856216544,3.7157349824549213,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1088642839907334,1.0325493925564537,1.1487884710677574,1.0,1.2320855856216544,3.7157349824549213,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0038833063856212,1.0,1.009875515425456,1.0,1.0,1.1856393461351713,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0038833063856212,1.0,1.009875515425456,1.0,1.0,1.1856393461351713,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0038833063856212,1.0,1.009875515425456,1.0,1.0,1.1856393461351713,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0038833063856212,1.0,1.009875515425456,1.0,1.0,1.1856393461351713,0,0.0
raw,validation_reused,threshold_k6,6,False,307,14,23,2.5587675846001416,2.353740759104848,2.7846534088335155,3.46539196397497,4.969006032935081,6.801198946189403,202,0.6579804560260586
