corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,5809.0,521.0,4,16,14,2,13,16,14,29845.0,36895.0,27752.0,617,338157.0,331606.7159175873,22111.46056652069,41704.62489128113,88352.71000862122,39862.46883869171,30135.0,23626.0,ok,7627.4,17688.6,6738.0,13766.8,27241.0,334161.0,2.3190864514775678,2.0431582071831405,4.0428910655981,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,semantic_live_support,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,5799.0,250.0,6,17,15,3,13,17,15,31858.0,34301.0,25398.0,623,326589.0,321552.1574020386,17961.48717403412,36438.92705440521,80250.20360946655,43770.29836177826,28593.0,22814.0,ok,7831.8,18391.6,7539.4,15573.4,20771.0,344156.0,2.3483235016215938,2.0656020372973978,2.754993766082182,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,semantic_live_support,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,5438.0,271.0,4,17,16,3,30,32,31,36435.0,46229.0,38067.0,805,497065.0,490944.83256340027,34833.32693576813,73255.97107410431,104997.30706214905,74110.92519760132,25819.0,48533.0,ok,12012.0,37079.6,6728.0,15653.4,25358.0,466339.0,3.086879786879787,2.326605231866825,3.769024970273484,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,semantic_live_support,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,9885.0,260.0,17,40,34,9,61,79,65,56705.0,71377.0,39359.0,1094,724706.0,716704.8752307892,51777.80985832214,102672.72591590881,152047.72353172302,128874.55523014069,51657.0,90055.0,ok,30714.0,69073.6,15962.0,30493.6,29565.0,721101.0,2.248928827244905,1.910387169527628,1.8522115023180052,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,semantic_live_support,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,8062.0,270.0,14,22,20,4,19,22,20,45337.0,49664.0,29794.0,769,395453.0,390455.12676239014,25263.05615901947,26870.518922805786,99033.11729431152,57771.80194854736,47121.0,30446.0,ok,9436.0,24192.2,10648.0,22411.6,24096.0,418016.0,2.5638194150063587,2.104770848985725,2.2629601803155523,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,semantic_live_support,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,7411.0,260.0,14,21,17,4,18,22,18,42955.0,39429.0,27872.0,723,345968.0,340441.2418603897,19297.003746032715,24262.815713882446,95639.37783241272,39931.38670921326,40601.0,27271.0,ok,9670.4,21205.8,10411.6,19261.0,23185.0,357215.0,2.1928565519523495,1.8499558185101233,2.226843136501594,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,semantic_live_support,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,9374.0,280.0,17,31,28,7,35,40,35,53590.0,59329.0,35763.0,992,569714.0,562872.7376461029,43444.33546066284,55907.294154167175,131431.9670200348,95056.36990070343,51297.0,52548.0,ok,15845.6,40012.0,12737.0,28244.4,25308.0,574811.0,2.5251173827434745,2.2175080474208997,1.9869671037135903,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,semantic_live_support,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,7682.0,230.0,17,36,32,7,34,40,36,42954.0,51067.0,28613.0,1073,463304.0,458026.30484104156,34015.62571525574,38821.25020027161,102816.1495923996,76645.98524570465,40431.0,42553.0,ok,10918.2,30505.8,10629.8,22870.2,21813.0,470515.0,2.7940319832939493,2.1515174321247814,2.052061186475757,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,semantic_live_support,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,6009.0,201.0,15,38,26,4,17,39,27,31056.0,33060.0,19709.0,715,231677.0,227199.86736774445,6075.948476791382,14759.600162506104,62860.54849624634,32912.93978691101,33170.0,20761.0,ok,14099.2,17762.6,13738.6,16845.4,24066.0,286930.0,1.2598303449841124,1.2261365786906964,1.7517068696956022,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,semantic_live_support,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,6119.0,200.0,15,41,28,4,16,41,28,30546.0,31737.0,18788.0,696,235052.0,230746.3437318802,4487.1121644973755,16577.541828155518,63234.94017124176,36342.0695066452,34262.0,21192.0,ok,14255.4,17796.6,14385.6,17129.6,23846.0,276374.0,1.2484111284144954,1.190746301857413,1.6576298520742965,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,semantic_live_support,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
