arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k7,7,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k8,8,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k9,9,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k10,10,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k11,11,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k12,12,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k13,13,False,48,0,4,1.4873054952704332,1.1845410084436492,1.86745551272053,1.3661946293033622,2.3842222398730484,3.086879786879787,14,0.2916666666666667
raw,tuning,threshold_k14,14,False,48,0,4,1.1949672320426084,1.0370370323394165,1.376948595976671,1.0,1.7242665307603349,2.4679859624597733,4,0.08333333333333333
raw,tuning,threshold_k15,15,False,48,0,4,1.0921187496644171,1.027730753761206,1.1555830512282996,1.0,1.3051952448552655,2.279154062793366,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.0860913429952157,1.0,1.2309849499857917,1.0,1.2927745621601325,2.2078944932242375,1,0.020833333333333332
raw,validation_reused,threshold_k6,6,False,17,6,9,1.1111330191186812,1.0457360402093605,1.1956405229898064,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k7,7,False,17,6,9,1.1111330191186812,1.0389503116699195,1.197183785719602,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k8,8,False,17,6,9,1.1111330191186812,1.0389805971130128,1.1990669858049015,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k9,9,False,17,6,9,1.1111330191186812,1.0419702229331231,1.1953587346291867,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k10,10,False,17,6,9,1.1111330191186812,1.0421578189656275,1.1979190576793435,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k11,11,False,17,6,9,1.1111330191186812,1.0393915311914599,1.1938339095961217,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k12,12,False,17,6,9,1.1111330191186812,1.0413567527875227,1.195650967831647,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k13,13,False,17,6,9,1.1111330191186812,1.0398269426674687,1.1914031784417307,1.0,1.41581359639079,1.491238108862027,0,0.0
raw,validation_reused,threshold_k14,14,False,17,6,9,1.002719104297832,1.0,1.0109380213354187,1.0,1.0,1.047244094488189,0,0.0
raw,validation_reused,threshold_k15,15,False,17,6,9,1.026888246042934,1.012405115617976,1.0508996013300818,1.0,1.0847238501086036,1.1393198314727488,0,0.0
raw,validation_reused,threshold_k16,16,True,17,6,9,1.1340897082299706,1.0743879260766795,1.227358440367084,1.0473798573019608,1.5113243566328052,1.6163870261976472,0,0.0
cm,tuning,threshold_k6,6,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k7,7,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k8,8,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k9,9,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k10,10,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k11,11,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k12,12,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k13,13,False,48,0,4,1.3521895785832523,1.122672458323417,1.628628762443932,1.2574737915055407,2.0773526808038962,2.685185185185185,7,0.14583333333333334
cm,tuning,threshold_k14,14,False,48,0,4,1.138861160017411,1.0163497191792277,1.2761402077659092,1.0,1.5304214801624956,2.685185185185185,1,0.020833333333333332
cm,tuning,threshold_k15,15,False,48,0,4,1.0725562533744375,1.0200400783355392,1.1125209392785107,1.0,1.3252121744535155,1.9094121661142522,0,0.0
cm,tuning,threshold_k16,16,True,48,0,4,1.0993294365581945,1.0032258466163966,1.2544509374475126,1.0,1.35636448928319,2.1659976244418537,2,0.041666666666666664
cm,validation_reused,threshold_k6,6,False,23,0,12,1.075153892294441,1.0349021411202617,1.119300250011589,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k7,7,False,23,0,12,1.075153892294441,1.03548583647053,1.1178995117715735,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k8,8,False,23,0,12,1.075153892294441,1.0359529637824703,1.1198956964534275,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k9,9,False,23,0,12,1.075153892294441,1.0366013654682795,1.12137714385439,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k10,10,False,23,0,12,1.075153892294441,1.0340520160642066,1.1192107176842363,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k11,11,False,23,0,12,1.075153892294441,1.0348068822397678,1.1222671253718848,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k12,12,False,23,0,12,1.075153892294441,1.0374604712092732,1.1213775070481735,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k13,13,False,23,0,12,1.075153892294441,1.0346309199559498,1.1212074130748253,1.0,1.2979848001658554,1.3464260309701426,0,0.0
cm,validation_reused,threshold_k14,14,False,23,0,12,1.0079262645962384,1.0,1.0325634325368267,1.0,1.0,1.1991169198275182,0,0.0
cm,validation_reused,threshold_k15,15,False,23,0,12,1.0581301172757074,1.038914614364996,1.0860051402612805,1.0,1.1468944424332284,1.2124234235100642,0,0.0
cm,validation_reused,threshold_k16,16,True,23,0,12,1.1684424196008174,1.1112347730072334,1.226532906737804,1.1210098740922627,1.5799657072084405,1.6155883309368149,0,0.0
