schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,64,0.8736436179978998,0.9274827985330554,0.8499143515178339,0.8965252546155478,stratified_by_cell,0.16787011559041215,63,64
blocked,live_k=8/family=xor_dom,16,0.7549192809405633,0.7977288801335113,0.6719999595731663,0.8322147263179405,formula,0.2209541160464924,15,16
blocked,live_k=8/family=andor_dom,16,0.8997035905264632,0.9171293036362307,0.8607516454368502,0.9349417958668285,formula,0.08587138359928921,15,16
blocked,live_k=8/family=impeqv_dom,16,0.9654366774718879,0.9924582511492044,0.9203222374351135,0.9978408941783363,formula,0.08914948944285496,15,16
blocked,live_k=8/family=mixed,16,0.8884100642728058,0.9253253655087468,0.8252419744770211,0.943234995018384,formula,0.1399671614625568,15,16
blocked,live_k=8/shape=tree,32,0.9464501993841467,0.9694596933875325,0.9187729082950209,0.9705609533925645,formula,0.07801372585142845,31,32
blocked,live_k=8/shape=shared,32,0.8064377521026544,0.8622835312900965,0.7535618966775326,0.8593991418587154,formula,0.19482199855128549,31,32
blocked,live_k=12,64,0.8672229684095163,0.8870223726701623,0.8492534449522126,0.8844459890821266,stratified_by_cell,0.13522781242492155,63,64
blocked,live_k=12/family=xor_dom,16,0.7622898070188687,0.7637214452652048,0.7246501921055565,0.8014728820160792,formula,0.10912185360803228,15,16
blocked,live_k=12/family=andor_dom,16,0.868354724368243,0.8768975803445949,0.8420130780793877,0.8966256785226591,formula,0.06901373655842145,15,16
blocked,live_k=12/family=impeqv_dom,16,0.9620995401254057,0.9878883622150898,0.9299491825495798,0.9886740843348409,formula,0.06393989711689048,15,16
blocked,live_k=12/family=mixed,16,0.8881489269429316,0.9459553067989013,0.8154835090876323,0.9496959667683837,formula,0.16185497992140566,15,16
blocked,live_k=12/shape=tree,32,0.9142327575869439,0.9545406690604056,0.8837835406274464,0.9438040151207759,formula,0.09792522263711571,31,32
blocked,live_k=12/shape=shared,32,0.822630419546622,0.8300106376490977,0.7815607721466931,0.8639833283053365,formula,0.14771764249134453,31,32
