corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,17332.5,9016.0,27032.9,0.11411280579772351
b2,ir_canonicalize_ns,192,7651.7462730407715,1753.1216144561768,17999.112606048584,0.057635318639089425
b2,ir_rewrite_ns,192,12248.754501342773,5479.902029037476,27062.74390220642,0.07976246169682552
b2,ir_intern_ns,192,37882.477045059204,18294.155597686768,64419.2099571228,0.24387485923675062
b2,ir_live_vars_ns,192,20734.965801239014,7596.611976623535,49737.095832824714,0.13367946817838022
b2,lower_cm_ns_median,192,17768.5,9497.0,29907.800000000003,0.12245734341128052
b2,wrapper_current_ns_median,192,9783.5,7998.900000000001,27238.9,
b2,end_to_end_current_ns_median,192,163324.0,85643.3,305063.4000000001,
bx1,hash_ns_median,80,11511.5,4806.0,23290.0,0.12317609218566647
bx1,ir_canonicalize_ns,80,4228.2044887542725,1079.5891284942627,11021.643877029426,0.05267522972644635
bx1,ir_rewrite_ns,80,6839.632987976074,2133.8462829589844,15880.16748428345,0.06716349549355766
bx1,ir_intern_ns,80,23506.581783294678,9042.76967048645,51464.88547325134,0.2560780771617481
bx1,ir_live_vars_ns,80,10073.184967041016,2373.7549781799316,30911.71383857728,0.113069439707706
bx1,lower_cm_ns_median,80,12177.0,5615.0,26380.0,0.14409940405786645
bx1,wrapper_current_ns_median,80,9087.0,7530.9,17974.20000000006,
bx1,end_to_end_current_ns_median,80,104339.5,45548.6,224597.90000000008,
epfl,hash_ns_median,129,38041.0,12691.800000000001,270463.60000000003,0.10430215845531984
epfl,ir_canonicalize_ns,129,19773.84090423584,7316.470146179199,181294.97766494757,0.06329917782287556
epfl,ir_rewrite_ns,129,28006.73246383667,10728.836059570312,226262.21179962158,0.07943318057164822
epfl,ir_intern_ns,129,94205.14106750488,37741.661071777344,635686.5167617803,0.27078666129077095
epfl,ir_live_vars_ns,129,42371.45185470581,11633.336544036867,441019.2370414735,0.12439895894042408
epfl,lower_cm_ns_median,129,42089.0,14054.0,273661.0,0.12049368515463524
epfl,wrapper_current_ns_median,129,19407.0,9624.0,75278.20000000004,
epfl,end_to_end_current_ns_median,129,370301.0,140932.8,2735628.8000000007,
