corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,1673.0,341.0,1,3,2,1,1,3,2,4779.0,5611.0,7113.0,95,32060.0,29683.11309814453,0.0,2592.802047729492,7241.964340209961,2250.075340270996,8927.0,5109.0,ok,819.93,875.33,815.52,872.33,14066.0,38211.0,1.0675667435024943,1.0696610751422406,17.24789091622523,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,902.0,171.0,1,1,1,1,2,2,2,5690.0,4428.0,6061.0,119,35295.0,33922.49345779419,2413.9881134033203,4783.272743225098,6072.22318649292,1467.7643775939941,4999.0,4409.0,ok,889.76,944.56,845.68,906.89,9107.0,49282.0,1.0615896421506923,1.07237962349825,10.768848737110964,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,semantic_live_support,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,981.0,170.0,1,1,1,1,1,1,1,3867.0,2935.0,4749.0,95,24766.0,23312.86668777466,1341.104507446289,1393.2585716247559,5938.112735748291,1437.9620552062988,4579.0,3326.0,ok,733.57,793.58,1010.08,1067.89,9157.0,34354.0,1.0818054173425848,1.0572330904482814,9.06561856486615,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,semantic_live_support,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,922.0,151.0,1,3,2,1,1,3,2,3747.0,3165.0,4428.0,95,20508.0,19229.9485206604,0.0,685.4534149169922,5967.915058135986,1288.9504432678223,4569.0,3216.0,ok,799.49,866.41,805.8,863.61,8606.0,31148.0,1.083703360892569,1.0717423678332094,10.680069496152893,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,semantic_live_support,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,862.0,160.0,1,1,1,1,15,39,27,11712.0,15339.0,9057.0,295,75411.0,73589.38455581665,1758.3370208740234,7130.2056312561035,16875.56505203247,4082.918167114258,4659.0,18084.0,ok,2505.28,2549.85,623.97,664.04,7695.0,66624.0,1.0177904266189806,1.064217830985464,12.332323669407183,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,semantic_live_support,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,2525.0,251.0,4,6,6,4,12,12,12,8125.0,9858.0,6502.0,270,78817.0,77225.26788711548,7063.150405883789,10773.539543151855,15288.591384887695,6154.179573059082,7985.0,11221.0,ok,1293.31,1340.7,1067.49,1112.67,7855.0,83075.0,1.0366424136517927,1.042323581485541,7.358382748316143,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,semantic_live_support,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,792.0,120.0,2,3,2,2,3,4,3,3938.0,4438.0,4228.0,137,30618.0,29370.18871307373,2138.3166313171387,1639.1277313232422,6839.632987976074,1996.755599975586,5290.0,3907.0,ok,693.5,743.19,707.62,746.59,7343.0,39594.0,1.0716510454217736,1.055071931262542,10.377038523501314,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,1683.0,140.0,6,11,8,3,16,24,19,8787.0,10760.0,7013.0,310,82824.0,81017.6134109497,4805.624485015869,9864.568710327148,18708.407878875732,5915.7609939575195,9257.0,13726.0,ok,1723.52,1735.73,1200.24,1227.89,7854.0,87763.0,1.0070843390271074,1.0230370592548157,6.54369126174765,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,semantic_live_support,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,961.0,150.0,2,4,3,2,3,4,3,4048.0,4508.0,7323.0,158,33813.0,32424.9267578125,2086.162567138672,1572.0725059509277,9067.356586456299,2384.185791015625,5390.0,3587.0,ok,700.3,741.08,737.78,783.86,7254.0,43781.0,1.0582321862059119,1.06245764319987,9.832199300604517,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,3076.0,170.0,13,32,22,6,28,59,43,12162.0,15339.0,12404.0,412,101479.0,99353.49225997925,2674.7584342956543,6265.938282012939,26106.834411621094,14036.893844604492,16741.0,22743.0,ok,2963.13,3008.61,1970.58,2033.29,8736.0,115785.0,1.0153486347207177,1.031823118066762,4.433212556709193,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
