arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,1.9403002048105977,1.7264097964127922,2.009897399116833,1.3918826258212125,4.23612160035016,5.93887769919815,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.6685753026914965,1.449108489121239,1.7533039424231989,1.0,4.048594038825864,5.93887769919815,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4504567803079669,1.2208896206471358,1.545901156889559,1.0,3.7360450517565265,4.470055882077758,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2631835377085132,1.0971375681314197,1.3239398285339266,1.0,3.489269367603458,4.075788879480666,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2631835377085132,1.0971375681314197,1.3239398285339266,1.0,3.489269367603458,4.075788879480666,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1069887338151345,1.0291954280012143,1.1462899486832292,1.0,1.2286294219179204,3.6933381143867017,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1069887338151345,1.0291954280012143,1.1462899486832292,1.0,1.2286294219179204,3.6933381143867017,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0043571788229575,1.0020767100462422,1.0077417971980591,1.0,1.0,1.1878161209420928,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0043571788229575,1.0020767100462422,1.0077417971980591,1.0,1.0,1.1878161209420928,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0043571788229575,1.0020767100462422,1.0077417971980591,1.0,1.0,1.1878161209420928,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0043571788229575,1.0020767100462422,1.0077417971980591,1.0,1.0,1.1878161209420928,0,0.0
raw,validation_reused,threshold_k6,6,False,307,14,23,2.5059032964548096,2.3012645096570745,2.723106913204292,3.3211918722751443,4.892352247688732,6.616126748506567,201,0.6547231270358306
raw,validation_reused,threshold_k7,7,False,307,14,23,2.1233184217767382,1.9366584143356733,2.4495894995103575,2.6929440038884938,4.2808226944622705,5.715925831097654,169,0.5504885993485342
raw,validation_reused,threshold_k8,8,False,307,14,23,2.1233184217767382,1.9385670302602425,2.447692000667196,2.6929440038884938,4.2808226944622705,5.715925831097654,169,0.5504885993485342
raw,validation_reused,threshold_k9,9,False,307,14,23,1.5294708745354477,1.405661303544612,1.6692470302590103,1.0,3.6152517521383407,5.564020137982473,96,0.3127035830618892
raw,validation_reused,threshold_k10,10,False,307,14,23,1.4976833588298986,1.385442429480698,1.6035806547703508,1.0,3.5900423743936267,5.564020137982473,91,0.2964169381107492
raw,validation_reused,threshold_k11,11,False,307,14,23,1.211184644801386,1.1446467024918878,1.2928708398618765,1.0,2.5281860854931035,3.801931739431739,43,0.14006514657980457
raw,validation_reused,threshold_k12,12,False,307,14,23,1.1643651120746772,1.1001019426405183,1.2239832554324304,1.0,2.011946507878375,3.801931739431739,32,0.10423452768729642
raw,validation_reused,threshold_k13,13,False,307,14,23,1.0129926219588525,1.0036027659130407,1.0237093332508758,1.0,1.0,1.6195174740594565,0,0.0
raw,validation_reused,threshold_k14,14,False,307,14,23,1.0082852676693785,1.0,1.0173464637139922,1.0,1.0,1.6195174740594565,0,0.0
raw,validation_reused,threshold_k15,15,False,307,14,23,1.0107549419255328,1.00239619128906,1.0199722602936876,1.0,1.0,1.6195174740594565,0,0.0
raw,validation_reused,threshold_k16,16,True,307,14,23,1.0165789571330812,1.0069705268027043,1.0294179834162087,1.0,1.0,1.6596151329057625,0,0.0
cm,tuning,threshold_k6,6,False,80,0,4,1.7581925030698355,1.5566790442973972,1.8459289442628641,1.3525800284612834,3.5830107076822095,4.734519208875664,38,0.475
cm,tuning,threshold_k7,7,False,80,0,4,1.5384055788721174,1.3488642593488214,1.608624738925703,1.0,3.2605103387551853,3.7269731278413607,30,0.375
cm,tuning,threshold_k8,8,False,80,0,4,1.3648329122989324,1.1789620696758771,1.4382993092523961,1.0,3.055007441182352,3.5714097234189213,22,0.275
cm,tuning,threshold_k9,9,False,80,0,4,1.2136859572954362,1.0829985682056364,1.2635834737533187,1.0,2.858769865658716,3.2569015658978366,14,0.175
cm,tuning,threshold_k10,10,False,80,0,4,1.2136859572954362,1.0829985682056364,1.2635834737533187,1.0,2.858769865658716,3.2569015658978366,14,0.175
cm,tuning,threshold_k11,11,False,80,0,4,1.0868265432551907,1.0240199961643566,1.1186320343283522,1.0,1.1485914508402828,2.856418529615119,6,0.075
cm,tuning,threshold_k12,12,False,80,0,4,1.0868265432551907,1.0240199961643566,1.1183256253660423,1.0,1.1485914508402828,2.856418529615119,6,0.075
cm,tuning,threshold_k13,13,False,80,0,4,1.0011646876060647,1.0,1.002542885590917,1.0,1.0,1.0975943064350273,0,0.0
cm,tuning,threshold_k14,14,False,80,0,4,1.0011646876060647,1.0,1.002542885590917,1.0,1.0,1.0975943064350273,0,0.0
cm,tuning,threshold_k15,15,False,80,0,4,1.0011646876060647,1.0,1.002542885590917,1.0,1.0,1.0975943064350273,0,0.0
cm,tuning,threshold_k16,16,True,80,0,4,1.0011646876060647,1.0,1.002542885590917,1.0,1.0,1.0975943064350273,0,0.0
cm,validation_reused,threshold_k6,6,False,321,0,23,2.144354913744081,1.9918956012681364,2.2710863290501497,2.7837366490159576,3.7565256689297644,5.241974242481132,197,0.6137071651090342
cm,validation_reused,threshold_k7,7,False,321,0,23,1.854889930449025,1.7416404752808663,2.060804249969435,2.140800346867986,3.4109137932839806,3.9791280734832535,165,0.514018691588785
cm,validation_reused,threshold_k8,8,False,321,0,23,1.854889930449025,1.744621324424711,2.055891050365003,2.140800346867986,3.4109137932839806,3.9791280734832535,165,0.514018691588785
cm,validation_reused,threshold_k9,9,False,321,0,23,1.4202009487537333,1.3281303826826387,1.5156850023825792,1.0,2.998500006005629,3.784337426862985,91,0.2834890965732087
cm,validation_reused,threshold_k10,10,False,321,0,23,1.3963027193703892,1.325233025805321,1.4730551529456497,1.0,2.9955057958523157,3.784337426862985,86,0.26791277258566976
cm,validation_reused,threshold_k11,11,False,321,0,23,1.1727174629454342,1.1238743604203822,1.233586795565972,1.0,2.140800346867986,3.0581079742446753,37,0.11526479750778816
cm,validation_reused,threshold_k12,12,False,321,0,23,1.1354808336328448,1.0855580328319479,1.1766340010154732,1.0,1.8097684894595827,3.0581079742446753,26,0.08099688473520249
cm,validation_reused,threshold_k13,13,False,321,0,23,1.0088550479041831,1.003493880723796,1.0149903929676465,1.0,1.0,1.4474872046686436,0,0.0
cm,validation_reused,threshold_k14,14,False,321,0,23,1.005228237576098,1.0,1.0100488984796672,1.0,1.0,1.4474872046686436,0,0.0
cm,validation_reused,threshold_k15,15,False,321,0,23,1.0098560749898324,1.004743924641818,1.0160898254149935,1.0,1.0,1.4474872046686436,0,0.0
cm,validation_reused,threshold_k16,16,True,321,0,23,1.0172212116526003,1.0083206848864494,1.0316751133410602,1.0,1.0,1.689395924443926,0,0.0
