arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k7,7,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k8,8,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k9,9,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k10,10,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k11,11,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k12,12,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k13,13,False,48,0,4,1.4810643808180997,1.1744571118042022,1.8677154560019353,1.3738127381002192,2.387242908505509,3.0779135269588123,13,0.2708333333333333
raw,tuning,threshold_k14,14,False,48,0,4,1.1953406092473424,1.0355354075423935,1.3798071622744712,1.0,1.70188089628164,2.4637452438602554,4,0.08333333333333333
raw,tuning,threshold_k15,15,False,48,0,4,1.095862660429339,1.0280692113420147,1.160072362092979,1.0,1.336673260332882,2.24898670404182,1,0.020833333333333332
raw,tuning,threshold_k16,16,True,48,0,4,1.0899895368274657,1.0,1.2409590948828753,1.0,1.3232433559737362,2.2178512361571996,1,0.020833333333333332
