corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,1896.44,11144.18,2090.19,1537.87,0.907305077528837,5.331658844411273,1.233160150077705,7.246503280511357,1.3591460916722482,1375.37,1414.23,1604.99,1544.68,1080.42,1137.32,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,7
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,951.77,7722.0,1099.65,899.18,0.8655208475423998,7.022234347292319,1.0584866211437087,8.587824462287863,1.2229475744567273,882.64,925.33,1088.53,1070.19,780.35,825.94,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,7
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,1529.25,8214.01,1684.54,1294.21,0.9078145962696048,4.876114547591627,1.1816088579133217,6.346736619250353,1.3015971132969146,1463.83,1506.71,1674.83,1634.64,1208.95,1251.63,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,7
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,925.32,7563.81,1130.81,996.75,0.8182807014440977,6.688842511120348,0.9283370955605719,7.588472535741159,1.1344971156257837,860.0,901.98,1119.49,1097.65,914.51,958.18,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,7
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,1225.48,7989.8,1639.56,1994.12,0.7474444363121814,4.873136695210911,0.6145467674964395,4.006679638136121,0.8221972599442361,1166.78,1211.56,1641.86,1632.34,1902.85,1946.53,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,7
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,1687.14,8480.72,2146.3,2741.92,0.786069049061175,3.951320877789684,0.6153133570636634,3.0929859368617607,0.7827726556573497,1618.42,1665.1,2129.47,2072.07,2689.91,2709.95,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,7
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,1214.46,7920.36,1836.92,2413.8,0.6611392983907846,4.311760991224441,0.5031319910514541,3.2812826249067855,0.7610075399784572,1142.73,1188.21,1834.53,1797.65,2301.2,2335.05,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,7
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,1500.29,8218.93,2051.22,2313.11,0.7314135002583829,4.006849582199862,0.6486029631102714,3.5531946167713597,0.8867801358344393,1419.85,1472.15,2075.97,2017.56,2202.01,2242.88,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,7
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,904.29,7565.3,1050.86,879.04,0.8605237614905887,7.199151171421503,1.0287245176556243,8.606320531488898,1.1954632326174008,831.65,885.65,1038.44,1009.08,797.68,847.88,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,7
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,1287.1,8017.65,1449.21,996.26,0.8881390550713837,5.532428012503363,1.2919318250255956,8.047748579688033,1.4546503924678298,1202.54,1254.53,1433.87,1396.61,915.31,960.49,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,7
