corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,35000.0,18000.0,55840.00000000001,0.10583728236384321
b2,ir_canonicalize_ns,192,18599.98155850917,4499.9789679422975,44100.021477788694,0.06291642108490969
b2,ir_rewrite_ns,192,29400.03469120711,13220.065739005804,64089.90593627095,0.08652074380324126
b2,ir_intern_ns,192,73299.96151383966,35980.02658691257,125029.97124101967,0.2137158879053394
b2,ir_live_vars_ns,192,40100.0288547948,16519.95407883078,92620.07079087198,0.12216837602131365
b2,lower_cm_ns_median,192,34650.0,19290.0,55490.0,0.1085306137250238
b2,wrapper_current_ns_median,192,21950.0,17420.0,74660.0,
b2,end_to_end_current_ns_median,192,368150.0,191150.00000000003,668690.0000000001,
bx1,hash_ns_median,80,22550.0,8990.0,47770.000000000015,0.11502383950044212
bx1,ir_canonicalize_ns,80,10250.005288980901,2600.019797682762,27250.00376813116,0.056330290895268496
bx1,ir_rewrite_ns,80,16149.977454915643,4680.006531998515,38349.902024492636,0.07694338028652836
bx1,ir_intern_ns,80,44549.97542779893,17590.014613233507,90509.92957782009,0.2201047936620919
bx1,ir_live_vars_ns,80,20050.021703355014,4990.035085938871,62440.02433959396,0.10329201856913352
bx1,lower_cm_ns_median,80,24850.0,12970.0,51870.0,0.12928935848062934
bx1,wrapper_current_ns_median,80,19850.0,14690.0,43690.00000000018,
bx1,end_to_end_current_ns_median,80,221400.0,99880.0,477900.00000000035,
epfl,hash_ns_median,129,77600.0,26760.0,447280.0000000002,0.09763332688463275
epfl,ir_canonicalize_ns,129,52899.99535307288,18760.00314950943,382400.13527683925,0.07206255743403313
epfl,ir_rewrite_ns,129,62500.09755603969,24340.02817608416,475580.0066050144,0.08485836775728599
epfl,ir_intern_ns,129,178700.05103759468,72439.96951729059,1092019.9390966445,0.242198776412548
epfl,ir_live_vars_ns,129,79899.93900991976,24339.98743072152,904760.0964549929,0.11212061810755013
epfl,lower_cm_ns_median,129,84700.0,27280.0,524780.0000000001,0.10729940918620164
epfl,wrapper_current_ns_median,129,42100.0,19960.0,220480.00000000006,
epfl,end_to_end_current_ns_median,129,751900.0,296740.0,4965820.000000002,
