arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,2.0238215074831136,1.7774595234576909,2.1176259420844135,1.427482249254549,4.7550582870109315,6.674454667631552,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.7197600466941907,1.4760949318168481,1.8160716084594868,1.0,4.466622749231445,6.104273807412662,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4799536289127566,1.234858356195509,1.5847147677153175,1.0,4.1916142782942,4.958247532485976,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.2744628432922864,1.1060467731672352,1.336118795233828,1.0,3.718965841708193,4.520772946859903,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.2744628432922864,1.1060467731672352,1.336118795233828,1.0,3.718965841708193,4.520772946859903,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.106556283520392,1.0310877473514803,1.1463205508239545,1.0,1.2920307227528987,3.715294117647059,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.106556283520392,1.0310877473514803,1.1463205508239545,1.0,1.2920307227528987,3.715294117647059,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.004685232073347,1.0,1.0111031304535392,1.0,1.0,1.2581678411274824,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.004685232073347,1.0,1.0111031304535392,1.0,1.0,1.2581678411274824,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.004685232073347,1.0,1.0111031304535392,1.0,1.0,1.2581678411274824,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.004685232073347,1.0,1.0111031304535392,1.0,1.0,1.2581678411274824,0,0.0
raw,validation_reused,threshold_k6,6,False,307,14,23,2.6694162559053134,2.461098093346694,2.933016931676137,3.716510352150062,5.46294309150114,7.908264180970786,197,0.6416938110749185
raw,validation_reused,threshold_k7,7,False,307,14,23,2.231513245164743,2.0166430298338267,2.6628004017284903,2.5804663608562692,4.905260763018464,6.41219129753038,165,0.5374592833876222
raw,validation_reused,threshold_k8,8,False,307,14,23,2.231513245164743,2.014415994977659,2.666366138759642,2.5804663608562692,4.905260763018464,6.41219129753038,165,0.5374592833876222
raw,validation_reused,threshold_k9,9,False,307,14,23,1.552550166585841,1.4235558250010687,1.7191446207343055,1.0,3.9902955431579405,6.005021387390738,92,0.2996742671009772
raw,validation_reused,threshold_k10,10,False,307,14,23,1.5168618386988078,1.4040234153206366,1.6432494994549958,1.0,3.9064877778128078,6.005021387390738,87,0.28338762214983715
raw,validation_reused,threshold_k11,11,False,307,14,23,1.2084346892164286,1.1401642142319348,1.3063219161361972,1.0,2.423065366569085,3.8518518518518516,39,0.1270358306188925
raw,validation_reused,threshold_k12,12,False,307,14,23,1.1565871709638884,1.0953587127114852,1.2169818666109151,1.0,1.9464915554910966,3.8518518518518516,28,0.09120521172638436
raw,validation_reused,threshold_k13,13,False,307,14,23,1.0172521506557535,1.0067398965449115,1.0300306246775826,1.0,1.0,1.5905383360522023,0,0.0
raw,validation_reused,threshold_k14,14,False,307,14,23,1.0116085725993895,1.0023723591430924,1.020341858916617,1.0,1.0,1.5905383360522023,0,0.0
raw,validation_reused,threshold_k15,15,False,307,14,23,1.0088961261738008,1.00013276698106,1.0176322519371062,1.0,1.0,1.5905383360522023,0,0.0
raw,validation_reused,threshold_k16,16,True,307,14,23,1.0111570288449183,1.0020963670633054,1.0197104399621988,1.0,1.0,1.5905383360522023,0,0.0
cm,tuning,threshold_k6,6,False,80,0,4,1.874697740841373,1.6582106555576495,1.9755730385103272,1.4187724332789675,4.333252163718039,5.847762729298817,38,0.475
cm,tuning,threshold_k7,7,False,80,0,4,1.6066872332287512,1.4023956595453357,1.6993105715039472,1.0,3.7010851370851374,4.455091103965702,30,0.375
cm,tuning,threshold_k8,8,False,80,0,4,1.4018065110749813,1.2023114713172451,1.4825703488768591,1.0,3.586373980526684,4.202674733322719,22,0.275
cm,tuning,threshold_k9,9,False,80,0,4,1.2278469161264305,1.0951115322974976,1.289281582642293,1.0,3.0024371771880833,3.859154929577465,14,0.175
cm,tuning,threshold_k10,10,False,80,0,4,1.2278469161264305,1.0951115322974976,1.289281582642293,1.0,3.0024371771880833,3.859154929577465,14,0.175
cm,tuning,threshold_k11,11,False,80,0,4,1.0843728888189366,1.0283542071066378,1.1106482018659707,1.0,1.2382777140396604,2.971745711402624,6,0.075
cm,tuning,threshold_k12,12,False,80,0,4,1.0843728888189366,1.0283542071066378,1.1106482018659707,1.0,1.2382777140396604,2.971745711402624,6,0.075
cm,tuning,threshold_k13,13,False,80,0,4,1.002984740386968,1.0,1.005692895467377,1.0,1.0,1.1931540342298288,0,0.0
cm,tuning,threshold_k14,14,False,80,0,4,1.002984740386968,1.0,1.005692895467377,1.0,1.0,1.1931540342298288,0,0.0
cm,tuning,threshold_k15,15,False,80,0,4,1.002984740386968,1.0,1.005692895467377,1.0,1.0,1.1931540342298288,0,0.0
cm,tuning,threshold_k16,16,True,80,0,4,1.002984740386968,1.0,1.005692895467377,1.0,1.0,1.1931540342298288,0,0.0
cm,validation_reused,threshold_k6,6,False,321,0,23,2.3873958628454752,2.209875225104782,2.5565586698027576,3.1423695064713413,4.611623797368938,6.492661135928526,198,0.616822429906542
cm,validation_reused,threshold_k7,7,False,321,0,23,2.020951894469418,1.8717667436685734,2.313016145218693,2.0782295419454453,4.090922674635786,4.752136752136752,166,0.5171339563862928
cm,validation_reused,threshold_k8,8,False,321,0,23,2.020951894469418,1.8719005516082536,2.313187533502585,2.0782295419454453,4.090922674635786,4.752136752136752,166,0.5171339563862928
cm,validation_reused,threshold_k9,9,False,321,0,23,1.4743685572333256,1.3746764714231419,1.6013045590825208,1.0,3.471168460560191,4.491561181434599,92,0.2866043613707165
cm,validation_reused,threshold_k10,10,False,321,0,23,1.4453343268791454,1.3669875625744377,1.5391881092500508,1.0,3.4478527607361964,4.491561181434599,87,0.27102803738317754
cm,validation_reused,threshold_k11,11,False,321,0,23,1.187336771520952,1.1343511950615426,1.2620976473097234,1.0,2.0782295419454453,3.3089983022071308,38,0.11838006230529595
cm,validation_reused,threshold_k12,12,False,321,0,23,1.143869019106592,1.0961539001006368,1.1900060837709139,1.0,1.8612363366886926,3.1254545454545455,27,0.08411214953271028
cm,validation_reused,threshold_k13,13,False,321,0,23,1.01573730497562,1.0077771497581842,1.0280889372198925,1.0,1.0,1.5222929936305734,0,0.0
cm,validation_reused,threshold_k14,14,False,321,0,23,1.0088237309373942,1.0032835992628713,1.0146554370652108,1.0,1.0,1.5222929936305734,0,0.0
cm,validation_reused,threshold_k15,15,False,321,0,23,1.0055152430108927,1.0,1.0110331000221655,1.0,1.0,1.5222929936305734,0,0.0
cm,validation_reused,threshold_k16,16,True,321,0,23,1.0100159757835794,1.0032425242613923,1.017143024669474,1.0,1.0,1.8996104546146984,0,0.0
