corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,2780.0,16995.0,3136.0,2395.0,0.8864795918367347,5.419323979591836,1.1607515657620042,7.096033402922756,1.3093945720250522,2709.0,3034.0,3636.0,3079.0,2212.0,2298.0,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,7
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,2877.0,22981.0,3347.0,2776.0,0.8595757394681804,6.8661487899611595,1.0363832853025936,8.278458213256485,1.205691642651297,2663.0,2766.0,3254.0,3168.0,2411.0,2579.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,7
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,3020.0,18333.0,3388.0,2659.0,0.8913813459268005,5.411157024793388,1.135765325310267,6.894697254606995,1.2741632192553591,3160.0,3235.0,3678.0,3470.0,2567.0,2812.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,7
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1842.0,15048.0,2201.0,2075.0,0.8368923216719673,6.836892321671967,0.8877108433734939,7.252048192771085,1.060722891566265,1712.0,1782.0,2229.0,2124.0,1974.0,2070.0,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,7
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,2529.0,23183.0,3512.0,4737.0,0.7201025056947609,6.601082004555809,0.5338822039265357,4.894025754697066,0.7413975089719231,2348.0,2498.0,3353.0,3253.0,4342.0,4264.0,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,7
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,5102.0,27372.0,5838.0,9332.0,0.8739294278862624,4.688591983556012,0.5467209601371624,2.9331333047578227,0.6255893699099871,3313.0,3458.0,4207.0,4220.0,6191.0,6526.0,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,7
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2566.0,18631.0,3985.0,5745.0,0.6439146800501883,4.675282308657465,0.4466492602262837,3.242993907745866,0.6936466492602262,2451.0,2577.0,3854.0,3877.0,5528.0,5594.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,7
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,3490.0,21214.0,4529.0,5453.0,0.7705895341134908,4.684036211084124,0.6400146708233999,3.8903355950852743,0.8305519897304237,3234.0,3108.0,4370.0,6239.0,7270.0,7350.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,7
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,2928.0,17960.0,2180.0,1932.0,1.343119266055046,8.238532110091743,1.515527950310559,9.296066252587991,1.1283643892339545,1683.0,1774.0,2088.0,2037.0,1661.0,1802.0,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,7
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2701.0,21395.0,4386.0,3178.0,0.6158230734154126,4.878020975832193,0.8499056010069226,6.732221522970422,1.380113278791693,2446.0,2510.0,2895.0,2863.0,1958.0,2039.0,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,7
