scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.8969499432591566,0.8905696773306687,0.8740654100098479,0.9072717741775921,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,2.975320184460776,3.094136185032722,2.883082692131623,3.310818221547949,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8200410122994543,0.8224497460018548,0.7894438586995763,0.8554248921693207,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,2.7202014943160053,2.857464816344107,2.617433255492278,3.122109436889838,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.9142550467417992,0.9235097117465397,0.8900053803269011,0.9579513958853948,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.8862095907224391,0.8862095907224391,0.8685345433536209,0.9040507238166223,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.9262315483117076,0.9262315483117076,0.8883801926492142,0.9617531734092731,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.8331557147682351,0.8331557147682351,0.7857883109279695,0.8795102695575179,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.8566582362582247,0.8566582362582247,0.8034396428397832,0.9122911167069259,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.8658441752914917,0.865532665371963,0.8383707980993989,0.8914708219768552,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.9019500461377055,0.9019500461377055,0.8701935235850529,0.9384053331820318,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.9206056218644006,0.9143684762420826,0.8834944951274329,0.9463252608820278,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9663344558362121,0.9612336536584536,0.9289740604127864,0.9941768792355472,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.8331557147682351,0.8331557147682351,0.7854547301324099,0.8797896028976728,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.8566582362582247,0.8566582362582247,0.8044807940411682,0.9133345655974756,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.8652601861292768,0.8652601861292768,0.8345567522117598,0.8932847612075733,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.9019500461377055,0.9019500461377055,0.870996912176507,0.9372920649990336,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.908945647530754,0.908945647530754,0.8714297586519026,0.9463017240352319,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.956792543215783,0.956792543215783,0.9194071162287949,0.9946049722470953,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.8666234406778429,0.866623440677843,0.7977089743026473,0.9231086680906581,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.9363852565295714,0.9363852565295714,0.9071449128912495,0.9711178636958014,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9792051959597156,0.9792051959597156,0.9128854741686422,1.0371824013854618,10000
