schedule,group,n_formulas,geomean,median,ci95_lo,ci95_hi,bootstrap,sigma_log,df,n_distinct_truth
blocked,live_k=8,32,0.8914803511829213,0.9246054607771927,0.8514518838791381,0.9316351801250043,stratified_by_cell,0.19646740842837915,31,32
blocked,live_k=8/family=xor_dom,8,0.7450224137134537,0.8405307170274255,0.6152428178059849,0.8655836419335681,formula,0.27355813782447397,7,8
blocked,live_k=8/family=andor_dom,8,0.926027453812435,0.9139097313354482,0.889233759644838,0.9671598433380767,formula,0.06259753994876761,7,8
blocked,live_k=8/family=impeqv_dom,8,1.0229316727273952,1.0118556059722328,0.9953179746251958,1.059012236858891,formula,0.05018480393580547,7,8
blocked,live_k=8/family=mixed,8,0.894967522129121,0.9221824771603315,0.787609551603431,0.9796762383827331,formula,0.17195425219977725,7,8
blocked,live_k=8/shape=tree,16,0.9509294231682636,0.9672625916001838,0.906619732626834,0.9976982656487657,formula,0.1011235546739899,15,16
blocked,live_k=8/shape=shared,16,0.8357478454051357,0.9008562420203704,0.7317642544399393,0.9280958699733984,formula,0.2462833049074457,15,16
blocked,live_k=12,32,0.8789923507860196,0.9102345967946478,0.8595037039299299,0.899687589717983,stratified_by_cell,0.12056525170781668,31,32
blocked,live_k=12/family=xor_dom,8,0.773222534304688,0.7795511845835678,0.7233627305684147,0.8185246562089559,formula,0.09742218926909312,7,8
blocked,live_k=12/family=andor_dom,8,0.8839924038311348,0.8906255190657116,0.8465924236055495,0.9181087981172995,formula,0.06537513963741394,7,8
blocked,live_k=12/family=impeqv_dom,8,0.9743188072435504,0.9785712536985457,0.9537040510536079,0.9932266725533164,formula,0.0314823053573994,7,8
blocked,live_k=12/family=mixed,8,0.8963678302131194,0.950277037701944,0.8209088814824181,0.9711294922349654,formula,0.13506016856619732,7,8
blocked,live_k=12/shape=tree,16,0.9189575467896952,0.9567821650502831,0.8774421397056701,0.9558605386797214,formula,0.0867807170349201,15,16
blocked,live_k=12/shape=shared,16,0.8407652295140788,0.8713374909894654,0.7881450424034594,0.8954852614042893,formula,0.1352497042052173,15,16
blocked,live_k=16,32,0.927964662560115,0.9315275124578333,0.914239204801849,0.9418341661388949,stratified_by_cell,0.07683047779808955,31,32
blocked,live_k=16/family=xor_dom,8,0.859913500600874,0.864979645332662,0.8174129250231099,0.905679548479165,formula,0.07960617700239626,7,8
blocked,live_k=16/family=andor_dom,8,0.9281937268760544,0.913692421447833,0.8972199317161834,0.963539801333981,formula,0.05519483704330715,7,8
blocked,live_k=16/family=impeqv_dom,8,0.9927075199784848,0.9919444719968399,0.9673788254233447,1.016825983608104,formula,0.038741664580540625,7,8
blocked,live_k=16/family=mixed,8,0.93586034468318,0.9487817982772615,0.9018715683869573,0.9704634163628627,formula,0.05785603890588266,7,8
blocked,live_k=16/shape=tree,16,0.9567568059269547,0.9782612405389,0.9217089490182111,0.9859765147387244,formula,0.0734941973708851,15,16
blocked,live_k=16/shape=shared,16,0.9000389750308728,0.8921661903602566,0.8715853631893334,0.9300388430259297,formula,0.0693267795708998,15,16
blocked,family=xor_dom/shape=tree,12,0.8408903233843443,0.8416611756902853,0.8075496392424745,0.8764881806547435,formula,0.0766712938565601,11,12
blocked,family=xor_dom/shape=shared,12,0.7445257407352771,0.8023232692780804,0.6498113894226858,0.8278544480434413,formula,0.22758217207793652,11,12
blocked,family=andor_dom/shape=tree,12,0.9527017602297564,0.9543100331759057,0.9261373711488149,0.9774575728577477,formula,0.04943125990855985,11,12
blocked,family=andor_dom/shape=shared,12,0.8740113020744257,0.8888945982727341,0.8524210074744207,0.8910242923337741,formula,0.04190928281306896,11,12
blocked,family=impeqv_dom/shape=tree,12,1.00521046544179,0.9940919210458087,0.9829669127190052,1.0349087859851747,formula,0.04771716910659312,11,12
blocked,family=impeqv_dom/shape=shared,12,0.9877696562611649,0.9919444719968399,0.9647572026091059,1.0088098449831162,formula,0.040274522150243734,11,12
blocked,family=mixed/shape=tree,12,0.9780785511670671,0.9832884855305587,0.9532690624910595,1.001050730296766,formula,0.0448053128684969,11,12
blocked,family=mixed/shape=shared,12,0.8445576881481741,0.8985209110447143,0.7790296038775483,0.9043921732628969,formula,0.14046715233256618,11,12
blocked,all,96,0.899241006810623,0.9229740986744309,0.8828559223309905,0.9154982315728621,stratified_by_cell,0.14070601651023917,95,96
round_robin,live_k=8,32,0.8824930381493666,0.9155862370976628,0.8438082186006471,0.9204852470012264,stratified_by_cell,0.1902036869443918,31,32
round_robin,live_k=8/family=xor_dom,8,0.743427419835552,0.826369148444448,0.6146362626115462,0.8626351179490958,formula,0.2738728819876906,7,8
round_robin,live_k=8/family=andor_dom,8,0.9009414381855331,0.8792706239461258,0.8590197464974377,0.9530628854704154,formula,0.08105788670986747,7,8
round_robin,live_k=8/family=impeqv_dom,8,1.0025047352231564,1.0026493418068763,0.9922736636739462,1.0122324025080918,formula,0.015655957154641877,7,8
round_robin,live_k=8/family=mixed,8,0.9032824695175437,0.9303877790164313,0.8029586630151601,0.9797016017233064,formula,0.15842142062933215,7,8
round_robin,live_k=8/shape=tree,16,0.9444709925860137,0.9835104236555458,0.9036689100880753,0.9828586732447772,formula,0.0886780755175195,15,16
round_robin,live_k=8/shape=shared,16,0.8245821930959666,0.8855445240878691,0.7274059811953096,0.9146389411116121,formula,0.23890349827326676,15,16
round_robin,live_k=12,32,0.8876250075624352,0.9071421084544268,0.8680564664988467,0.9073512232334445,stratified_by_cell,0.12513171898354394,31,32
round_robin,live_k=12/family=xor_dom,8,0.7754701164887958,0.7884049673281411,0.7208738424183707,0.8216713122412912,formula,0.10102651453677292,7,8
round_robin,live_k=12/family=andor_dom,8,0.8817662054332871,0.8998750707554334,0.8368793527714057,0.9218804306007501,formula,0.07530670122502978,7,8
round_robin,live_k=12/family=impeqv_dom,8,0.9931674717470045,1.0033663404024993,0.9658799511360739,1.0126597054730822,formula,0.03839525152758658,7,8
round_robin,live_k=12/family=mixed,8,0.9140650713166527,0.9612512033420867,0.8431824939913408,0.9878958308122313,formula,0.12520765824560387,7,8
round_robin,live_k=12/shape=tree,16,0.929756076183407,0.9709574846778077,0.8812386137836555,0.9751904215304429,formula,0.10377501139187384,15,16
round_robin,live_k=12/shape=shared,16,0.8474030707972416,0.8584967222258669,0.7960152797311467,0.8998326076422393,formula,0.13039511461656667,15,16
round_robin,live_k=16,32,0.9286575497065511,0.9501065029228329,0.9134204709557363,0.9433159295920602,stratified_by_cell,0.08445086702269153,31,32
round_robin,live_k=16/family=xor_dom,8,0.8503175164327827,0.8533035971122641,0.8158162160521935,0.8844687218803333,formula,0.06299625813696488,7,8
round_robin,live_k=16/family=andor_dom,8,0.9372188985719143,0.9502175115715864,0.9005086361680118,0.9739827332358196,formula,0.060796757814538145,7,8
round_robin,live_k=16/family=impeqv_dom,8,0.984151257541098,1.003199704821281,0.9273486240931423,1.0221490338736081,formula,0.08171288196678714,7,8
round_robin,live_k=16/family=mixed,8,0.9482838633749601,0.9676614863726378,0.9100409986284702,0.9839979891846834,formula,0.06261104928843747,7,8
round_robin,live_k=16/shape=tree,16,0.9667759550038799,0.9934765624922394,0.9358314423083736,0.9936547397785225,formula,0.06409943906807057,15,16
round_robin,live_k=16/shape=shared,16,0.8920420912035554,0.8934028308979369,0.8569936218858687,0.9281120603491018,formula,0.08472593992417671,15,16
round_robin,family=xor_dom/shape=tree,12,0.8491203642419124,0.8536183460284236,0.8192319601462712,0.8779545318821117,formula,0.06472053596544006,11,12
round_robin,family=xor_dom/shape=shared,12,0.7321845967701995,0.7827331252440548,0.6404499835629258,0.810918710450602,formula,0.21783700363801584,11,12
round_robin,family=andor_dom/shape=tree,12,0.9396446934006872,0.9589244077370428,0.8974581731195838,0.9784818497107072,formula,0.08141939089777951,11,12
round_robin,family=andor_dom/shape=shared,12,0.8742393849452395,0.8797716466799959,0.8528537672806373,0.8941009989282022,formula,0.04544874512541836,11,12
round_robin,family=impeqv_dom/shape=tree,12,1.0093439841073597,1.0066733353957646,0.9992842929237546,1.0194166992494096,formula,0.01835168768364913,11,12
round_robin,family=impeqv_dom/shape=shared,12,0.977405207953735,1.0005089957998134,0.9365776157911105,1.0065182273185938,formula,0.06757600823399794,11,12
round_robin,family=mixed/shape=tree,12,0.9981731081671668,1.0060499353921468,0.9849085701557816,1.0088280177608522,formula,0.02175140953693547,11,12
round_robin,family=mixed/shape=shared,12,0.851046921874361,0.8886143931833798,0.7929242878348189,0.9029312049748517,formula,0.12261308831585314,11,12
round_robin,all,96,0.8993570367996018,0.9227305773885434,0.8837859968794592,0.9153569263282544,stratified_by_cell,0.14059504261611083,95,96
