live_k,family,production_wrapper_refused,production_refusal_reason,output_bytes,raw_flat_temporary_bytes,raw_words_temporary_bytes,cm_flat_temporary_bytes,cm_words_temporary_bytes,max_estimated_temporary_bytes,estimate_cap_bytes,rss_cap_bytes,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,packed_sha256,packed_equal_all_arms,peak_rss_bytes,status,pass,wall_seconds
17,and,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,45200.0,56900.0,36600.0,41900.0,4b2ac7136e1d84ff4d4036c4e1e443d28aaaab99a96e54763e137cfc79e34f0f,True,36052992,ok,True,0.29044089998933487
17,or,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,49700.0,58000.0,37700.0,42000.0,0002216f8f5294ad6d0f94c566d1e30504474777f31d4503fffd0b5f47290bb5,True,36073472,ok,True,0.29667360000894405
17,xor,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,53000.0,148000.0,59200.0,51700.0,45085e784d57c62173bf71de9909fc30bfd6305ebce37534d2b9fa1fbce437b6,True,36057088,ok,True,0.29972569999517873
17,imp,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,311296,540672,311296,540672,67108864,536870912,254800.0,83900.0,275400.0,69200.0,abda378604d0226d0c58ba6c552af66249642678af10422f65a8daba5621da2f,True,36061184,ok,True,0.3067878000147175
18,and,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,142200.0,104200.0,119800.0,80700.0,6393e88c1987ac79b59b22c66c817085bcba16827ecec55317f90ca54800dabd,True,38264832,ok,True,0.31005360002745874
18,or,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,85900.0,92400.0,72000.0,77700.0,f57bca61b76b13e9ee38befec8d258ce1dcc14dbd887f49cb61dab62dbd185b7,True,38289408,ok,True,0.29927370001678355
18,xor,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,94500.0,97700.0,74800.0,81800.0,53b8d29a4ee95872a67e637e1713bbd1ade74a5d3db11c1162e334bda1500306,True,38281216,ok,True,0.3049806999915745
18,imp,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,655360,1146880,655360,1146880,67108864,536870912,646300.0,130000.0,498900.0,108600.0,9f71b79bcd1864c36f9c3b1265f26a1f053666571ddc7e99eafe58de624b568e,True,38326272,ok,True,0.32806410000193864
19,and,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,410300.0,168600.0,141900.0,145400.0,abcca8b6519f82b44cc8fe0cc09c3a3796655683ade40b00b218995f82e73236,True,43102208,ok,True,0.37282210000557825
19,or,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,493700.0,189300.0,161100.0,189900.0,c67cd4e4fe3a446197ea427ab053b013d70ae71cf7e82b977c8378a2f199783c,True,43110400,ok,True,0.3459146000095643
19,xor,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,595800.0,257100.0,200500.0,218600.0,9107be4998719734beb7fd38ae36834be0f33a14b4bb87147e5f26a0db0d77fb,True,43094016,ok,True,0.3415876000071876
19,imp,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1376256,2424832,1376256,2424832,67108864,536870912,1624300.0,235900.0,1483000.0,314600.0,e32b789b37cd9dc00b3fa0e43ac56b5d2989a91721a793a0122383b092010c2b,True,43089920,ok,True,0.3873559999919962
20,and,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1936100.0,727900.0,437000.0,616800.0,776cd4c62d5bea99bc414869e3621e88c33ce2de920ac16e530439e5f306d7f0,True,50708480,ok,True,0.437685800017789
20,or,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1053800.0,292000.0,304500.0,258600.0,eb93cc25314cf73283c1292cc6dbd700c1234f8420492652c692db157198962f,True,50700288,ok,True,0.3669070999894757
20,xor,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1250000.0,366400.0,392500.0,289100.0,dd05898e6ba2f9419ad0e3f4330a31beeb704d4bbec989d2e794b8f305fbce1e,True,50696192,ok,True,0.44444469999871217
20,imp,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,2883584,5111808,2883584,5111808,67108864,536870912,2939100.0,407100.0,3070000.0,481400.0,a1dc01908673a33ef03d83415279ae9f0573e9fde4f02fec6ca3e9c8a42b9c10,True,50708480,ok,True,0.4995908999990206
